"Id","Weekly_Sales"
"1_1_2012-11-02",28424.011523397
"1_1_2012-11-09",28424.011523397
"1_1_2012-11-16",28424.011523397
"1_1_2012-11-23",28883.5481112468
"1_1_2012-11-30",28424.011523397
"1_1_2012-12-07",30431.0152009419
"1_1_2012-12-14",30431.0152009419
"1_1_2012-12-21",30431.0152009419
"1_1_2012-12-28",30890.5517887917
"1_1_2013-01-04",24763.4526743038
"1_1_2013-01-11",24763.4526743038
"1_1_2013-01-18",24763.4526743038
"1_1_2013-01-25",24763.4526743038
"1_1_2013-02-01",26631.2503091412
"1_1_2013-02-08",27090.786896991
"1_1_2013-02-15",26631.2503091412
"1_1_2013-02-22",26631.2503091412
"1_1_2013-03-01",26165.700832359
"1_1_2013-03-08",26165.700832359
"1_1_2013-03-15",26165.700832359
"1_1_2013-03-22",26165.700832359
"1_1_2013-03-29",26165.700832359
"1_1_2013-04-05",26381.0446048558
"1_1_2013-04-12",26381.0446048558
"1_1_2013-04-19",26381.0446048558
"1_1_2013-04-26",26381.0446048558
"1_1_2013-05-03",26432.2295506578
"1_1_2013-05-10",26432.2295506578
"1_1_2013-05-17",26432.2295506578
"1_1_2013-05-24",26432.2295506578
"1_1_2013-05-31",26432.2295506578
"1_1_2013-06-07",26970.5194748537
"1_1_2013-06-14",26970.5194748537
"1_1_2013-06-21",26970.5194748537
"1_1_2013-06-28",26970.5194748537
"1_1_2013-07-05",26512.3071659432
"1_1_2013-07-12",26512.3071659432
"1_1_2013-07-19",26512.3071659432
"1_1_2013-07-26",26512.3071659432
"1_2_2012-11-02",52817.5465490228
"1_2_2012-11-09",52817.5465490228
"1_2_2012-11-16",52817.5465490228
"1_2_2012-11-23",53277.0831368726
"1_2_2012-11-30",52817.5465490228
"1_2_2012-12-07",54824.5502265676
"1_2_2012-12-14",54824.5502265676
"1_2_2012-12-21",54824.5502265676
"1_2_2012-12-28",55284.0868144174
"1_2_2013-01-04",49156.9876999295
"1_2_2013-01-11",49156.9876999295
"1_2_2013-01-18",49156.9876999295
"1_2_2013-01-25",49156.9876999295
"1_2_2013-02-01",51024.7853347669
"1_2_2013-02-08",51484.3219226168
"1_2_2013-02-15",51024.7853347669
"1_2_2013-02-22",51024.7853347669
"1_2_2013-03-01",50559.2358579847
"1_2_2013-03-08",50559.2358579847
"1_2_2013-03-15",50559.2358579847
"1_2_2013-03-22",50559.2358579847
"1_2_2013-03-29",50559.2358579847
"1_2_2013-04-05",50774.5796304815
"1_2_2013-04-12",50774.5796304815
"1_2_2013-04-19",50774.5796304815
"1_2_2013-04-26",50774.5796304815
"1_2_2013-05-03",50825.7645762835
"1_2_2013-05-10",50825.7645762835
"1_2_2013-05-17",50825.7645762835
"1_2_2013-05-24",50825.7645762835
"1_2_2013-05-31",50825.7645762835
"1_2_2013-06-07",51364.0545004794
"1_2_2013-06-14",51364.0545004794
"1_2_2013-06-21",51364.0545004794
"1_2_2013-06-28",51364.0545004794
"1_2_2013-07-05",50905.8421915689
"1_2_2013-07-12",50905.8421915689
"1_2_2013-07-19",50905.8421915689
"1_2_2013-07-26",50905.8421915689
