"Id","Weekly_Sales"
"1_1_2012-11-02",24013.7349361898
"1_1_2012-11-09",24277.0616219784
"1_1_2012-11-16",23979.2248867113
"1_1_2012-11-23",31902.364019538
"1_1_2012-11-30",23836.6456154377
"1_1_2012-12-07",31029.6493786404
"1_1_2012-12-14",30185.7686395578
"1_1_2012-12-21",31211.4641913485
"1_1_2012-12-28",23352.3247443955
"1_1_2013-01-04",21861.5949373177
"1_1_2013-01-11",21514.0138939322
"1_1_2013-01-18",20736.5881112684
"1_1_2013-01-25",21083.6750419554
"1_1_2013-02-01",24043.3115636693
"1_1_2013-02-08",25093.4963166411
"1_1_2013-02-15",26059.8069010645
"1_1_2013-02-22",22960.6427965885
"1_1_2013-03-01",23234.1136723284
"1_1_2013-03-08",23689.8251565849
"1_1_2013-03-15",23747.2107254998
"1_1_2013-03-22",24056.973687037
"1_1_2013-03-29",26687.8865926335
"1_1_2013-04-05",23632.112126162
"1_1_2013-04-12",23513.9389329649
"1_1_2013-04-19",23447.2092016387
"1_1_2013-04-26",23304.1844251497
"1_1_2013-05-03",23274.1970366271
"1_1_2013-05-10",23249.4069167583
"1_1_2013-05-17",23318.7661439749
"1_1_2013-05-24",23106.000671239
"1_1_2013-05-31",23586.306529394
"1_1_2013-06-07",23540.174821335
"1_1_2013-06-14",23343.8294530786
"1_1_2013-06-21",23414.003810484
"1_1_2013-06-28",23434.0055727717
"1_1_2013-07-05",23796.7622614944
"1_1_2013-07-12",22750.2808056755
"1_1_2013-07-19",22913.7033441791
"1_1_2013-07-26",22867.8605281439
"1_2_2012-11-02",57506.4398375822
"1_2_2012-11-09",58035.611219353
"1_2_2012-11-16",57437.0347946448
"1_2_2012-11-23",73076.1880996925
"1_2_2012-11-30",57150.1497890335
"1_2_2012-12-07",71379.6302985871
"1_2_2012-12-14",69733.5459014287
"1_2_2012-12-21",71733.5553883681
"1_2_2012-12-28",56173.987632432
"1_2_2013-01-04",53152.6740384279
"1_2_2013-01-11",52444.4295155075
"1_2_2013-01-18",50854.8543167472
"1_2_2013-01-25",51565.4784625106
"1_2_2013-02-01",57565.9128306915
"1_2_2013-02-08",59671.6667710436
"1_2_2013-02-15",61599.3436940301
"1_2_2013-02-22",55382.6351574759
"1_2_2013-03-01",55935.3361515173
"1_2_2013-03-08",56854.5007495197
