"Id","Weekly_Sales"
"1_1_2012-11-02",19548.2064772492
"1_1_2012-11-09",19543.2827878233
"1_1_2012-11-16",19534.7535516878
"1_1_2012-11-23",19826.2845314186
"1_1_2012-11-30",19534.8610049866
"1_1_2012-12-07",38726.626484332
"1_1_2012-12-14",38726.626484332
"1_1_2012-12-21",38726.626484332
"1_1_2012-12-28",21244.246069382
"1_1_2013-01-04",17399.6223402897
"1_1_2013-01-11",17376.3258701707
"1_1_2013-01-18",17344.6323853607
"1_1_2013-01-25",17338.4338863392
"1_1_2013-02-01",23493.5489772095
"1_1_2013-02-08",37853.6936301241
"1_1_2013-02-15",23510.5873799631
"1_1_2013-02-22",23499.3411797375
"1_1_2013-03-01",21262.2089951106
"1_1_2013-03-08",21262.2949544943
"1_1_2013-03-15",21262.4148060521
"1_1_2013-03-22",21262.4148060521
"1_1_2013-03-29",21262.4148060521
"1_1_2013-04-05",26222.8112120538
"1_1_2013-04-12",26206.1457657789
"1_1_2013-04-19",26202.8922602442
"1_1_2013-04-26",26204.0376894089
"1_1_2013-05-03",17176.504061
"1_1_2013-05-10",17176.7086751251
"1_1_2013-05-17",17176.7289667152
"1_1_2013-05-24",17176.943878822
"1_1_2013-05-31",17176.8550398938
"1_1_2013-06-07",16316.6240195615
"1_1_2013-06-14",16316.1081175287
"1_1_2013-06-21",16315.8455307799
"1_1_2013-06-28",16316.7537945643
"1_1_2013-07-05",16030.0214970442
"1_1_2013-07-12",16024.9598645821
"1_1_2013-07-19",16024.2458817166
"1_1_2013-07-26",16023.3305987239
"1_2_2012-11-02",44448.3944508538
"1_2_2012-11-09",44438.8950413664
"1_2_2012-11-16",44422.4386648454
"1_2_2012-11-23",44921.4775141257
"1_2_2012-11-30",44422.645991517
"1_2_2012-12-07",49282.4956924004
"1_2_2012-12-14",49282.4956924004
"1_2_2012-12-21",49282.4956924004
"1_2_2012-12-28",39671.3711584299
"1_2_2013-01-04",42509.7238486071
"1_2_2013-01-11",42462.1150781894
"1_2_2013-01-18",42397.3327101513
"1_2_2013-01-25",42384.6609936102
"1_2_2013-02-01",47040.5075700757
"1_2_2013-02-08",47551.6641366451
"1_2_2013-02-15",47070.1990092293
"1_2_2013-02-22",47050.6014209543
"1_2_2013-03-01",46484.5318383873
"1_2_2013-03-08",46484.6925522185
"1_2_2013-03-15",46484.9166323759
"1_2_2013-03-22",46484.9166323759
"1_2_2013-03-29",46484.9166323759
"1_2_2013-04-05",45751.5893980084
"1_2_2013-04-12",45725.5752185674
"1_2_2013-04-19",45720.496447435
"1_2_2013-04-26",45722.2844856716
"1_2_2013-05-03",44800.6746163588
"1_2_2013-05-10",44801.1151865116
"1_2_2013-05-17",44801.1588778295
"1_2_2013-05-24",44801.6216204808
"1_2_2013-05-31",44801.4303351189
"1_2_2013-06-07",46594.8838760624
"1_2_2013-06-14",46593.6895177931
"1_2_2013-06-21",46593.0816043366
"1_2_2013-06-28",46595.1843156295
"1_2_2013-07-05",45032.1880626081
"1_2_2013-07-12",45020.6223605176
"1_2_2013-07-19",45018.9908838421
"1_2_2013-07-26",45016.8994132173
"1_3_2012-11-02",9510.38604960207
"1_3_2012-11-09",9507.61938284899
"1_3_2012-11-16",9502.82693052617
"1_3_2012-11-23",9985.22593659414
"1_3_2012-11-30",9502.88730534041
"1_3_2012-12-07",12024.5301172526
"1_3_2012-12-14",12024.5301172526
"1_3_2012-12-21",12024.5301172526
"1_3_2012-12-28",8600.18197789324
"1_3_2013-01-04",12940.1222753209
"1_3_2013-01-11",12921.7401903317
"1_3_2013-01-18",12896.7343712734
"1_3_2013-01-25",12891.8440828902
"1_3_2013-02-01",11128.8190151762
"1_3_2013-02-08",11420.5317543321
"1_3_2013-02-15",11138.1913877124
"1_3_2013-02-22",11132.0050535588
"1_3_2013-03-01",10116.089425157
"1_3_2013-03-08",10116.1368730385
"1_3_2013-03-15",10116.2030287717
"1_3_2013-03-22",10116.2030287717
"1_3_2013-03-29",10116.2030287717
"1_3_2013-04-05",8803.12652404531
"1_3_2013-04-12",8796.16737460132
"1_3_2013-04-19",8794.80887801042
