"Id","Weekly_Sales"
"1_1_2012-11-02",40263.1596173231
"1_1_2012-11-09",25075.7875165518
"1_1_2012-11-16",19850.2791326796
"1_1_2012-11-23",21808.8514970799
"1_1_2012-11-30",24895.7200279207
"1_1_2012-12-07",28318.8956863128
"1_1_2012-12-14",41071.6956076593
"1_1_2012-12-21",47307.7096658196
"1_1_2012-12-28",23950.9367904115
"1_1_2013-01-04",17180.5804174337
"1_1_2013-01-11",17635.9139641215
"1_1_2013-01-18",18358.1378329874
"1_1_2013-01-25",19057.6124646436
"1_1_2013-02-01",22899.7465721372
"1_1_2013-02-08",39064.353394746
"1_1_2013-02-15",52895.327242317
"1_1_2013-02-22",25045.4421971847
"1_1_2013-03-01",21202.8445751264
"1_1_2013-03-08",21970.5633826124
"1_1_2013-03-15",22069.7101550314
"1_1_2013-03-22",22228.0006317816
"1_1_2013-03-29",25397.2994802964
"1_1_2013-04-05",46702.062398222
"1_1_2013-04-12",35917.8742263873
"1_1_2013-04-19",25209.1508014586
"1_1_2013-04-26",22715.8993350251
"1_1_2013-05-03",17921.3037325779
"1_1_2013-05-10",17778.596623567
"1_1_2013-05-17",17647.8954289317
"1_1_2013-05-24",15631.8993199746
"1_1_2013-05-31",15876.0574990713
"1_1_2013-06-07",16743.5519937854
"1_1_2013-06-14",16239.9593050172
"1_1_2013-06-21",15996.6577993413
"1_1_2013-06-28",15652.4617042647
"1_1_2013-07-05",16550.2425159415
"1_1_2013-07-12",16444.9432676089
"1_1_2013-07-19",16354.9402862011
"1_1_2013-07-26",15463.7849974451
"1_2_2012-11-02",46680.0709179566
"1_2_2012-11-09",46653.2299123685
"1_2_2012-11-16",44794.2911313562
"1_2_2012-11-23",44866.7455858065
"1_2_2012-11-30",46859.3207192169
"1_2_2012-12-07",48205.0875836246
"1_2_2012-12-14",50845.7446701761
"1_2_2012-12-21",60563.8212689311
"1_2_2012-12-28",45578.9727296669
"1_2_2013-01-04",44693.2647381716
"1_2_2013-01-11",43019.6645535348
"1_2_2013-01-18",43720.5341973591
"1_2_2013-01-25",43153.2776021244
"1_2_2013-02-01",52999.4614517734
"1_2_2013-02-08",50864.5715459434
"1_2_2013-02-15",48155.5916516813
"1_2_2013-02-22",47811.8412863154
"1_2_2013-03-01",52202.5729777666
"1_2_2013-03-08",49792.5972322681
"1_2_2013-03-15",46715.4523767295
"1_2_2013-03-22",44759.8748662212
"1_2_2013-03-29",45908.4050232994
"1_2_2013-04-05",51168.22014774
"1_2_2013-04-12",45763.4461659822
"1_2_2013-04-19",46972.9987909836
"1_2_2013-04-26",44983.3437432571
"1_2_2013-05-03",48856.799029969
"1_2_2013-05-10",46573.0499959341
"1_2_2013-05-17",44194.395349865
"1_2_2013-05-24",45457.7099703835
"1_2_2013-05-31",46975.3439975154
"1_2_2013-06-07",48162.1817774557
"1_2_2013-06-14",45795.5448247014
"1_2_2013-06-21",44584.5656671776
"1_2_2013-06-28",46489.0577673745
"1_2_2013-07-05",46924.6314503509
"1_2_2013-07-12",44919.2387815636
"1_2_2013-07-19",44985.2582335872
"1_2_2013-07-26",44329.6800069082
"1_3_2012-11-02",9491.97628686238
"1_3_2012-11-09",10124.0703038299
"1_3_2012-11-16",9777.85327251307
"1_3_2012-11-23",9527.63569832704
"1_3_2012-11-30",10272.424234786
"1_3_2012-12-07",12373.7851865277
"1_3_2012-12-14",12598.2734375225
"1_3_2012-12-21",12901.611010666
"1_3_2012-12-28",9104.4833783127
"1_3_2013-01-04",15180.4717127838
"1_3_2013-01-11",14144.8577823557
"1_3_2013-01-18",12589.6047894637
"1_3_2013-01-25",11595.0674025421
"1_3_2013-02-01",12252.457728928
"1_3_2013-02-08",12430.3211551326
"1_3_2013-02-15",11499.6563818796
"1_3_2013-02-22",11776.8913938389
"1_3_2013-03-01",12006.6107976642
"1_3_2013-03-08",12301.3273427392
"1_3_2013-03-15",9236.38032603873
"1_3_2013-03-22",8870.62981075952
"1_3_2013-03-29",9969.71114129751
"1_3_2013-04-05",11040.9656687819
"1_3_2013-04-12",8903.33283893324
"1_3_2013-04-19",9028.50470103901
"1_3_2013-04-26",9000.84144402584
"1_3_2013-05-03",10048.6336669572
"1_3_2013-05-10",9559.18535551563
"1_3_2013-05-17",8048.14364884278
"1_3_2013-05-24",7929.34245560687
"1_3_2013-05-31",7943.51586808209
"1_3_2013-06-07",7953.74176439461
"1_3_2013-06-14",7774.34167358303
"1_3_2013-06-21",6944.1131991031
"1_3_2013-06-28",7223.87953142348
"1_3_2013-07-05",7900.99098430721
"1_3_2013-07-12",10734.2056094788
"1_3_2013-07-19",16431.2160979738
"1_3_2013-07-26",20175.3673806343
"1_4_2012-11-02",38496.8623867683
"1_4_2012-11-09",38296.7206124558
"1_4_2012-11-16",37393.1408108129
"1_4_2012-11-23",47530.7785851415
"1_4_2012-11-30",39827.8442550562
"1_4_2012-12-07",39672.3133234802
"1_4_2012-12-14",38484.9576978205
"1_4_2012-12-21",45205.7629131679
"1_4_2012-12-28",39306.2579139228
"1_4_2013-01-04",40087.1529391648
"1_4_2013-01-11",36444.0477626201
"1_4_2013-01-18",34433.0262684617
"1_4_2013-01-25",34028.1469064007
"1_4_2013-02-01",40021.1232440012
"1_4_2013-02-08",39995.0740847856
"1_4_2013-02-15",37076.5613759983
"1_4_2013-02-22",36380.1236066137
"1_4_2013-03-01",38387.9777687035
"1_4_2013-03-08",38935.5899926588
"1_4_2013-03-15",36584.4728914696
"1_4_2013-03-22",36626.1124296296
"1_4_2013-03-29",36545.0949402448
"1_4_2013-04-05",40098.0774242192
"1_4_2013-04-12",36568.1366999255
"1_4_2013-04-19",36490.3321147815
"1_4_2013-04-26",36302.3242966169
"1_4_2013-05-03",38299.2864944516
"1_4_2013-05-10",35900.0480597768
"1_4_2013-05-17",34044.1449822524
"1_4_2013-05-24",37188.9111089005
"1_4_2013-05-31",41254.2606537236
"1_4_2013-06-07",39486.6262817602
"1_4_2013-06-14",37560.2116891588
"1_4_2013-06-21",36462.2191158768
