"Id","Weekly_Sales"
"1_1_2012-11-02",39259.5461664254
"1_1_2012-11-09",25529.1260049144
"1_1_2012-11-16",19298.7361808936
"1_1_2012-11-23",20911.25
"1_1_2012-11-30",25293.49
"1_1_2012-12-07",27490.6226623998
"1_1_2012-12-14",38103.1139643914
"1_1_2012-12-21",45843.1293523371
"1_1_2012-12-28",23350.88
"1_1_2013-01-04",16273.8733124044
"1_1_2013-01-11",17125.7858332127
"1_1_2013-01-18",17847.4146945126
"1_1_2013-01-25",18419.6325816885
"1_1_2013-02-01",22573.0528974991
"1_1_2013-02-08",37435.6726741247
"1_1_2013-02-15",50349.6918765617
"1_1_2013-02-22",20124.22
"1_1_2013-03-01",20113.03
"1_1_2013-03-08",21280.4
"1_1_2013-03-15",21043.39
"1_1_2013-03-22",22107.7
"1_1_2013-03-29",26229.21
"1_1_2013-04-05",57258.43
"1_1_2013-04-12",34684.21
"1_1_2013-04-19",17596.96
"1_1_2013-04-26",16347.6
"1_1_2013-05-03",17147.44
"1_1_2013-05-10",17413.94
"1_1_2013-05-17",18517.79
"1_1_2013-05-24",15741.6
"1_1_2013-05-31",16065.49
"1_1_2013-06-07",17558.09
"1_1_2013-06-14",16637.62
"1_1_2013-06-21",16216.27
"1_1_2013-06-28",15722.82
"1_1_2013-07-05",16333.14
"1_1_2013-07-12",16566.18
"1_1_2013-07-19",16348.06
"1_1_2013-07-26",15731.18
"1_2_2012-11-02",45674.6048120602
"1_2_2012-11-09",45654.376865183
"1_2_2012-11-16",43594.6548479989
"1_2_2012-11-23",44259.59
"1_2_2012-11-30",45928.14
"1_2_2012-12-07",46828.871033934
"1_2_2012-12-14",49010.951797153
"1_2_2012-12-21",56993.7863228831
"1_2_2012-12-28",43539.94
"1_2_2013-01-04",43838.1030354116
"1_2_2013-01-11",41575.8605776538
"1_2_2013-01-18",42664.3113880443
"1_2_2013-01-25",41603.5984075246
"1_2_2013-02-01",50464.5056506519
"1_2_2013-02-08",49070.040536962
"1_2_2013-02-15",47623.3723288734
"1_2_2013-02-22",47080.12
"1_2_2013-03-01",52608.51
"1_2_2013-03-08",48465.72
"1_2_2013-03-15",45222.3
"1_2_2013-03-22",44293.54
"1_2_2013-03-29",46529.68
"1_2_2013-04-05",48501.79
"1_2_2013-04-12",44464.74
"1_2_2013-04-19",45561.85
"1_2_2013-04-26",44418.11
"1_2_2013-05-03",50139.92
"1_2_2013-05-10",46717.76
"1_2_2013-05-17",44302.11
"1_2_2013-05-24",45072.11
"1_2_2013-05-31",47425.29
"1_2_2013-06-07",48754.47
"1_2_2013-06-14",46637.48
"1_2_2013-06-21",44428.71
"1_2_2013-06-28",45299.92
"1_2_2013-07-05",47077.72
"1_2_2013-07-12",44411.95
"1_2_2013-07-19",45108.22
"1_2_2013-07-26",44763.33
"1_3_2012-11-02",9236.04955551193
"1_3_2012-11-09",9892.24734565464
"1_3_2012-11-16",9616.03237244602
"1_3_2012-11-23",9317.56000000001
"1_3_2012-11-30",10146.54
"1_3_2012-12-07",11869.131305735
"1_3_2012-12-14",12168.3645462216
"1_3_2012-12-21",12805.3051335458
"1_3_2012-12-28",8848.44
"1_3_2013-01-04",14843.2434284363
"1_3_2013-01-11",13546.9745156727
"1_3_2013-01-18",12111.811309211
"1_3_2013-01-25",11281.6226623739
"1_3_2013-02-01",11730.6574468068
"1_3_2013-02-08",11900.7980658214
"1_3_2013-02-15",10961.2148943635
"1_3_2013-02-22",10502.4
"1_3_2013-03-01",11135.17
"1_3_2013-03-08",11925.71
"1_3_2013-03-15",8845.73
"1_3_2013-03-22",9001.37
"1_3_2013-03-29",9129.23000000001
"1_3_2013-04-05",10417.33
"1_3_2013-04-12",8212.97
"1_3_2013-04-19",8647.36
"1_3_2013-04-26",8653.62000000001
"1_3_2013-05-03",10420.92
"1_3_2013-05-10",9372.8
"1_3_2013-05-17",7939.01000000001
"1_3_2013-05-24",8120.7
"1_3_2013-05-31",8412.69
"1_3_2013-06-07",8001.41
"1_3_2013-06-14",7742.75000000001
"1_3_2013-06-21",7301.41
"1_3_2013-06-28",7577.59
"1_3_2013-07-05",7857.88000000001
"1_3_2013-07-12",11578.11
"1_3_2013-07-19",16069.5
"1_3_2013-07-26",21331.51
"1_4_2012-11-02",37232.3498091514
"1_4_2012-11-09",37399.9741930962
"1_4_2012-11-16",36312.9909438243
"1_4_2012-11-23",46564.14
"1_4_2012-11-30",38489.63
"1_4_2012-12-07",37913.0188733163
"1_4_2012-12-14",37305.6920603868
"1_4_2012-12-21",43298.3394220883
"1_4_2012-12-28",37371.22
"1_4_2013-01-04",39414.2844132156
"1_4_2013-01-11",35474.6566294567
"1_4_2013-01-18",33757.8841022836
"1_4_2013-01-25",33258.3877154813
"1_4_2013-02-01",38021.6651032987
"1_4_2013-02-08",38329.494626359
"1_4_2013-02-15",36514.8411128701
"1_4_2013-02-22",34953.85
"1_4_2013-03-01",37943.96
"1_4_2013-03-08",38086.19
"1_4_2013-03-15",34863.03
"1_4_2013-03-22",34813.12
"1_4_2013-03-29",34451.9
"1_4_2013-04-05",37809.49
"1_4_2013-04-12",36174.43
"1_4_2013-04-19",35132.7
"1_4_2013-04-26",34528.56
"1_4_2013-05-03",37827.69
"1_4_2013-05-10",35840.06
"1_4_2013-05-17",34137.41
"1_4_2013-05-24",36790.72
"1_4_2013-05-31",41566.55
"1_4_2013-06-07",40548.19
"1_4_2013-06-14",36579.96
"1_4_2013-06-21",35062.02
"1_4_2013-06-28",36451.71
"1_4_2013-07-05",39773.71
"1_4_2013-07-12",38073.91
"1_4_2013-07-19",35234.66
"1_4_2013-07-26",35555.5
"1_5_2012-11-02",23133.8428646012
"1_5_2012-11-09",27268.863900765
"1_5_2012-11-16",25467.1271611387
"1_5_2012-11-23",79340.15
"1_5_2012-11-30",32572.27
"1_5_2012-12-07",39054.9226448802
"1_5_2012-12-14",46419.9569279645
"1_5_2012-12-21",60530.7217689684
"1_5_2012-12-28",34981.76
"1_5_2013-01-04",22902.029838336
"1_5_2013-01-11",18345.1167411296
"1_5_2013-01-18",18864.3214650659
"1_5_2013-01-25",21745.0262843718
"1_5_2013-02-01",29764.3358657273
"1_5_2013-02-08",37376.3864902305
"1_5_2013-02-15",38058.3012916305
"1_5_2013-02-22",26468.27
"1_5_2013-03-01",28902.37
"1_5_2013-03-08",23704.37
"1_5_2013-03-15",22685.69
"1_5_2013-03-22",22632.57
"1_5_2013-03-29",23598.55
"1_5_2013-04-05",28386.81
"1_5_2013-04-12",18516.45
"1_5_2013-04-19",16645.01
"1_5_2013-04-26",17503.28
"1_5_2013-05-03",18953.07
"1_5_2013-05-10",17277.63
"1_5_2013-05-17",16891.66
"1_5_2013-05-24",16613.98
"1_5_2013-05-31",16848.76
"1_5_2013-06-07",22932.26
"1_5_2013-06-14",21376.63
"1_5_2013-06-21",21695.24
"1_5_2013-06-28",19239.86
"1_5_2013-07-05",18887.71
"1_5_2013-07-12",18444.8
"1_5_2013-07-19",17918.22
"1_5_2013-07-26",17313.46
"1_6_2012-11-02",5812.68094109679
"1_6_2012-11-09",4228.66812778559
"1_6_2012-11-16",3368.56445212232
"1_6_2012-11-23",18629.83
"1_6_2012-11-30",5240.63
"1_6_2012-12-07",6533.7296524826
"1_6_2012-12-14",8073.35411371358
"1_6_2012-12-21",15197.7628951655
"1_6_2012-12-28",6629.6
"1_6_2013-01-04",2300.31394202762
"1_6_2013-01-11",2407.93164528273
"1_6_2013-01-18",2292.62013159781
"1_6_2013-01-25",2323.01757914634
"1_6_2013-02-01",3641.21525075489
"1_6_2013-02-08",5807.27814791799
"1_6_2013-02-15",4127.55054617228
"1_6_2013-02-22",4203.87
"1_6_2013-03-01",5244.56
"1_6_2013-03-08",4183.3
"1_6_2013-03-15",3905.72
"1_6_2013-03-22",4508.3
"1_6_2013-03-29",4540.27
"1_6_2013-04-05",4132.61
"1_6_2013-04-12",4428.8
"1_6_2013-04-19",2995.07
"1_6_2013-04-26",3945.19
"1_6_2013-05-03",4736.15
"1_6_2013-05-10",4162.52
"1_6_2013-05-17",6030.81
"1_6_2013-05-24",5131.26
"1_6_2013-05-31",4021.54
"1_6_2013-06-07",4888.46
"1_6_2013-06-14",4082.04
"1_6_2013-06-21",3902.26
"1_6_2013-06-28",4239.1
"1_6_2013-07-05",3412.08
"1_6_2013-07-12",3154.33
"1_6_2013-07-19",3665.52
"1_6_2013-07-26",2839.92
"1_7_2012-11-02",20682.1128159649
"1_7_2012-11-09",22332.7330865079
"1_7_2012-11-16",21482.3741633855
"1_7_2012-11-23",71151.3400000001
"1_7_2012-11-30",33118.33
"1_7_2012-12-07",47578.8704456131
"1_7_2012-12-14",66656.7013092519
"1_7_2012-12-21",107253.243784888
"1_7_2012-12-28",38216.01
"1_7_2013-01-04",14768.9363689081
"1_7_2013-01-11",9959.30846302985
"1_7_2013-01-18",11369.9991620014
"1_7_2013-01-25",12533.4418761171
"1_7_2013-02-01",16895.5229237816
