"Id","Weekly_Sales"
"1_1_2012-11-02",39259.5461664254
"1_1_2012-11-09",25529.1260049144
"1_1_2012-11-16",19298.7361808936
"1_1_2012-11-23",20911.25
"1_1_2012-11-30",25293.49
"1_1_2012-12-07",27490.6226623998
"1_1_2012-12-14",38103.1139643914
"1_1_2012-12-21",45843.1293523371
"1_1_2012-12-28",23350.88
"1_1_2013-01-04",16273.8733124044
"1_1_2013-01-11",17125.7858332127
"1_1_2013-01-18",17847.4146945126
"1_1_2013-01-25",18419.6325816885
"1_1_2013-02-01",22573.0528974991
"1_1_2013-02-08",37435.6726741247
"1_1_2013-02-15",50349.6918765617
"1_1_2013-02-22",25627.6726600306
"1_1_2013-03-01",19944.9122302266
"1_1_2013-03-08",21414.4864782439
"1_1_2013-03-15",21234.9103499984
"1_1_2013-03-22",21702.0963723725
"1_1_2013-03-29",24982.0605217225
"1_1_2013-04-05",43583.8153697614
"1_1_2013-04-12",35089.5506373813
"1_1_2013-04-19",25365.4846211358
"1_1_2013-04-26",22658.067035798
"1_1_2013-05-03",17893.7328181078
"1_1_2013-05-10",17600.7787386545
"1_1_2013-05-17",17458.3617779728
"1_1_2013-05-24",15805.8269575019
"1_1_2013-05-31",16023.6321685078
"1_1_2013-06-07",17019.9036374274
"1_1_2013-06-14",16363.2630974258
"1_1_2013-06-21",16173.745181602
"1_1_2013-06-28",15801.0151524807
"1_1_2013-07-05",16755.2827748024
"1_1_2013-07-12",16620.0036327037
"1_1_2013-07-19",16414.0152894582
"1_1_2013-07-26",15669.9528437538
"1_2_2012-11-02",45674.6048120602
"1_2_2012-11-09",45654.376865183
"1_2_2012-11-16",43594.6548479989
"1_2_2012-11-23",44259.59
"1_2_2012-11-30",45928.14
"1_2_2012-12-07",46828.871033934
"1_2_2012-12-14",49010.951797153
"1_2_2012-12-21",56993.7863228831
"1_2_2012-12-28",43539.94
"1_2_2013-01-04",43838.1030354116
"1_2_2013-01-11",41575.8605776538
"1_2_2013-01-18",42664.3113880443
"1_2_2013-01-25",41603.5984075246
"1_2_2013-02-01",50464.5056506519
"1_2_2013-02-08",49070.040536962
"1_2_2013-02-15",47623.3723288734
"1_2_2013-02-22",47053.6757550884
"1_2_2013-03-01",49844.5309156674
"1_2_2013-03-08",48475.7584904618
"1_2_2013-03-15",45421.0951065586
"1_2_2013-03-22",44232.9014931915
"1_2_2013-03-29",45089.9068924126
"1_2_2013-04-05",49225.0809760613
"1_2_2013-04-12",44990.9999231837
"1_2_2013-04-19",45707.0218941512
"1_2_2013-04-26",44514.1682295626
"1_2_2013-05-03",48835.6227337351
"1_2_2013-05-10",46278.4220457515
"1_2_2013-05-17",44128.6949672553
"1_2_2013-05-24",45066.1238642632
"1_2_2013-05-31",46611.8885169001
"1_2_2013-06-07",48171.424957927
"1_2_2013-06-14",45524.6816184058
"1_2_2013-06-21",44286.2313603468
"1_2_2013-06-28",46048.3298406924
"1_2_2013-07-05",47120.1426555036
"1_2_2013-07-12",44789.6415347256
"1_2_2013-07-19",44852.4757156018
"1_2_2013-07-26",44314.9631462314
"1_3_2012-11-02",9236.04955551193
"1_3_2012-11-09",9892.24734565464
"1_3_2012-11-16",9616.03237244602
"1_3_2012-11-23",9317.56000000001
"1_3_2012-11-30",10146.54
"1_3_2012-12-07",11869.131305735
"1_3_2012-12-14",12168.3645462216
"1_3_2012-12-21",12805.3051335458
"1_3_2012-12-28",8848.44
"1_3_2013-01-04",14843.2434284363
"1_3_2013-01-11",13546.9745156727
"1_3_2013-01-18",12111.811309211
"1_3_2013-01-25",11281.6226623739
"1_3_2013-02-01",11730.6574468068
"1_3_2013-02-08",11900.7980658214
"1_3_2013-02-15",10961.2148943635
"1_3_2013-02-22",10824.5753109181
"1_3_2013-03-01",11186.4320277208
"1_3_2013-03-08",11614.1645029354
"1_3_2013-03-15",9010.13901966376
"1_3_2013-03-22",8640.39814313839
"1_3_2013-03-29",9389.97084711043
"1_3_2013-04-05",10281.2192854833
"1_3_2013-04-12",8729.47145925749
"1_3_2013-04-19",8776.2452667383
"1_3_2013-04-26",8718.87715753947
"1_3_2013-05-03",10124.6071378164
"1_3_2013-05-10",9464.32373842328
"1_3_2013-05-17",8151.26240487984
"1_3_2013-05-24",8090.96066956661
"1_3_2013-05-31",8121.92785327683
"1_3_2013-06-07",8031.43738476642
"1_3_2013-06-14",7804.73365523079
"1_3_2013-06-21",7183.70347740352
"1_3_2013-06-28",7392.28031642667
"1_3_2013-07-05",7889.00655702815
"1_3_2013-07-12",10767.2252940395
"1_3_2013-07-19",16485.6303683059
"1_3_2013-07-26",20200.87721811
"1_4_2012-11-02",37232.3498091514
"1_4_2012-11-09",37399.9741930962
"1_4_2012-11-16",36312.9909438243
"1_4_2012-11-23",46564.14
"1_4_2012-11-30",38489.63
"1_4_2012-12-07",37913.0188733163
"1_4_2012-12-14",37305.6920603868
"1_4_2012-12-21",43298.3394220883
"1_4_2012-12-28",37371.22
"1_4_2013-01-04",39414.2844132156
"1_4_2013-01-11",35474.6566294567
"1_4_2013-01-18",33757.8841022836
"1_4_2013-01-25",33258.3877154813
"1_4_2013-02-01",38021.6651032987
"1_4_2013-02-08",38329.494626359
"1_4_2013-02-15",36514.8411128701
"1_4_2013-02-22",35133.7033356369
"1_4_2013-03-01",36990.1881170972
"1_4_2013-03-08",37389.4264254106
"1_4_2013-03-15",35162.3289398733
"1_4_2013-03-22",35160.3987531964
"1_4_2013-03-29",35315.619070071
"1_4_2013-04-05",38737.9264662585
"1_4_2013-04-12",35665.5799954926
"1_4_2013-04-19",35402.3656813096
"1_4_2013-04-26",35057.003080106
"1_4_2013-05-03",37593.6406485002
"1_4_2013-05-10",35466.8136502211
"1_4_2013-05-17",34108.9525920726
"1_4_2013-05-24",36864.3237375691
"1_4_2013-05-31",40077.2932042463
"1_4_2013-06-07",38945.6798872963
"1_4_2013-06-14",37018.0302611549
"1_4_2013-06-21",35827.2132144034
"1_4_2013-06-28",36836.9661487144
"1_4_2013-07-05",41223.2667206383
"1_4_2013-07-12",37195.9576849582
"1_4_2013-07-19",35956.7950818711
"1_4_2013-07-26",35788.5138526096
"1_5_2012-11-02",23133.8428646012
"1_5_2012-11-09",27268.863900765
"1_5_2012-11-16",25467.1271611387
"1_5_2012-11-23",79340.15
"1_5_2012-11-30",32572.27
"1_5_2012-12-07",39054.9226448802
"1_5_2012-12-14",46419.9569279645
"1_5_2012-12-21",60530.7217689684
"1_5_2012-12-28",34981.76
"1_5_2013-01-04",22902.029838336
"1_5_2013-01-11",18345.1167411296
"1_5_2013-01-18",18864.3214650659
"1_5_2013-01-25",21745.0262843718
"1_5_2013-02-01",29764.3358657273
"1_5_2013-02-08",37376.3864902305
"1_5_2013-02-15",38058.3012916305
"1_5_2013-02-22",26926.3678602299
"1_5_2013-03-01",27768.680274251
"1_5_2013-03-08",24075.7941407422
"1_5_2013-03-15",24324.4534792399
"1_5_2013-03-22",22125.05442497
"1_5_2013-03-29",27583.5299042728
"1_5_2013-04-05",26749.8117291499
"1_5_2013-04-12",19821.2215421942
"1_5_2013-04-19",16237.2694360391
"1_5_2013-04-26",19580.0039205993
"1_5_2013-05-03",18933.0999894229
"1_5_2013-05-10",17323.5007976527
"1_5_2013-05-17",16784.8485922936
"1_5_2013-05-24",17105.9958182276
"1_5_2013-05-31",16613.0623118305
"1_5_2013-06-07",21988.3927667827
"1_5_2013-06-14",20287.8660118082
"1_5_2013-06-21",21873.6925156694
"1_5_2013-06-28",19504.0033027687
"1_5_2013-07-05",18843.6857063076
"1_5_2013-07-12",18909.4220005708
"1_5_2013-07-19",18372.4060389317
"1_5_2013-07-26",16214.7153049012
"1_6_2012-11-02",5812.68094109679
"1_6_2012-11-09",4228.66812778559
"1_6_2012-11-16",3368.56445212232
"1_6_2012-11-23",18629.83
"1_6_2012-11-30",5240.63
"1_6_2012-12-07",6533.7296524826
"1_6_2012-12-14",8073.35411371358
"1_6_2012-12-21",15197.7628951655
"1_6_2012-12-28",6629.6
"1_6_2013-01-04",2300.31394202762
"1_6_2013-01-11",2407.93164528273
"1_6_2013-01-18",2292.62013159781
"1_6_2013-01-25",2323.01757914634
"1_6_2013-02-01",3641.21525075489
"1_6_2013-02-08",5807.27814791799
"1_6_2013-02-15",4127.55054617228
"1_6_2013-02-22",4604.13972317465
"1_6_2013-03-01",5109.2908676935
"1_6_2013-03-08",4109.45489199329
"1_6_2013-03-15",4017.26906451185
"1_6_2013-03-22",4005.29097752548
"1_6_2013-03-29",4850.63637276949
"1_6_2013-04-05",4045.1064173603
"1_6_2013-04-12",4232.63450235787
"1_6_2013-04-19",3576.96248089252
"1_6_2013-04-26",3836.73663377946
"1_6_2013-05-03",5441.5773802477
"1_6_2013-05-10",4859.31490422164
"1_6_2013-05-17",5819.516361433
"1_6_2013-05-24",4617.63166941288
"1_6_2013-05-31",4350.15530628023
"1_6_2013-06-07",4381.6155197638
"1_6_2013-06-14",3695.08000158615
