"Id","Weekly_Sales"
"1_1_2012-11-02",19551.1149391211
"1_1_2012-11-09",19551.1149391211
"1_1_2012-11-16",19551.1149391211
"1_1_2012-11-23",19843.7458520145
"1_1_2012-11-30",19551.1149391211
"1_1_2012-12-07",38762.9227789157
"1_1_2012-12-14",38762.9227789157
"1_1_2012-12-21",38762.9227789157
"1_1_2012-12-28",21153.4091986484
"1_1_2013-01-04",17350.5830846011
"1_1_2013-01-11",17350.5830846011
"1_1_2013-01-18",17350.5830846011
"1_1_2013-01-25",17350.5830846011
"1_1_2013-02-01",23510.49
"1_1_2013-02-08",37887.17
"1_1_2013-02-15",23510.49
"1_1_2013-02-22",23510.49
"1_1_2013-03-01",21280.4
"1_1_2013-03-08",21280.4
"1_1_2013-03-15",21280.4
"1_1_2013-03-22",21280.4
"1_1_2013-03-29",21280.4
"1_1_2013-04-05",26227.0701314756
"1_1_2013-04-12",26227.0701314756
"1_1_2013-04-19",26227.0701314756
"1_1_2013-04-26",26227.0701314756
"1_1_2013-05-03",17191.2502502757
"1_1_2013-05-10",17191.2502502757
"1_1_2013-05-17",17191.2502502757
"1_1_2013-05-24",17191.2502502757
"1_1_2013-05-31",17191.2502502757
"1_1_2013-06-07",16328.72
"1_1_2013-06-14",16328.72
"1_1_2013-06-21",16328.72
"1_1_2013-06-28",16328.72
"1_1_2013-07-05",16035.3201824159
"1_1_2013-07-12",16035.3201824159
"1_1_2013-07-19",16035.3201824159
"1_1_2013-07-26",16035.3201824159
"1_2_2012-11-02",44465.1433912495
"1_2_2012-11-09",44465.1433912495
"1_2_2012-11-16",44465.1433912495
"1_2_2012-11-23",44966.2858014869
"1_2_2012-11-30",44465.1433912495
"1_2_2012-12-07",49330.3490559464
"1_2_2012-12-14",49330.3490559464
"1_2_2012-12-21",49330.3490559464
"1_2_2012-12-28",39529.3113240648
"1_2_2013-01-04",42420.9774361872
"1_2_2013-01-11",42420.9774361872
"1_2_2013-01-18",42420.9774361872
"1_2_2013-01-25",42420.9774361872
"1_2_2013-02-01",47080.12
"1_2_2013-02-08",47595.35
"1_2_2013-02-15",47080.12
"1_2_2013-02-22",47080.12
"1_2_2013-03-01",46529.68
"1_2_2013-03-08",46529.68
"1_2_2013-03-15",46529.68
"1_2_2013-03-22",46529.68
"1_2_2013-03-29",46529.68
"1_2_2013-04-05",45766.2086842451
"1_2_2013-04-12",45766.2086842451
"1_2_2013-04-19",45766.2086842451
"1_2_2013-04-26",45766.2086842451
"1_2_2013-05-03",44845.3582370575
"1_2_2013-05-10",44845.3582370575
"1_2_2013-05-17",44845.3582370575
"1_2_2013-05-24",44845.3582370575
"1_2_2013-05-31",44845.3582370575
"1_2_2013-06-07",46637.48
"1_2_2013-06-14",46637.48
"1_2_2013-06-21",46637.48
"1_2_2013-06-28",46637.48
"1_2_2013-07-05",45058.1978064842
"1_2_2013-07-12",45058.1978064842
"1_2_2013-07-19",45058.1978064842
"1_2_2013-07-26",45058.1978064842
"1_3_2012-11-02",9509.58272052103
"1_3_2012-11-09",9509.58272052103
"1_3_2012-11-16",9509.58272052103
"1_3_2012-11-23",9992.88414912427
"1_3_2012-11-30",9509.58272052103
"1_3_2012-12-07",12033.5273199646
"1_3_2012-12-14",12033.5273199646
"1_3_2012-12-21",12033.5273199646
"1_3_2012-12-28",8553.3264156836
"1_3_2013-01-04",12900.1268953643
"1_3_2013-01-11",12900.1268953643
"1_3_2013-01-18",12900.1268953643
"1_3_2013-01-25",12900.1268953643
"1_3_2013-02-01",11135.17
"1_3_2013-02-08",11428.25
"1_3_2013-02-15",11135.17
"1_3_2013-02-22",11135.17
"1_3_2013-03-01",10123.45
"1_3_2013-03-08",10123.45
"1_3_2013-03-15",10123.45
"1_3_2013-03-22",10123.45
"1_3_2013-03-29",10123.45
"1_3_2013-04-05",8801.35372810999
"1_3_2013-04-12",8801.35372810999
"1_3_2013-04-19",8801.35372810999
"1_3_2013-04-26",8801.35372810999
"1_3_2013-05-03",8510.79840937986
"1_3_2013-05-10",8510.79840937986
"1_3_2013-05-17",8510.79840937986
"1_3_2013-05-24",8510.79840937986
"1_3_2013-05-31",8510.79840937986
"1_3_2013-06-07",7658.75000000001
"1_3_2013-06-14",7658.75000000001
"1_3_2013-06-21",7658.75000000001
"1_3_2013-06-28",7658.75000000001
"1_3_2013-07-05",13435.8164836871
"1_3_2013-07-12",13435.8164836871
"1_3_2013-07-19",13435.8164836871
"1_3_2013-07-26",13435.8164836871
"1_4_2012-11-02",37366.7010315347
"1_4_2012-11-09",37366.7010315347
"1_4_2012-11-16",37366.7010315347
"1_4_2012-11-23",46382.4211115102
"1_4_2012-11-30",37366.7010315347
"1_4_2012-12-07",38609.3212109949
"1_4_2012-12-14",38609.3212109949
"1_4_2012-12-21",38609.3212109949
"1_4_2012-12-28",37141.9466694143
"1_4_2013-01-04",34085.9698978443
"1_4_2013-01-11",34085.9698978443
"1_4_2013-01-18",34085.9698978443
"1_4_2013-01-25",34085.9698978443
"1_4_2013-02-01",36479.25
"1_4_2013-02-08",37373.33
"1_4_2013-02-15",36479.25
"1_4_2013-02-22",36479.25
"1_4_2013-03-01",36586.52
"1_4_2013-03-08",36586.52
"1_4_2013-03-15",36586.52
"1_4_2013-03-22",36586.52
"1_4_2013-03-29",36586.52
"1_4_2013-04-05",35650.5210922793
"1_4_2013-04-12",35650.5210922793
"1_4_2013-04-19",35650.5210922793
"1_4_2013-04-26",35650.5210922793
"1_4_2013-05-03",36109.4015628898
"1_4_2013-05-10",36109.4015628898
"1_4_2013-05-17",36109.4015628898
"1_4_2013-05-24",36109.4015628898
"1_4_2013-05-31",36109.4015628898
"1_4_2013-06-07",37400.31
"1_4_2013-06-14",37400.31
"1_4_2013-06-21",37400.31
"1_4_2013-06-28",37400.31
"1_4_2013-07-05",36538.1280883694
"1_4_2013-07-12",36538.1280883694
"1_4_2013-07-19",36538.1280883694
"1_4_2013-07-26",36538.1280883694
"1_5_2012-11-02",26001.4813104729
"1_5_2012-11-09",26001.4813104729
"1_5_2012-11-16",26001.4813104729
"1_5_2012-11-23",74636.6227676434
"1_5_2012-11-30",26001.4813104729
"1_5_2012-12-07",46419.9569279645
"1_5_2012-12-14",46419.9569279645
"1_5_2012-12-21",46419.9569279645
"1_5_2012-12-28",33609.5895604235
"1_5_2013-01-04",20316.1733611179
"1_5_2013-01-11",20316.1733611179
"1_5_2013-01-18",20316.1733611179
"1_5_2013-01-25",20316.1733611179
"1_5_2013-02-01",30797.88
"1_5_2013-02-08",36667.65
"1_5_2013-02-15",30797.88
"1_5_2013-02-22",30797.88
"1_5_2013-03-01",23704.37
"1_5_2013-03-08",23704.37
"1_5_2013-03-15",23704.37
"1_5_2013-03-22",23704.37
"1_5_2013-03-29",23704.37
"1_5_2013-04-05",21896.0634538266
"1_5_2013-04-12",21896.0634538266
"1_5_2013-04-19",21896.0634538266
"1_5_2013-04-26",21896.0634538266
"1_5_2013-05-03",16752.3597338514
"1_5_2013-05-10",16752.3597338514
"1_5_2013-05-17",16752.3597338514
"1_5_2013-05-24",16752.3597338514
"1_5_2013-05-31",16752.3597338514
"1_5_2013-06-07",20233.9
"1_5_2013-06-14",20233.9
"1_5_2013-06-21",20233.9
"1_5_2013-06-28",20233.9
"1_5_2013-07-05",18039.4743885417
"1_5_2013-07-12",18039.4743885417
"1_5_2013-07-19",18039.4743885417
"1_5_2013-07-26",18039.4743885417
"1_6_2012-11-02",3874.58994472872
"1_6_2012-11-09",3874.58994472872
"1_6_2012-11-16",3874.58994472872
"1_6_2012-11-23",19384.6255838518
"1_6_2012-11-30",3874.58994472872
"1_6_2012-12-07",8236.28624402881
"1_6_2012-12-14",8236.28624402881
"1_6_2012-12-21",8236.28624402881
"1_6_2012-12-28",6244.88975503612
"1_6_2013-01-04",2391.44563597304
"1_6_2013-01-11",2391.44563597304
"1_6_2013-01-18",2391.44563597304
"1_6_2013-01-25",2391.44563597304
"1_6_2013-02-01",4203.87
"1_6_2013-02-08",7338.85
"1_6_2013-02-15",4203.87
"1_6_2013-02-22",4203.87
"1_6_2013-03-01",4221.25
"1_6_2013-03-08",4221.25
"1_6_2013-03-15",4221.25
"1_6_2013-03-22",4221.25
"1_6_2013-03-29",4221.25
"1_6_2013-04-05",4038.03017964783
"1_6_2013-04-12",4038.03017964783
"1_6_2013-04-19",4038.03017964783
"1_6_2013-04-26",4038.03017964783
"1_6_2013-05-03",5348.16797718494
"1_6_2013-05-10",5348.16797718494
"1_6_2013-05-17",5348.16797718494
"1_6_2013-05-24",5348.16797718494
"1_6_2013-05-31",5348.16797718494
"1_6_2013-06-07",4082.04
"1_6_2013-06-14",4082.04
"1_6_2013-06-21",4082.04
"1_6_2013-06-28",4082.04
"1_6_2013-07-05",3580.2274139731
"1_6_2013-07-12",3580.2274139731
"1_6_2013-07-19",3580.2274139731
"1_6_2013-07-26",3580.2274139731
"1_7_2012-11-02",23046.4932479107
"1_7_2012-11-09",23046.4932479107
"1_7_2012-11-16",23046.4932479107
"1_7_2012-11-23",71890.1378383661
"1_7_2012-11-30",23046.4932479107
"1_7_2012-12-07",66656.7013092519
"1_7_2012-12-14",66656.7013092519
"1_7_2012-12-21",66656.7013092519
"1_7_2012-12-28",32467.7923696826
"1_7_2013-01-04",11791.7508642251
"1_7_2013-01-11",11791.7508642251
"1_7_2013-01-18",11791.7508642251
"1_7_2013-01-25",11791.7508642251
"1_7_2013-02-01",17239.86
"1_7_2013-02-08",21169.06
"1_7_2013-02-15",17239.86
"1_7_2013-02-22",17239.86
"1_7_2013-03-01",19659.7
"1_7_2013-03-08",19659.7
"1_7_2013-03-15",19659.7
"1_7_2013-03-22",19659.7
"1_7_2013-03-29",19659.7
"1_7_2013-04-05",20906.5176616985
"1_7_2013-04-12",20906.5176616985
"1_7_2013-04-19",20906.5176616985
"1_7_2013-04-26",20906.5176616985
"1_7_2013-05-03",22138.8682967856
"1_7_2013-05-10",22138.8682967856
"1_7_2013-05-17",22138.8682967856
"1_7_2013-05-24",22138.8682967856
"1_7_2013-05-31",22138.8682967856
"1_7_2013-06-07",28912.18
"1_7_2013-06-14",28912.18
"1_7_2013-06-21",28912.18
"1_7_2013-06-28",28912.18
"1_7_2013-07-05",19214.7830108172
"1_7_2013-07-12",19214.7830108172
"1_7_2013-07-19",19214.7830108172
"1_7_2013-07-26",19214.7830108172
"1_8_2012-11-02",35643.2994871522
"1_8_2012-11-09",35643.2994871522
"1_8_2012-11-16",35643.2994871522
"1_8_2012-11-23",33669.5154165453
"1_8_2012-11-30",35643.2994871522
"1_8_2012-12-07",37055.1094249372
"1_8_2012-12-14",37055.1094249372
"1_8_2012-12-21",37055.1094249372
"1_8_2012-12-28",32585.4168413605
"1_8_2013-01-04",34876.8760310209
"1_8_2013-01-11",34876.8760310209
"1_8_2013-01-18",34876.8760310209
"1_8_2013-01-25",34876.8760310209
"1_8_2013-02-01",37244.73
"1_8_2013-02-08",37334.83
"1_8_2013-02-15",37244.73
"1_8_2013-02-22",37244.73
"1_8_2013-03-01",34415.39
"1_8_2013-03-08",34415.39
"1_8_2013-03-15",34415.39
"1_8_2013-03-22",34415.39
"1_8_2013-03-29",34415.39
"1_8_2013-04-05",34305.0410563302
"1_8_2013-04-12",34305.0410563302
"1_8_2013-04-19",34305.0410563302
"1_8_2013-04-26",34305.0410563302
"1_8_2013-05-03",35801.5311023617
"1_8_2013-05-10",35801.5311023617
"1_8_2013-05-17",35801.5311023617
"1_8_2013-05-24",35801.5311023617
"1_8_2013-05-31",35801.5311023617
"1_8_2013-06-07",36099.62
"1_8_2013-06-14",36099.62
"1_8_2013-06-21",36099.62
"1_8_2013-06-28",36099.62
"1_8_2013-07-05",34535.2861704681
