"Id","Weekly_Sales"
"1_1_2012-11-02",28498.4421232236
"1_1_2012-11-09",28034.8465970991
"1_1_2012-11-16",20326.433119231
"1_1_2012-11-23",22284.9510855464
"1_1_2012-11-30",21967.6610233169
"1_1_2012-12-07",35345.3366251723
"1_1_2012-12-14",27589.940547679
"1_1_2012-12-21",46195.4304099643
"1_1_2012-12-28",21590.4707493456
"1_1_2013-01-04",16812.0758031135
"1_1_2013-01-11",18218.2152888037
"1_1_2013-01-18",17472.7845062708
"1_1_2013-01-25",16951.6288397835
"1_1_2013-02-01",21452.7155193882
"1_1_2013-02-08",26620.7298564247
"1_1_2013-02-15",43627.4442132155
"1_1_2013-02-22",20183.183674962
"1_1_2013-03-01",19601.1762161554
"1_1_2013-03-08",19447.0955657913
"1_1_2013-03-15",18895.8308840835
"1_1_2013-03-22",20425.9322504307
"1_1_2013-03-29",86092.6823082459
"1_1_2013-04-05",20965.5819552767
"1_1_2013-04-12",16888.1571012787
"1_1_2013-04-19",16972.3927163274
"1_1_2013-04-26",16793.9163159966
"1_1_2013-05-03",14502.6118441116
"1_1_2013-05-10",14035.3902461505
"1_1_2013-05-17",14370.9514284697
"1_1_2013-05-24",12778.5005151278
"1_1_2013-05-31",12972.2107025969
"1_1_2013-06-07",13679.7208265289
"1_1_2013-06-14",13509.7859314176
"1_1_2013-06-21",13035.6428120276
"1_1_2013-06-28",13810.6898771646
"1_1_2013-07-05",17299.5365744305
"1_1_2013-07-12",14384.2466457165
"1_1_2013-07-19",13866.0197126765
"1_1_2013-07-26",13676.9651780901
"1_2_2012-11-02",45894.4569240228
"1_2_2012-11-09",47512.9091786218
"1_2_2012-11-16",46577.9754332185
"1_2_2012-11-23",45522.9405454605
"1_2_2012-11-30",46302.5678770574
"1_2_2012-12-07",46310.593643552
"1_2_2012-12-14",45369.2490281051
"1_2_2012-12-21",45896.3377708431
"1_2_2012-12-28",45522.6877157043
"1_2_2013-01-04",43746.4598610351
"1_2_2013-01-11",43612.3703968865
"1_2_2013-01-18",42883.4010058291
"1_2_2013-01-25",44344.6037112904
"1_2_2013-02-01",45962.2002275227
"1_2_2013-02-08",47474.6439608397
"1_2_2013-02-15",46611.4901480042
"1_2_2013-02-22",46694.6050401162
"1_2_2013-03-01",45051.7462086177
"1_2_2013-03-08",43859.7487501532
"1_2_2013-03-15",43620.7255004016
"1_2_2013-03-22",45209.4943361412
"1_2_2013-03-29",43579.7319816328
"1_2_2013-04-05",41788.630390532
"1_2_2013-04-12",41053.2939805784
"1_2_2013-04-19",40901.1192125967
"1_2_2013-04-26",40840.0467572018
"1_2_2013-05-03",42622.4268736494
"1_2_2013-05-10",42908.8315989758
"1_2_2013-05-17",44999.5899959518
"1_2_2013-05-24",44107.8899710806
"1_2_2013-05-31",43448.0094850827
"1_2_2013-06-07",42593.5907116075
"1_2_2013-06-14",44590.0194524491
"1_2_2013-06-21",44220.2520645026
"1_2_2013-06-28",43785.1829867902
"1_2_2013-07-05",44077.3010098217
"1_2_2013-07-12",43396.3358137922
"1_2_2013-07-19",42666.7971906982
"1_2_2013-07-26",43636.3473899211
"1_3_2012-11-02",10495.764325141
"1_3_2012-11-09",12130.9794168912
"1_3_2012-11-16",10748.2266489407
"1_3_2012-11-23",12218.93492618
"1_3_2012-11-30",11353.6602500626
"1_3_2012-12-07",11805.6769629358
"1_3_2012-12-14",11508.0254503333
"1_3_2012-12-21",12730.4624493948
"1_3_2012-12-28",11575.9448170024
"1_3_2013-01-04",12860.807892233
"1_3_2013-01-11",11787.5148934788
"1_3_2013-01-18",11220.86841885
"1_3_2013-01-25",11104.362280647
"1_3_2013-02-01",11069.8061364655
"1_3_2013-02-08",11128.9842130299
"1_3_2013-02-15",11556.7629886109
"1_3_2013-02-22",10756.1376945021
"1_3_2013-03-01",8956.01606067173
"1_3_2013-03-08",8849.53099773154
"1_3_2013-03-15",8723.83904622751
"1_3_2013-03-22",9581.33765137985
"1_3_2013-03-29",8956.44797939538
"1_3_2013-04-05",8619.5497772021
"1_3_2013-04-12",7724.15497383356
"1_3_2013-04-19",7536.33397093537
"1_3_2013-04-26",7855.30479647873
"1_3_2013-05-03",7996.07342771377
"1_3_2013-05-10",8020.66667802399
"1_3_2013-05-17",9403.30564405602
"1_3_2013-05-24",9488.54021590958
"1_3_2013-05-31",8288.06725836333
"1_3_2013-06-07",8480.10720781269
"1_3_2013-06-14",15781.008830379
"1_3_2013-06-21",11281.573323143
"1_3_2013-06-28",10944.9723283548
"1_3_2013-07-05",19510.0666791594
"1_3_2013-07-12",16835.6977291271
"1_3_2013-07-19",15330.7271001437
"1_3_2013-07-26",19001.5688049758
"1_4_2012-11-02",35816.1045115682
"1_4_2012-11-09",35867.0774262762
"1_4_2012-11-16",36732.6911602152
"1_4_2012-11-23",40480.2327791869
"1_4_2012-11-30",38086.0769186924
"1_4_2012-12-07",36467.9847353827
"1_4_2012-12-14",36905.8688155126
"1_4_2012-12-21",38285.7060371648
"1_4_2012-12-28",37319.4058881477
"1_4_2013-01-04",35074.0043880168
"1_4_2013-01-11",34765.7528742629
"1_4_2013-01-18",34289.5091051944
"1_4_2013-01-25",34373.2414042249
"1_4_2013-02-01",35204.9777569597
"1_4_2013-02-08",36572.3868816031
"1_4_2013-02-15",35948.9944466208
"1_4_2013-02-22",35634.6915788708
"1_4_2013-03-01",35333.603892834
"1_4_2013-03-08",34968.7375417582
"1_4_2013-03-15",34045.4926822639
"1_4_2013-03-22",36110.2664691799
"1_4_2013-03-29",35798.2572625549
"1_4_2013-04-05",33775.4033934181
"1_4_2013-04-12",32854.018983198
"1_4_2013-04-19",32411.8027148069
"1_4_2013-04-26",32534.4312038332
"1_4_2013-05-03",32611.5119290782
"1_4_2013-05-10",32681.8634848703
"1_4_2013-05-17",33934.0901039099
"1_4_2013-05-24",34412.2292152792
"1_4_2013-05-31",34414.727063258
"1_4_2013-06-07",33289.9651321535
"1_4_2013-06-14",34770.0064348079
"1_4_2013-06-21",34602.0943372017
"1_4_2013-06-28",34093.0415195251
"1_4_2013-07-05",34545.8046297447
"1_4_2013-07-12",34069.6072528428
"1_4_2013-07-19",33600.9387885748
"1_4_2013-07-26",33278.0440595088
"1_5_2012-11-02",30820.142702505
"1_5_2012-11-09",30581.5551849727
"1_5_2012-11-16",28639.1978692692
"1_5_2012-11-23",72310.3298659165
"1_5_2012-11-30",32270.1036139128
"1_5_2012-12-07",39257.4153177662
"1_5_2012-12-14",34813.1494613165
"1_5_2012-12-21",54168.2761469153
"1_5_2012-12-28",45599.5576119794
"1_5_2013-01-04",21903.6083136042
"1_5_2013-01-11",22530.3192631419
"1_5_2013-01-18",20487.6996336057
"1_5_2013-01-25",20852.5008695821
"1_5_2013-02-01",25400.6718184668
"1_5_2013-02-08",26830.7260330587
"1_5_2013-02-15",29631.8446873824
"1_5_2013-02-22",27512.7582570577
"1_5_2013-03-01",23410.0573928662
