"Id","Weekly_Sales"
"1_1_2012-11-02",29818.1170703332
"1_1_2012-11-09",22596.6311803333
"1_1_2012-11-16",23033.0994095
"1_1_2012-11-23",23334.541517
"1_1_2012-11-30",23028.5214103333
"1_1_2012-12-07",37009.8161098334
"1_1_2012-12-14",39132.9914466668
"1_1_2012-12-21",48929.0654217143
"1_1_2012-12-28",25329.4403028334
"1_1_2013-01-04",18437.9579553333
"1_1_2013-01-11",17794.8640345
"1_1_2013-01-18",18743.1264495
"1_1_2013-01-25",18420.6746645
"1_1_2013-02-01",28202.1975916666
"1_1_2013-02-08",40161.9157954761
"1_1_2013-02-15",36178.8074900001
"1_1_2013-02-22",28696.0105525
"1_1_2013-03-01",24376.7568683333
"1_1_2013-03-08",24411.6200758333
"1_1_2013-03-15",24178.0990383333
"1_1_2013-03-22",23649.8044558333
"1_1_2013-03-29",25309.9135383333
"1_1_2013-04-05",30446.5463333334
"1_1_2013-04-12",28080.6242591667
"1_1_2013-04-19",23663.9818916667
"1_1_2013-04-26",23130.1934225
"1_1_2013-05-03",18084.6614333333
"1_1_2013-05-10",18083.4071366667
"1_1_2013-05-17",18090.2090855
"1_1_2013-05-24",17738.4834406667
"1_1_2013-05-31",17775.2476013334
"1_1_2013-06-07",17462.4176355
"1_1_2013-06-14",17546.7655721667
"1_1_2013-06-21",17430.3446893333
"1_1_2013-06-28",17484.0721818333
"1_1_2013-07-05",17807.5667116667
"1_1_2013-07-12",17585.80161
"1_1_2013-07-19",17518.0280641667
"1_1_2013-07-26",17526.5975183333
"1_2_2012-11-02",46376.0101846666
"1_2_2012-11-09",45957.5341371666
"1_2_2012-11-16",46219.4830863333
"1_2_2012-11-23",47422.9288326429
"1_2_2012-11-30",46162.1122988095
"1_2_2012-12-07",48308.855914643
"1_2_2012-12-14",50520.963519643
"1_2_2012-12-21",67905.3303093334
"1_2_2012-12-28",45919.2214163332
"1_2_2013-01-04",45446.1193948334
"1_2_2013-01-11",44943.4477865
"1_2_2013-01-18",44465.955719
"1_2_2013-01-25",44782.8798015
"1_2_2013-02-01",50250.7094518334
"1_2_2013-02-08",49895.5819793334
"1_2_2013-02-15",49061.5101068333
"1_2_2013-02-22",48943.5837385001
"1_2_2013-03-01",49796.6153718333
"1_2_2013-03-08",49493.3350816667
"1_2_2013-03-15",49339.6539825001
"1_2_2013-03-22",48574.6195975001
"1_2_2013-03-29",48879.4983866667
"1_2_2013-04-05",49226.3496426668
"1_2_2013-04-12",48844.9752243334
"1_2_2013-04-19",48641.4030460001
"1_2_2013-04-26",48818.2553953334
"1_2_2013-05-03",46277.3309598334
"1_2_2013-05-10",46112.4442663334
"1_2_2013-05-17",46153.0918758334
"1_2_2013-05-24",47209.2527545
"1_2_2013-05-31",47387.8048061667
"1_2_2013-06-07",47563.2121174999
"1_2_2013-06-14",47927.6038149999
"1_2_2013-06-21",48582.7204743333
"1_2_2013-06-28",50656.381926627
"1_2_2013-07-05",50038.5166899604
"1_2_2013-07-12",49568.0789918334
"1_2_2013-07-19",48062.2498935001
"1_2_2013-07-26",49400.2610168334
"1_3_2012-11-02",9639.70877333334
"1_3_2012-11-09",9755.5140125
"1_3_2012-11-16",9716.42952583333
"1_3_2012-11-23",10242.094726
"1_3_2012-11-30",9620.60570083333
"1_3_2012-12-07",12093.3879083333
"1_3_2012-12-14",12533.7243308333
"1_3_2012-12-21",14854.3015966667
"1_3_2012-12-28",9784.53426866667
"1_3_2013-01-04",14641.0627891667
