"Id","Weekly_Sales"
"1_1_2012-11-02",40615.1144843023
"1_1_2012-11-09",24911.8461460949
"1_1_2012-11-16",19909.4705553174
"1_1_2012-11-23",21703.423585618
"1_1_2012-11-30",25008.9811394693
"1_1_2012-12-07",28233.2870123335
"1_1_2012-12-14",41409.3108507722
"1_1_2012-12-21",47297.5013613094
"1_1_2012-12-28",24004.5775692809
"1_1_2013-01-04",17184.1690606273
"1_1_2013-01-11",17715.0630184698
"1_1_2013-01-18",18246.7553177683
"1_1_2013-01-25",18965.3564964858
"1_1_2013-02-01",22970.105059504
"1_1_2013-02-08",39120.9509657275
"1_1_2013-02-15",52744.9260969685
"1_1_2013-02-22",24869.5453027123
"1_1_2013-03-01",21093.5864950507
"1_1_2013-03-08",21961.8159059503
"1_1_2013-03-15",22060.1583083526
"1_1_2013-03-22",22166.3981257647
"1_1_2013-03-29",25360.46857841
"1_1_2013-04-05",46230.3689091459
"1_1_2013-04-12",35839.6158459072
"1_1_2013-04-19",24988.463460428
"1_1_2013-04-26",22860.0738320763
"1_1_2013-05-03",18076.7364744629
"1_1_2013-05-10",17772.5951680168
"1_1_2013-05-17",17657.3670270025
"1_1_2013-05-24",15594.3412833718
"1_1_2013-05-31",15854.0454960421
"1_1_2013-06-07",16819.6555687406
"1_1_2013-06-14",16246.9223079549
"1_1_2013-06-21",15957.8687685
"1_1_2013-06-28",15610.5620920933
"1_1_2013-07-05",16640.16793377
"1_1_2013-07-12",16534.5065758673
"1_1_2013-07-19",16307.7281323496
"1_1_2013-07-26",15486.3454648937
"1_2_2012-11-02",46639.6809298011
"1_2_2012-11-09",46514.0354757631
"1_2_2012-11-16",44663.6282666194
"1_2_2012-11-23",44859.4172770601
"1_2_2012-11-30",46863.4733661271
"1_2_2012-12-07",48102.5955148092
"1_2_2012-12-14",50702.8883451379
"1_2_2012-12-21",60346.549628566
"1_2_2012-12-28",45387.6264208038
"1_2_2013-01-04",44949.4746697245
"1_2_2013-01-11",43283.0463375091
"1_2_2013-01-18",43890.4947445611
"1_2_2013-01-25",43372.9762725428
"1_2_2013-02-01",52773.2426410932
"1_2_2013-02-08",50702.9502968715
"1_2_2013-02-15",48212.0110831675
"1_2_2013-02-22",47945.6125099656
"1_2_2013-03-01",51944.1768962299
"1_2_2013-03-08",49812.5239372281
"1_2_2013-03-15",46533.8700103482
"1_2_2013-03-22",44817.1289313679
"1_2_2013-03-29",45995.5733043619
"1_2_2013-04-05",50922.8864714187
"1_2_2013-04-12",45767.5218276564
"1_2_2013-04-19",46882.1661477712
"1_2_2013-04-26",45032.8256735864
"1_2_2013-05-03",49225.8720277162
"1_2_2013-05-10",46786.745202947
"1_2_2013-05-17",44568.9264480733
"1_2_2013-05-24",45706.4730155493
"1_2_2013-05-31",47082.1883324884
"1_2_2013-06-07",48407.2525811346
"1_2_2013-06-14",46020.8638977177
"1_2_2013-06-21",44838.6008952909
"1_2_2013-06-28",46433.3081968126
"1_2_2013-07-05",47259.5026610891
"1_2_2013-07-12",45247.7061900413
"1_2_2013-07-19",45368.2565398185
"1_2_2013-07-26",44468.24129812
"1_3_2012-11-02",9409.16771399102
"1_3_2012-11-09",10101.4436785036
"1_3_2012-11-16",9787.57183075036
"1_3_2012-11-23",9519.06662791598
"1_3_2012-11-30",10282.6415873849
"1_3_2012-12-07",12389.0818103404
"1_3_2012-12-14",12619.6244080248
"1_3_2012-12-21",12923.7194595485
"1_3_2012-12-28",9076.60620770643
"1_3_2013-01-04",15139.4999941674
"1_3_2013-01-11",14136.7284300704
"1_3_2013-01-18",12602.4363189244
"1_3_2013-01-25",11583.7326805604
"1_3_2013-02-01",12194.1803156268
"1_3_2013-02-08",12420.9420559926
"1_3_2013-02-15",11423.4500462351
"1_3_2013-02-22",11563.5400738004
"1_3_2013-03-01",11863.2722640426
"1_3_2013-03-08",12231.5696760936
"1_3_2013-03-15",9205.02281310124
"1_3_2013-03-22",8842.4525874305
"1_3_2013-03-29",9859.70430206699
"1_3_2013-04-05",10897.5236005252
"1_3_2013-04-12",8916.35308054225
"1_3_2013-04-19",9006.51214825749
"1_3_2013-04-26",8972.05142134636
"1_3_2013-05-03",10075.3048223439
"1_3_2013-05-10",9535.1762751045
"1_3_2013-05-17",8061.7228707402
"1_3_2013-05-24",7977.16110574743
"1_3_2013-05-31",7998.43314507702
"1_3_2013-06-07",7941.43453671502
"1_3_2013-06-14",7749.83507956923
"1_3_2013-06-21",6942.60372683466
"1_3_2013-06-28",7273.56080646014
"1_3_2013-07-05",7875.31084468116
"1_3_2013-07-12",10669.5687089462
"1_3_2013-07-19",16518.8658354029
"1_3_2013-07-26",20237.6370634892
"1_4_2012-11-02",38466.7493318823
"1_4_2012-11-09",38329.1788343868
"1_4_2012-11-16",37359.0135689516
"1_4_2012-11-23",47570.7951274352
"1_4_2012-11-30",39965.4265919771
"1_4_2012-12-07",39830.5125233416
"1_4_2012-12-14",38528.9364056288
"1_4_2012-12-21",44992.0873929727
"1_4_2012-12-28",39369.5494737323
"1_4_2013-01-04",40094.1250186642
"1_4_2013-01-11",36531.1845648368
"1_4_2013-01-18",34555.1204580811
"1_4_2013-01-25",34134.9832094603
"1_4_2013-02-01",39993.6302215658
"1_4_2013-02-08",39904.2071971138
"1_4_2013-02-15",37079.0735010209
"1_4_2013-02-22",36501.173299274
"1_4_2013-03-01",38461.1583172553
"1_4_2013-03-08",38832.3172621477
"1_4_2013-03-15",36659.727450072
"1_4_2013-03-22",36711.4369297172
"1_4_2013-03-29",36584.4482364665
"1_4_2013-04-05",39859.5345996815
"1_4_2013-04-12",36662.7167633688
"1_4_2013-04-19",36546.2075772519
"1_4_2013-04-26",36385.2209163987
"1_4_2013-05-03",38230.1978268727
"1_4_2013-05-10",35809.9490761619
"1_4_2013-05-17",33887.2590231565
"1_4_2013-05-24",37270.5419016365
"1_4_2013-05-31",40949.3505792783
"1_4_2013-06-07",39530.3855560224
"1_4_2013-06-14",37636.0923985334
"1_4_2013-06-21",36336.5978332955
"1_4_2013-06-28",37240.5801443336
"1_4_2013-07-05",41866.7079864123
"1_4_2013-07-12",37784.0124598056
"1_4_2013-07-19",36472.4702338165
"1_4_2013-07-26",36254.6366947709
"1_5_2012-11-02",24127.7514965487
"1_5_2012-11-09",28035.9053050755
"1_5_2012-11-16",25711.7486804844
"1_5_2012-11-23",79887.2962028527
"1_5_2012-11-30",33770.9823271343
"1_5_2012-12-07",39826.8500405055
"1_5_2012-12-14",47631.361875932
"1_5_2012-12-21",63722.8853113235
"1_5_2012-12-28",37150.4643177927
"1_5_2013-01-04",23370.440796485
"1_5_2013-01-11",18936.8495142542
"1_5_2013-01-18",19420.5936277267
"1_5_2013-01-25",22251.0110806158
"1_5_2013-02-01",29685.2466906455
"1_5_2013-02-08",38152.8766887144
"1_5_2013-02-15",40166.2899302849
"1_5_2013-02-22",27774.6384897466
"1_5_2013-03-01",28147.6198602104
"1_5_2013-03-08",25258.4318489691
"1_5_2013-03-15",25553.5812265361
"1_5_2013-03-22",23080.304990586
"1_5_2013-03-29",27824.6566597781
"1_5_2013-04-05",27729.3191692749
"1_5_2013-04-12",20490.0810355531
