"Id","Weekly_Sales"
"1_1_2012-11-02",25289.2067476448
"1_1_2012-11-09",25289.2067476448
"1_1_2012-11-16",25289.2067476448
"1_1_2012-11-23",25749.1200979218
"1_1_2012-11-30",25289.2067476448
"1_1_2012-12-07",27259.2040314896
"1_1_2012-12-14",27259.2040314896
"1_1_2012-12-21",27259.2040314896
"1_1_2012-12-28",27719.1173817666
"1_1_2013-01-04",21966.9474052719
"1_1_2013-01-11",21966.9474052719
"1_1_2013-01-18",21966.9474052719
"1_1_2013-01-25",21966.9474052719
"1_1_2013-02-01",23833.5810398691
"1_1_2013-02-08",24293.4943901461
"1_1_2013-02-15",23833.5810398691
"1_1_2013-02-22",23833.5810398691
"1_1_2013-03-01",23364.7370828316
"1_1_2013-03-08",23364.7370828316
"1_1_2013-03-15",23364.7370828316
"1_1_2013-03-22",23364.7370828316
"1_1_2013-03-29",23364.7370828316
"1_1_2013-04-05",23580.3446029165
"1_1_2013-04-12",23580.3446029165
"1_1_2013-04-19",23580.3446029165
"1_1_2013-04-26",23580.3446029165
"1_1_2013-05-03",23644.5376474545
"1_1_2013-05-10",23644.5376474545
"1_1_2013-05-17",23644.5376474545
"1_1_2013-05-24",23644.5376474545
"1_1_2013-05-31",23644.5376474545
"1_1_2013-06-07",24184.8172387717
"1_1_2013-06-14",24184.8172387717
"1_1_2013-06-21",24184.8172387717
"1_1_2013-06-28",24184.8172387717
"1_1_2013-07-05",23711.1010781375
"1_1_2013-07-12",23711.1010781375
"1_1_2013-07-19",23711.1010781375
"1_1_2013-07-26",23711.1010781375
"1_2_2012-11-02",49682.7417732939
"1_2_2012-11-09",49682.7417732939
"1_2_2012-11-16",49682.7417732939
"1_2_2012-11-23",50142.6551235709
"1_2_2012-11-30",49682.7417732939
"1_2_2012-12-07",51652.7390571387
"1_2_2012-12-14",51652.7390571387
"1_2_2012-12-21",51652.7390571387
"1_2_2012-12-28",52112.6524074157
"1_2_2013-01-04",46360.4824309209
"1_2_2013-01-11",46360.4824309209
"1_2_2013-01-18",46360.4824309209
"1_2_2013-01-25",46360.4824309209
"1_2_2013-02-01",48227.1160655181
"1_2_2013-02-08",48687.0294157951
"1_2_2013-02-15",48227.1160655181
"1_2_2013-02-22",48227.1160655181
"1_2_2013-03-01",47758.2721084806
"1_2_2013-03-08",47758.2721084806
"1_2_2013-03-15",47758.2721084806
"1_2_2013-03-22",47758.2721084806
"1_2_2013-03-29",47758.2721084806
"1_2_2013-04-05",47973.8796285656
"1_2_2013-04-12",47973.8796285656
"1_2_2013-04-19",47973.8796285656
"1_2_2013-04-26",47973.8796285656
"1_2_2013-05-03",48038.0726731036
"1_2_2013-05-10",48038.0726731036
"1_2_2013-05-17",48038.0726731036
"1_2_2013-05-24",48038.0726731036
"1_2_2013-05-31",48038.0726731036
"1_2_2013-06-07",48578.3522644207
"1_2_2013-06-14",48578.3522644207
"1_2_2013-06-21",48578.3522644207
"1_2_2013-06-28",48578.3522644207
"1_2_2013-07-05",48104.6361037866
"1_2_2013-07-12",48104.6361037866
"1_2_2013-07-19",48104.6361037866
"1_2_2013-07-26",48104.6361037866
"1_3_2012-11-02",17869.4201757695
"1_3_2012-11-09",17869.4201757695
"1_3_2012-11-16",17869.4201757695
"1_3_2012-11-23",18329.3335260465
"1_3_2012-11-30",17869.4201757695
"1_3_2012-12-07",19839.4174596143
"1_3_2012-12-14",19839.4174596143
"1_3_2012-12-21",19839.4174596143
"1_3_2012-12-28",20299.3308098913
"1_3_2013-01-04",14547.1608333966
"1_3_2013-01-11",14547.1608333966
"1_3_2013-01-18",14547.1608333966
"1_3_2013-01-25",14547.1608333966
"1_3_2013-02-01",16413.7944679937
"1_3_2013-02-08",16873.7078182707
"1_3_2013-02-15",16413.7944679937
"1_3_2013-02-22",16413.7944679937
"1_3_2013-03-01",15944.9505109562
"1_3_2013-03-08",15944.9505109562
"1_3_2013-03-15",15944.9505109562
"1_3_2013-03-22",15944.9505109562
"1_3_2013-03-29",15944.9505109562
"1_3_2013-04-05",16160.5580310412
"1_3_2013-04-12",16160.5580310412
"1_3_2013-04-19",16160.5580310412
"1_3_2013-04-26",16160.5580310412
"1_3_2013-05-03",16224.7510755792
"1_3_2013-05-10",16224.7510755792
"1_3_2013-05-17",16224.7510755792
"1_3_2013-05-24",16224.7510755792
"1_3_2013-05-31",16224.7510755792
"1_3_2013-06-07",16765.0306668963
"1_3_2013-06-14",16765.0306668963
"1_3_2013-06-21",16765.0306668963
"1_3_2013-06-28",16765.0306668963
"1_3_2013-07-05",16291.3145062622
"1_3_2013-07-12",16291.3145062622
"1_3_2013-07-19",16291.3145062622
"1_3_2013-07-26",16291.3145062622
"1_4_2012-11-02",32050.3518976144
"1_4_2012-11-09",32050.3518976144
"1_4_2012-11-16",32050.3518976144
"1_4_2012-11-23",32510.2652478914
"1_4_2012-11-30",32050.3518976144
"1_4_2012-12-07",34020.3491814592
"1_4_2012-12-14",34020.3491814592
"1_4_2012-12-21",34020.3491814592
"1_4_2012-12-28",34480.2625317362
"1_4_2013-01-04",28728.0925552414
"1_4_2013-01-11",28728.0925552414
"1_4_2013-01-18",28728.0925552414
"1_4_2013-01-25",28728.0925552414
"1_4_2013-02-01",30594.7261898386
"1_4_2013-02-08",31054.6395401156
"1_4_2013-02-15",30594.7261898386
"1_4_2013-02-22",30594.7261898386
"1_4_2013-03-01",30125.8822328011
"1_4_2013-03-08",30125.8822328011
"1_4_2013-03-15",30125.8822328011
"1_4_2013-03-22",30125.8822328011
"1_4_2013-03-29",30125.8822328011
"1_4_2013-04-05",30341.4897528861
"1_4_2013-04-12",30341.4897528861
"1_4_2013-04-19",30341.4897528861
"1_4_2013-04-26",30341.4897528861
"1_4_2013-05-03",30405.6827974241
"1_4_2013-05-10",30405.6827974241
"1_4_2013-05-17",30405.6827974241
"1_4_2013-05-24",30405.6827974241
"1_4_2013-05-31",30405.6827974241
"1_4_2013-06-07",30945.9623887412
"1_4_2013-06-14",30945.9623887412
"1_4_2013-06-21",30945.9623887412
"1_4_2013-06-28",30945.9623887412
"1_4_2013-07-05",30472.2462281071
"1_4_2013-07-12",30472.2462281071
"1_4_2013-07-19",30472.2462281071
"1_4_2013-07-26",30472.2462281071
"1_5_2012-11-02",27389.0435004068
"1_5_2012-11-09",27389.0435004068
"1_5_2012-11-16",27389.0435004068
"1_5_2012-11-23",27848.9568506838
"1_5_2012-11-30",27389.0435004068
"1_5_2012-12-07",29359.0407842516
"1_5_2012-12-14",29359.0407842516
"1_5_2012-12-21",29359.0407842516
"1_5_2012-12-28",29818.9541345286
"1_5_2013-01-04",24066.7841580339
"1_5_2013-01-11",24066.7841580339
"1_5_2013-01-18",24066.7841580339
"1_5_2013-01-25",24066.7841580339
"1_5_2013-02-01",25933.417792631
"1_5_2013-02-08",26393.331142908
"1_5_2013-02-15",25933.417792631
"1_5_2013-02-22",25933.417792631
"1_5_2013-03-01",25464.5738355935
"1_5_2013-03-08",25464.5738355935
"1_5_2013-03-15",25464.5738355935
"1_5_2013-03-22",25464.5738355935
"1_5_2013-03-29",25464.5738355935
"1_5_2013-04-05",25680.1813556785
"1_5_2013-04-12",25680.1813556785
"1_5_2013-04-19",25680.1813556785
"1_5_2013-04-26",25680.1813556785
"1_5_2013-05-03",25744.3744002165
"1_5_2013-05-10",25744.3744002165
"1_5_2013-05-17",25744.3744002165
"1_5_2013-05-24",25744.3744002165
"1_5_2013-05-31",25744.3744002165
"1_5_2013-06-07",26284.6539915336
"1_5_2013-06-14",26284.6539915336
"1_5_2013-06-21",26284.6539915336
"1_5_2013-06-28",26284.6539915336
"1_5_2013-07-05",25810.9378308995
"1_5_2013-07-12",25810.9378308995
"1_5_2013-07-19",25810.9378308995
"1_5_2013-07-26",25810.9378308995
"1_6_2012-11-02",10591.9521245941
"1_6_2012-11-09",10591.9521245941
"1_6_2012-11-16",10591.9521245941
"1_6_2012-11-23",11051.8654748711
"1_6_2012-11-30",10591.9521245941
"1_6_2012-12-07",12561.9494084389
"1_6_2012-12-14",12561.9494084389
"1_6_2012-12-21",12561.9494084389
"1_6_2012-12-28",13021.8627587159
"1_6_2013-01-04",7269.69278222119
"1_6_2013-01-11",7269.69278222119
"1_6_2013-01-18",7269.69278222119
"1_6_2013-01-25",7269.69278222119
"1_6_2013-02-01",9136.32641681837
"1_6_2013-02-08",9596.23976709537
"1_6_2013-02-15",9136.32641681837
"1_6_2013-02-22",9136.32641681837
"1_6_2013-03-01",8667.48245978086
"1_6_2013-03-08",8667.48245978086
"1_6_2013-03-15",8667.48245978086
"1_6_2013-03-22",8667.48245978086
"1_6_2013-03-29",8667.48245978086
"1_6_2013-04-05",8883.08997986584
"1_6_2013-04-12",8883.08997986584
"1_6_2013-04-19",8883.08997986584
