"Id","Weekly_Sales"
"1_1_2012-11-02",24955.6807527281
"1_1_2012-11-09",24955.6807527281
"1_1_2012-11-16",24955.6807527281
"1_1_2012-11-23",21498.9610510625
"1_1_2012-11-30",24955.6807527281
"1_1_2012-12-07",40685.2654000077
"1_1_2012-12-14",40685.2654000077
"1_1_2012-12-21",40685.2654000077
"1_1_2012-12-28",24223.8821386155
"1_1_2013-01-04",18221.623671589
"1_1_2013-01-11",18221.623671589
"1_1_2013-01-18",18221.623671589
"1_1_2013-01-25",18221.623671589
"1_1_2013-02-01",30980.8032674821
"1_1_2013-02-08",41930.1573241547
"1_1_2013-02-15",30980.8032674821
"1_1_2013-02-22",30980.8032674821
"1_1_2013-03-01",22220.9761111536
"1_1_2013-03-08",22220.9761111536
"1_1_2013-03-15",22220.9761111536
"1_1_2013-03-22",22220.9761111536
"1_1_2013-03-29",22220.9761111536
"1_1_2013-04-05",31415.7888149766
"1_1_2013-04-12",31415.7888149766
"1_1_2013-04-19",31415.7888149766
"1_1_2013-04-26",31415.7888149766
"1_1_2013-05-03",17148.8257202245
"1_1_2013-05-10",17148.8257202245
"1_1_2013-05-17",17148.8257202245
"1_1_2013-05-24",17148.8257202245
"1_1_2013-05-31",17148.8257202245
"1_1_2013-06-07",16415.304695819
"1_1_2013-06-14",16415.304695819
"1_1_2013-06-21",16415.304695819
"1_1_2013-06-28",16415.304695819
"1_1_2013-07-05",16232.1421834273
"1_1_2013-07-12",16232.1421834273
"1_1_2013-07-19",16232.1421834273
"1_1_2013-07-26",16232.1421834273
"1_2_2012-11-02",44580.1230108566
"1_2_2012-11-09",44580.1230108566
"1_2_2012-11-16",44580.1230108566
"1_2_2012-11-23",44279.6770934453
"1_2_2012-11-30",44580.1230108566
"1_2_2012-12-07",50411.0510072139
"1_2_2012-12-14",50411.0510072139
"1_2_2012-12-21",50411.0510072139
"1_2_2012-12-28",47517.5327765861
"1_2_2013-01-04",42414.6772531818
"1_2_2013-01-11",42414.6772531818
"1_2_2013-01-18",42414.6772531818
"1_2_2013-01-25",42414.6772531818
"1_2_2013-02-01",47978.3583586231
"1_2_2013-02-08",47312.2578714231
"1_2_2013-02-15",47978.3583586231
"1_2_2013-02-22",47978.3583586231
"1_2_2013-03-01",46813.6091658209
"1_2_2013-03-08",46813.6091658209
"1_2_2013-03-15",46813.6091658209
"1_2_2013-03-22",46813.6091658209
"1_2_2013-03-29",46813.6091658209
"1_2_2013-04-05",46224.6770234856
"1_2_2013-04-12",46224.6770234856
"1_2_2013-04-19",46224.6770234856
"1_2_2013-04-26",46224.6770234856
"1_2_2013-05-03",45986.405026317
"1_2_2013-05-10",45986.405026317
"1_2_2013-05-17",45986.405026317
"1_2_2013-05-24",45986.405026317
"1_2_2013-05-31",45986.405026317
"1_2_2013-06-07",46334.8560151318
"1_2_2013-06-14",46334.8560151318
"1_2_2013-06-21",46334.8560151318
"1_2_2013-06-28",46334.8560151318
"1_2_2013-07-05",45323.9967632564
"1_2_2013-07-12",45323.9967632564
"1_2_2013-07-19",45323.9967632564
"1_2_2013-07-26",45323.9967632564
"1_3_2012-11-02",9605.64651595767
"1_3_2012-11-09",9605.64651595767
"1_3_2012-11-16",9605.64651595767
"1_3_2012-11-23",9920.97939987422
"1_3_2012-11-30",9605.64651595767
"1_3_2012-12-07",12431.4582908254
"1_3_2012-12-14",12431.4582908254
"1_3_2012-12-21",12431.4582908254
"1_3_2012-12-28",9529.79791396909
"1_3_2013-01-04",12902.1856842832
"1_3_2013-01-11",12902.1856842832
"1_3_2013-01-18",12902.1856842832
"1_3_2013-01-25",12902.1856842832
"1_3_2013-02-01",11511.1824060073
"1_3_2013-02-08",11533.1129736732
"1_3_2013-02-15",11511.1824060073
"1_3_2013-02-22",11511.1824060073
"1_3_2013-03-01",9961.91289456094
"1_3_2013-03-08",9961.91289456094
"1_3_2013-03-15",9961.91289456094
"1_3_2013-03-22",9961.91289456094
"1_3_2013-03-29",9961.91289456094
"1_3_2013-04-05",9129.68735309262
"1_3_2013-04-12",9129.68735309262
"1_3_2013-04-19",9129.68735309262
"1_3_2013-04-26",9129.68735309262
"1_3_2013-05-03",8902.61843762249
"1_3_2013-05-10",8902.61843762249
"1_3_2013-05-17",8902.61843762249
"1_3_2013-05-24",8902.61843762249
"1_3_2013-05-31",8902.61843762249
"1_3_2013-06-07",7646.79739755507
"1_3_2013-06-14",7646.79739755507
"1_3_2013-06-21",7646.79739755507
"1_3_2013-06-28",7646.79739755507
"1_3_2013-07-05",13977.8338379482
"1_3_2013-07-12",13977.8338379482
"1_3_2013-07-19",13977.8338379482
"1_3_2013-07-26",13977.8338379482
"1_4_2012-11-02",38594.290689275
"1_4_2012-11-09",38594.290689275
"1_4_2012-11-16",38594.290689275
"1_4_2012-11-23",40940.6312953744
"1_4_2012-11-30",38594.290689275
