"Id","Weekly_Sales"
"1_1_2012-11-02",24337.2890625
"1_1_2012-11-09",23107.345703125
"1_1_2012-11-16",22903.181640625
"1_1_2012-11-23",26988.294921875
"1_1_2012-11-30",23426.33984375
"1_1_2012-12-07",23729.041015625
"1_1_2012-12-14",24206.41015625
"1_1_2012-12-21",24194.212890625
"1_1_2012-12-28",25635.37890625
"1_1_2013-01-04",21501.4375
"1_1_2013-01-11",21218.029296875
"1_1_2013-01-18",20878.568359375
"1_1_2013-01-25",21899.759765625
"1_1_2013-02-01",22504.380859375
"1_1_2013-02-08",23590.740234375
"1_1_2013-02-15",22800.90625
"1_1_2013-02-22",22407.80078125
"1_1_2013-03-01",22253.265625
"1_1_2013-03-08",21517.095703125
"1_1_2013-03-15",21945.908203125
"1_1_2013-03-22",21988.005859375
"1_1_2013-03-29",21895.78515625
"1_1_2013-04-05",21811.400390625
"1_1_2013-04-12",21781.40234375
"1_1_2013-04-19",21835.615234375
"1_1_2013-04-26",21911.73828125
"1_1_2013-05-03",24407.859375
"1_1_2013-05-10",24488.55859375
"1_1_2013-05-17",24617.6796875
"1_1_2013-05-24",24436.48828125
"1_1_2013-05-31",24494.26171875
"1_1_2013-06-07",24566.302734375
"1_1_2013-06-14",25035.767578125
"1_1_2013-06-21",24790.474609375
"1_1_2013-06-28",24868.69921875
"1_1_2013-07-05",24273.6875
"1_1_2013-07-12",24638.865234375
"1_1_2013-07-19",24320.109375
"1_1_2013-07-26",24538.5625
"1_2_2012-11-02",47794.69921875
"1_2_2012-11-09",47095.80078125
"1_2_2012-11-16",46442.78515625
"1_2_2012-11-23",49017.234375
"1_2_2012-11-30",46713.796875
"1_2_2012-12-07",48861.1328125
"1_2_2012-12-14",49200.11328125
"1_2_2012-12-21",49524.57421875
"1_2_2012-12-28",49881.59765625
"1_2_2013-01-04",47955.15234375
"1_2_2013-01-11",47871.47265625
"1_2_2013-01-18",46949.94140625
"1_2_2013-01-25",48300.44140625
"1_2_2013-02-01",48338.66796875
"1_2_2013-02-08",48622.00390625
"1_2_2013-02-15",49417.24609375
"1_2_2013-02-22",49554.0625
"1_2_2013-03-01",48726.61328125
"1_2_2013-03-08",47649.03515625
"1_2_2013-03-15",48150.27734375
"1_2_2013-03-22",47668.72265625
"1_2_2013-03-29",47931.91796875
"1_2_2013-04-05",46116.46875
"1_2_2013-04-12",45420.15625
"1_2_2013-04-19",46514.796875
"1_2_2013-04-26",45775.8046875
"1_2_2013-05-03",55903.8828125
"1_2_2013-05-10",55934.6953125
"1_2_2013-05-17",56699.125
"1_2_2013-05-24",56562.9296875
"1_2_2013-05-31",56620.703125
"1_2_2013-06-07",57191.02734375
"1_2_2013-06-14",57374.79296875
"1_2_2013-06-21",57189.9375
"1_2_2013-06-28",56776.20703125
"1_2_2013-07-05",57722.08984375
"1_2_2013-07-12",57535.42578125
"1_2_2013-07-19",57857.76171875
"1_2_2013-07-26",56561.94921875
"1_3_2012-11-02",15350.3017578125
"1_3_2012-11-09",14120.337890625
"1_3_2012-11-16",13893.572265625
"1_3_2012-11-23",18014.884765625
"1_3_2012-11-30",14472.01953125
"1_3_2012-12-07",13292.2216796875
"1_3_2012-12-14",13834.6708984375
"1_3_2012-12-21",13778.7763671875
"1_3_2012-12-28",15159.69140625
"1_3_2013-01-04",12030.3896484375
"1_3_2013-01-11",11811.021484375
"1_3_2013-01-18",11631.4755859375
"1_3_2013-01-25",12368.7470703125
"1_3_2013-02-01",12896.322265625
"1_3_2013-02-08",13954.4638671875
"1_3_2013-02-15",13039.4609375
"1_3_2013-02-22",13327.548828125
"1_3_2013-03-01",12323.8955078125
"1_3_2013-03-08",11591.537109375
"1_3_2013-03-15",12365.65625
"1_3_2013-03-22",12377.3974609375
"1_3_2013-03-29",12046.2177734375
"1_3_2013-04-05",11978.767578125
"1_3_2013-04-12",11991.392578125
"1_3_2013-04-19",12864.880859375
"1_3_2013-04-26",11627.2578125
"1_3_2013-05-03",15514.205078125
"1_3_2013-05-10",14422.3271484375
"1_3_2013-05-17",14790.7763671875
"1_3_2013-05-24",16237.458984375
"1_3_2013-05-31",15343.9931640625
"1_3_2013-06-07",14964.9208984375
"1_3_2013-06-14",15434.392578125
"1_3_2013-06-21",15850.9560546875
"1_3_2013-06-28",16566.21875
"1_3_2013-07-05",17183.263671875
"1_3_2013-07-12",18112.337890625
"1_3_2013-07-19",19737.080078125
"1_3_2013-07-26",18598.681640625
"1_4_2012-11-02",36012.55859375
"1_4_2012-11-09",34833.91015625
"1_4_2012-11-16",34548.54296875
"1_4_2012-11-23",38393.1640625
"1_4_2012-11-30",34686.8515625
"1_4_2012-12-07",34053.2421875
"1_4_2012-12-14",34451.27734375
"1_4_2012-12-21",34676.74609375
"1_4_2012-12-28",35322.01171875
"1_4_2013-01-04",31854.271484375
"1_4_2013-01-11",31620.828125
"1_4_2013-01-18",31129.962890625
"1_4_2013-01-25",32403.998046875
"1_4_2013-02-01",32534.318359375
"1_4_2013-02-08",33603.21875
"1_4_2013-02-15",32865.9453125
"1_4_2013-02-22",32449.091796875
"1_4_2013-03-01",32609.84765625
"1_4_2013-03-08",31710.39453125
"1_4_2013-03-15",32139.20703125
"1_4_2013-03-22",32430.70703125
"1_4_2013-03-29",32067.705078125
"1_4_2013-04-05",31832.3515625
"1_4_2013-04-12",31889.546875
"1_4_2013-04-19",32020.0625
"1_4_2013-04-26",31793.41796875
"1_4_2013-05-03",38370.8515625
"1_4_2013-05-10",38378.890625
"1_4_2013-05-17",38499.890625
"1_4_2013-05-24",38318.6953125
"1_4_2013-05-31",38376.46875
"1_4_2013-06-07",38623.8046875
"1_4_2013-06-14",39093.2734375
"1_4_2013-06-21",38847.97265625
"1_4_2013-06-28",38926.19921875
"1_4_2013-07-05",38319.19921875
"1_4_2013-07-12",38737.20703125
"1_4_2013-07-19",38415.43359375
"1_4_2013-07-26",38633.88671875
"1_5_2012-11-02",38980.0078125
"1_5_2012-11-09",32543.947265625
"1_5_2012-11-16",33413.09375
"1_5_2012-11-23",44070.765625
"1_5_2012-11-30",37729.45703125
"1_5_2012-12-07",36267.73828125
"1_5_2012-12-14",37311.1796875
"1_5_2012-12-21",36384.1875
"1_5_2012-12-28",40409.1875
"1_5_2013-01-04",31850.48828125
"1_5_2013-01-11",27155.59375
"1_5_2013-01-18",28385.921875
"1_5_2013-01-25",28139.08203125
"1_5_2013-02-01",29184.919921875
"1_5_2013-02-08",34546.71875
"1_5_2013-02-15",30790.24609375
"1_5_2013-02-22",29022.23828125
"1_5_2013-03-01",29736.0234375
"1_5_2013-03-08",27529.248046875
"1_5_2013-03-15",29500.890625
"1_5_2013-03-22",26621.892578125
"1_5_2013-03-29",27457.080078125
"1_5_2013-04-05",25695.552734375
"1_5_2013-04-12",24912.40234375
"1_5_2013-04-19",24858.546875
"1_5_2013-04-26",27521.365234375
"1_5_2013-05-03",25811.111328125
"1_5_2013-05-10",26141.779296875
"1_5_2013-05-17",25668.62109375
"1_5_2013-05-24",24559.41015625
"1_5_2013-05-31",25281.17578125
"1_5_2013-06-07",25306.193359375
"1_5_2013-06-14",26017.138671875
"1_5_2013-06-21",25497.033203125
"1_5_2013-06-28",25401.994140625
"1_5_2013-07-05",24497.015625
"1_5_2013-07-12",24943.6953125
"1_5_2013-07-19",23652.109375
"1_5_2013-07-26",24338.609375
"1_6_2012-11-02",10440.46484375
"1_6_2012-11-09",9628.0185546875
"1_6_2012-11-16",8014.13916015625
"1_6_2012-11-23",13748.443359375
"1_6_2012-11-30",9789.6513671875
"1_6_2012-12-07",10544.861328125
"1_6_2012-12-14",10315.3525390625
"1_6_2012-12-21",10945.5107421875
"1_6_2012-12-28",12165.47265625
"1_6_2013-01-04",7151.70947265625
"1_6_2013-01-11",6237.02392578125
"1_6_2013-01-18",6071.419921875
"1_6_2013-01-25",6854.7109375
"1_6_2013-02-01",7336.4833984375
"1_6_2013-02-08",8839.0908203125
"1_6_2013-02-15",7890.17138671875
"1_6_2013-02-22",7452.31640625
"1_6_2013-03-01",6979.7138671875
"1_6_2013-03-08",6372.63818359375
"1_6_2013-03-15",6804.90625
"1_6_2013-03-22",6858.98291015625
"1_6_2013-03-29",6841.57763671875
"1_6_2013-04-05",7547.8330078125
"1_6_2013-04-12",7447.09375
"1_6_2013-04-19",7547.859375
"1_6_2013-04-26",7674.44970703125
"1_6_2013-05-03",9993.8056640625
"1_6_2013-05-10",10205.412109375
"1_6_2013-05-17",10217.4052734375
"1_6_2013-05-24",9935.4072265625
"1_6_2013-05-31",9917.328125
"1_6_2013-06-07",9636.275390625
"1_6_2013-06-14",10143.1220703125
"1_6_2013-06-21",9991.1513671875
"1_6_2013-06-28",10114.3408203125
"1_6_2013-07-05",9482.8828125
"1_6_2013-07-12",9812.8876953125
"1_6_2013-07-19",9554.091796875
"1_6_2013-07-26",9796.3310546875
"1_7_2012-11-02",36815.99609375
"1_7_2012-11-09",29023.494140625
"1_7_2012-11-16",32108.443359375
"1_7_2012-11-23",36340.7890625
"1_7_2012-11-30",35420.8203125
"1_7_2012-12-07",42290.8671875
"1_7_2012-12-14",45526.26953125
"1_7_2012-12-21",44663.30859375
"1_7_2012-12-28",55524.53515625
"1_7_2013-01-04",31013.794921875
"1_7_2013-01-11",27214.919921875
"1_7_2013-01-18",26479.32421875
"1_7_2013-01-25",27095.517578125
"1_7_2013-02-01",20711.189453125
"1_7_2013-02-08",24595.8359375
"1_7_2013-02-15",26542.181640625
"1_7_2013-02-22",24879.703125
"1_7_2013-03-01",24863.212890625
"1_7_2013-03-08",23707.833984375
"1_7_2013-03-15",23645.953125
"1_7_2013-03-22",20190.919921875
"1_7_2013-03-29",24086.5234375
"1_7_2013-04-05",22714.056640625
"1_7_2013-04-12",22922.369140625
"1_7_2013-04-19",24209.3046875
"1_7_2013-04-26",23753.232421875
"1_7_2013-05-03",27750.24609375
"1_7_2013-05-10",27817.421875
"1_7_2013-05-17",27257.408203125
"1_7_2013-05-24",26994.6953125
"1_7_2013-05-31",27096.3203125
"1_7_2013-06-07",30084.880859375
"1_7_2013-06-14",30375.17578125
"1_7_2013-06-21",29836.31640625
"1_7_2013-06-28",29639.880859375
"1_7_2013-07-05",26355.52734375
"1_7_2013-07-12",27586.955078125
"1_7_2013-07-19",25864.306640625
"1_7_2013-07-26",26040.619140625
"1_8_2012-11-02",38201.59375
"1_8_2012-11-09",36765.7578125
"1_8_2012-11-16",36614.59375
"1_8_2012-11-23",39624.23046875
"1_8_2012-11-30",36678.96484375
"1_8_2012-12-07",36225.2109375
"1_8_2012-12-14",36634.51953125
"1_8_2012-12-21",37095.58203125
"1_8_2012-12-28",37877.04296875
"1_8_2013-01-04",35453.0078125
"1_8_2013-01-11",35258.8828125
"1_8_2013-01-18",34896.140625
"1_8_2013-01-25",35783.4609375
"1_8_2013-02-01",36720.46875
"1_8_2013-02-08",37483.63671875
"1_8_2013-02-15",37537.203125
"1_8_2013-02-22",36326.63671875
"1_8_2013-03-01",36791.515625
"1_8_2013-03-08",35985.1171875
"1_8_2013-03-15",36238.046875
"1_8_2013-03-22",35968.3828125
"1_8_2013-03-29",36325.6796875
"1_8_2013-04-05",34228.33984375
