"Id","Weekly_Sales"
"1_1_2012-11-02",12597.9954120463
"1_1_2012-11-09",12783.6005647962
"1_1_2012-11-16",12714.5335895457
"1_1_2012-11-23",16240.6894151985
"1_1_2012-11-30",12580.2436050206
"1_1_2012-12-07",16542.0526802855
"1_1_2012-12-14",16152.3992713147
"1_1_2012-12-21",16360.2844068891
"1_1_2012-12-28",11994.9443222713
"1_1_2013-01-04",11253.4372634376
"1_1_2013-01-11",11401.9910591568
"1_1_2013-01-18",11258.7737244713
"1_1_2013-01-25",10846.3261377455
"1_1_2013-02-01",12700.6690322619
"1_1_2013-02-08",13033.0324829907
"1_1_2013-02-15",13320.2771077066
"1_1_2013-02-22",12059.6429163943
"1_1_2013-03-01",12027.4855348671
"1_1_2013-03-08",12207.2567481122
"1_1_2013-03-15",12200.395382275
"1_1_2013-03-22",12371.8335499052
"1_1_2013-03-29",13723.9459167174
"1_1_2013-04-05",12024.5667550511
"1_1_2013-04-12",12122.7979941647
"1_1_2013-04-19",12232.8373695482
"1_1_2013-04-26",12078.5537516915
"1_1_2013-05-03",12314.1517960548
"1_1_2013-05-10",12255.1071832775
"1_1_2013-05-17",12357.1425708654
"1_1_2013-05-24",12508.2986370181
"1_1_2013-05-31",12923.4273623121
"1_1_2013-06-07",12478.5766654486
"1_1_2013-06-14",12552.9832141178
"1_1_2013-06-21",12572.4007576379
"1_1_2013-06-28",12623.421570784
"1_1_2013-07-05",12628.2922905432
"1_1_2013-07-12",12049.957912298
"1_1_2013-07-19",11932.7868736629
"1_1_2013-07-26",11963.6403711235
"1_2_2012-11-02",48285.112870349
"1_2_2012-11-09",48828.1129670015
"1_2_2012-11-16",48626.2275346492
"1_2_2012-11-23",58698.1571968381
"1_2_2012-11-30",48233.1001311413
"1_2_2012-12-07",59539.1285213604
"1_2_2012-12-14",58451.2449059267
"1_2_2012-12-21",59032.2291015291
"1_2_2012-12-28",46510.2630202607
"1_2_2013-01-04",44304.4402593214
"1_2_2013-01-11",44748.5256962369
"1_2_2013-01-18",44320.4124043774
"1_2_2013-01-25",43081.5951120884
"1_2_2013-02-01",48585.6760539975
"1_2_2013-02-08",49555.5152251061
"1_2_2013-02-15",50389.9634960916
"1_2_2013-02-22",46701.4742143589
"1_2_2013-03-01",46606.4602161903
"1_2_2013-03-08",47137.0081602079
"1_2_2013-03-15",47116.7859393876
"1_2_2013-03-22",47621.4171470668
"1_2_2013-03-29",51556.9732771914
"1_2_2013-04-05",46597.833840653
"1_2_2013-04-12",46887.9359968542
"1_2_2013-04-19",47212.3819091412
"1_2_2013-04-26",46757.3267694749
"1_2_2013-05-03",47451.7785023273
"1_2_2013-05-10",47277.9760048382
"1_2_2013-05-17",47578.2260631789
"1_2_2013-05-24",48022.1596100637
"1_2_2013-05-31",49236.2058368732
"1_2_2013-06-07",47934.9488967882
"1_2_2013-06-14",48153.2003152394
"1_2_2013-06-21",48210.1162061143
"1_2_2013-06-28",48359.5873790467
"1_2_2013-07-05",48373.8507361617
"1_2_2013-07-12",46672.8634258505
"1_2_2013-07-19",46326.3773912638
"1_2_2013-07-26",46417.6765877123
"1_3_2012-11-02",11484.1782030938
"1_3_2012-11-09",11656.5540270632
"1_3_2012-11-16",11592.405527284
"1_3_2012-11-23",14873.4476430834
"1_3_2012-11-30",11467.6936653509
"1_3_2012-12-07",15154.3742287187
"1_3_2012-12-14",14791.1587574501
"1_3_2012-12-21",14984.9236427679
"1_3_2012-12-28",10924.3762021123
"1_3_2013-01-04",10236.633252398
"1_3_2013-01-11",10374.3621054013
"1_3_2013-01-18",10241.5803727675
"1_3_2013-01-25",9859.33169951774
"1_3_2013-02-01",11579.5289340327
"1_3_2013-02-08",11888.2658950923
"1_3_2013-02-15",12155.1856804551
"1_3_2013-02-22",10984.4148936995
"1_3_2013-03-01",10954.5730315677
"1_3_2013-03-08",11121.4150083576
"1_3_2013-03-15",11115.0464326813
"1_3_2013-03-22",11274.1877957002
"1_3_2013-03-29",12530.4350442878
"1_3_2013-04-05",10951.8644804988
"1_3_2013-04-12",11043.0259263997
"1_3_2013-04-19",11145.1588783496
"1_3_2013-04-26",11001.9645990147
"1_3_2013-05-03",11220.6396797368
"1_3_2013-05-10",11165.83027282
"1_3_2013-05-17",11260.5492574684
"1_3_2013-05-24",11400.8882854996
"1_3_2013-05-31",11786.4391015942
"1_3_2013-06-07",11373.2912621222
"1_3_2013-06-14",11442.3800216556
"1_3_2013-06-21",11460.4108153534
"1_3_2013-06-28",11507.7898392236
"1_3_2013-07-05",11512.313044141
"1_3_2013-07-12",10975.4271400215
"1_3_2013-07-19",10866.7002353239
"1_3_2013-07-26",10895.3286646502
"1_4_2012-11-02",31223.4526200714
"1_4_2012-11-09",31606.7282716087
"1_4_2012-11-16",31464.1913816465
"1_4_2012-11-23",38623.9523291704
"1_4_2012-11-30",31186.755937143
"1_4_2012-12-07",39225.9337002831
"1_4_2012-12-14",38447.3222772693
"1_4_2012-12-21",38863.0150601741
"1_4_2012-12-28",29972.8904657159
"1_4_2013-01-04",28423.5638551561
"1_4_2013-01-11",28735.0312239771
"1_4_2013-01-18",28434.7622062595
"1_4_2013-01-25",27567.1052383745
"1_4_2013-02-01",31435.5660628998
"1_4_2013-02-08",32120.648997493
"1_4_2013-02-15",32710.8724943822
"1_4_2013-02-22",30107.452539128
"1_4_2013-03-01",30040.5827630208
"1_4_2013-03-08",30414.1038810502
"1_4_2013-03-15",30399.8611776402
"1_4_2013-03-22",30755.4110668117
"1_4_2013-03-29",33537.5055750152
"1_4_2013-04-05",30034.5121130062
"1_4_2013-04-12",30238.7112448469
"1_4_2013-04-19",30467.1942752187
"1_4_2013-04-26",30146.7655982017
"1_4_2013-05-03",30635.8572235746
"1_4_2013-05-10",30513.4013072288
"1_4_2013-05-17",30724.9689339748
"1_4_2013-05-24",31037.9601340564
"1_4_2013-05-31",31894.98416893
"1_4_2013-06-07",30976.4562944886
"1_4_2013-06-14",31130.3896332396
"1_4_2013-06-21",31170.5409476557
"1_4_2013-06-28",31276.0018288736
"1_4_2013-07-05",31286.0667259058
"1_4_2013-07-12",30087.3155380052
"1_4_2013-07-19",29843.521987874
"1_4_2013-07-26",29907.7487150089
"1_5_2012-11-02",19016.8866813341
"1_5_2012-11-09",19274.791378519
"1_5_2012-11-16",19178.8482683147
"1_5_2012-11-23",24039.3773638642
"1_5_2012-11-30",18992.2074113273
"1_5_2012-12-07",24451.5735109056
"1_5_2012-12-14",23918.5295980703
"1_5_2012-12-21",24203.0106967875
"1_5_2012-12-28",18177.2433660805
"1_5_2013-01-04",17141.1049978474
"1_5_2013-01-11",17349.0279916387
"1_5_2013-01-18",17148.5772168378
"1_5_2013-01-25",16570.375097095
"1_5_2013-02-01",19159.584615812
"1_5_2013-02-08",19621.0144743508
"1_5_2013-02-15",20019.2082930775
"1_5_2013-02-22",18267.4511644457
"1_5_2013-03-01",18222.6187178422
"1_5_2013-03-08",18473.1506570453
"1_5_2013-03-15",18463.5928852617
"1_5_2013-03-22",18702.3016249172
"1_5_2013-03-29",20577.8907966339
"1_5_2013-04-05",18218.5491016548
"1_5_2013-04-12",18355.477115908
"1_5_2013-04-19",18508.7810393809
"1_5_2013-04-26",18293.8122821946
"1_5_2013-05-03",18622.0097474392
"1_5_2013-05-10",18539.7960516545
"1_5_2013-05-17",18681.8543281464
"1_5_2013-05-24",18892.1640486278
"1_5_2013-05-31",19468.9293299049
"1_5_2013-06-07",18850.8234181603
"1_5_2013-06-14",18954.3046380645
"1_5_2013-06-21",18981.303270666
"1_5_2013-06-28",19052.2313110488
"1_5_2013-07-05",19059.0015321808
"1_5_2013-07-12",18253.9495489471
"1_5_2013-07-19",18090.5493802182
"1_5_2013-07-26",18133.5858331547
"1_6_2012-11-02",4547.37985051624
"1_6_2012-11-09",4629.6293038887
"1_6_2012-11-16",4598.99747003423
"1_6_2012-11-23",6197.84095776429
"1_6_2012-11-30",4539.52469055955
"1_6_2012-12-07",6337.5031869052
"1_6_2012-12-14",6157.00714805122
"1_6_2012-12-21",6253.21328488219
"1_6_2012-12-28",4281.67148008222
"1_6_2013-01-04",3958.31052452541
"1_6_2013-01-11",4022.78586659563
"1_6_2013-01-18",3960.62393244511
"1_6_2013-01-25",3782.43291017715
"1_6_2013-02-01",4592.85202337547
"1_6_2013-02-08",4740.50184896559
"1_6_2013-02-15",4868.65397388068
"1_6_2013-02-22",4310.06379753178
"1_6_2013-03-01",4295.94836712161
"1_6_2013-03-08",4374.94664985827
"1_6_2013-03-15",4371.92758756841
"1_6_2013-03-22",4447.45416714617
"1_6_2013-03-29",5049.58023523991
"1_6_2013-04-05",4294.66751479189
"1_6_2013-04-12",4337.80562734656
"1_6_2013-04-19",4386.205076303
"1_6_2013-04-26",4318.3678926414
"1_6_2013-05-03",4422.0212519561
"1_6_2013-05-10",4396.00985788755
"1_6_2013-05-17",4440.97460276346
"1_6_2013-05-24",4507.70966166699
"1_6_2013-05-31",4691.73493151311
"1_6_2013-06-07",4494.57586745295
"1_6_2013-06-14",4527.46589454536
"1_6_2013-06-21",4536.05487545263
"1_6_2013-06-28",4558.63439118899
"1_6_2013-07-05",4560.79081652598
"1_6_2013-07-12",4305.81185562603
"1_6_2013-07-19",4254.42070363983
"1_6_2013-07-26",4267.94410787398
"1_7_2012-11-02",20028.0349092725
"1_7_2012-11-09",20296.8379860374
"1_7_2012-11-16",20196.8440510439
"1_7_2012-11-23",25257.8832644365
"1_7_2012-11-30",20002.3111894111
"1_7_2012-12-07",25686.6823054117
"1_7_2012-12-14",25132.1569380986
"1_7_2012-12-21",25428.1144647298
"1_7_2012-12-28",19152.6995680123
"1_7_2013-01-04",18072.050345227
"1_7_2013-01-11",18288.9482442518
"1_7_2013-01-18",18079.8454810149
"1_7_2013-01-25",17476.5703169148
"1_7_2013-02-01",20176.7665700849
"1_7_2013-02-08",20657.6451436858
"1_7_2013-02-15",21072.5477593135
"1_7_2013-02-22",19246.7577791413
"1_7_2013-03-01",19200.0121967886
"1_7_2013-03-08",19461.222907972
"1_7_2013-03-15",19451.2582840537
"1_7_2013-03-22",19700.1155591853
"1_7_2013-03-29",21654.5601992637
"1_7_2013-04-05",19195.7688704947
"1_7_2013-04-12",19338.5372919192
"1_7_2013-04-19",19498.3696162919
"1_7_2013-04-26",19274.2433599401
"1_7_2013-05-03",19616.4130816918
"1_7_2013-05-10",19530.7040550815
"1_7_2013-05-17",19678.7999946714
"1_7_2013-05-24",19898.031069063
"1_7_2013-05-31",20499.1601616354
"1_7_2013-06-07",19854.9383657145
"1_7_2013-06-14",19962.8037981988
"1_7_2013-06-21",19990.9454874941
"1_7_2013-06-28",20064.8748775442
"1_7_2013-07-05",20071.9314646417
"1_7_2013-07-12",19232.6801094518
"1_7_2013-07-19",19062.3014927788
"1_7_2013-07-26",19107.1771719218
"1_8_2012-11-02",34150.7123205545
