"Id","Weekly_Sales"
"1_1_2012-11-02",24348.8835127584
"1_1_2012-11-09",24607.8629544986
"1_1_2012-11-16",24655.6197381359
"1_1_2012-11-23",30012.0894130537
"1_1_2012-11-30",24881.1176252076
"1_1_2012-12-07",24869.0666062227
"1_1_2012-12-14",24504.9048841711
"1_1_2012-12-21",24671.9378063238
"1_1_2012-12-28",22628.5691223843
"1_1_2013-01-04",20274.2265371754
"1_1_2013-01-11",20899.8221641194
"1_1_2013-01-18",21427.9104676612
"1_1_2013-01-25",21735.3977762227
"1_1_2013-02-01",21731.2382972577
"1_1_2013-02-08",21987.6496101321
"1_1_2013-02-15",21354.3761930826
"1_1_2013-02-22",21399.4294967624
"1_1_2013-03-01",21446.8992647979
"1_1_2013-03-08",21507.9969309856
"1_1_2013-03-15",21555.3568854022
"1_1_2013-03-22",21734.5601553054
"1_1_2013-03-29",21523.7866394625
"1_1_2013-04-05",21466.1343251746
"1_1_2013-04-12",21742.8496264644
"1_1_2013-04-19",21886.7710279463
"1_1_2013-04-26",21715.8011448512
"1_1_2013-05-03",21060.7042997522
"1_1_2013-05-10",21054.9797065221
"1_1_2013-05-17",21106.4839359256
"1_1_2013-05-24",21274.1951257262
"1_1_2013-05-31",21198.7269361185
"1_1_2013-06-07",21140.861453516
"1_1_2013-06-14",21195.3508178691
"1_1_2013-06-21",21200.3864875621
"1_1_2013-06-28",21190.8340467578
"1_1_2013-07-05",21058.4775503556
"1_1_2013-07-12",21153.3978305139
"1_1_2013-07-19",21049.6115843692
"1_1_2013-07-26",21013.4284343785
"1_2_2012-11-02",24348.8835127584
"1_2_2012-11-09",24607.8629544986
"1_2_2012-11-16",24655.6197381359
"1_2_2012-11-23",30012.0894130537
"1_2_2012-11-30",24881.1176252076
"1_2_2012-12-07",24869.0666062227
"1_2_2012-12-14",24504.9048841711
"1_2_2012-12-21",24671.9378063238
"1_2_2012-12-28",22628.5691223843
"1_2_2013-01-04",20274.2265371754
"1_2_2013-01-11",20899.8221641194
"1_2_2013-01-18",21427.9104676612
"1_2_2013-01-25",21735.3977762227
"1_2_2013-02-01",21731.2382972577
"1_2_2013-02-08",21987.6496101321
"1_2_2013-02-15",21354.3761930826
"1_2_2013-02-22",21399.4294967624
"1_2_2013-03-01",21446.8992647979
"1_2_2013-03-08",21507.9969309856
"1_2_2013-03-15",21555.3568854022
"1_2_2013-03-22",21734.5601553054
"1_2_2013-03-29",21523.7866394625
"1_2_2013-04-05",21466.1343251746
"1_2_2013-04-12",21742.8496264644
"1_2_2013-04-19",21886.7710279463
"1_2_2013-04-26",21715.8011448512
"1_2_2013-05-03",21060.7042997522
"1_2_2013-05-10",21054.9797065221
"1_2_2013-05-17",21106.4839359256
"1_2_2013-05-24",21274.1951257262
"1_2_2013-05-31",21198.7269361185
"1_2_2013-06-07",21140.861453516
"1_2_2013-06-14",21195.3508178691
"1_2_2013-06-21",21200.3864875621
"1_2_2013-06-28",21190.8340467578
"1_2_2013-07-05",21058.4775503556
"1_2_2013-07-12",21153.3978305139
"1_2_2013-07-19",21049.6115843692
"1_2_2013-07-26",21013.4284343785
"1_3_2012-11-02",24348.8835127584
"1_3_2012-11-09",24607.8629544986
"1_3_2012-11-16",24655.6197381359
"1_3_2012-11-23",30012.0894130537
"1_3_2012-11-30",24881.1176252076
"1_3_2012-12-07",24869.0666062227
"1_3_2012-12-14",24504.9048841711
"1_3_2012-12-21",24671.9378063238
"1_3_2012-12-28",22628.5691223843
"1_3_2013-01-04",20274.2265371754
"1_3_2013-01-11",20899.8221641194
"1_3_2013-01-18",21427.9104676612
"1_3_2013-01-25",21735.3977762227
"1_3_2013-02-01",21731.2382972577
"1_3_2013-02-08",21987.6496101321
"1_3_2013-02-15",21354.3761930826
"1_3_2013-02-22",21399.4294967624
"1_3_2013-03-01",21446.8992647979
"1_3_2013-03-08",21507.9969309856
"1_3_2013-03-15",21555.3568854022
"1_3_2013-03-22",21734.5601553054
"1_3_2013-03-29",21523.7866394625
"1_3_2013-04-05",21466.1343251746
"1_3_2013-04-12",21742.8496264644
"1_3_2013-04-19",21886.7710279463
"1_3_2013-04-26",21715.8011448512
"1_3_2013-05-03",21060.7042997522
"1_3_2013-05-10",21054.9797065221
"1_3_2013-05-17",21106.4839359256
"1_3_2013-05-24",21274.1951257262
"1_3_2013-05-31",21198.7269361185
"1_3_2013-06-07",21140.861453516
"1_3_2013-06-14",21195.3508178691
"1_3_2013-06-21",21200.3864875621
"1_3_2013-06-28",21190.8340467578
"1_3_2013-07-05",21058.4775503556
"1_3_2013-07-12",21153.3978305139
"1_3_2013-07-19",21049.6115843692
"1_3_2013-07-26",21013.4284343785
"1_4_2012-11-02",24348.8835127584
"1_4_2012-11-09",24607.8629544986
"1_4_2012-11-16",24655.6197381359
"1_4_2012-11-23",30012.0894130537
"1_4_2012-11-30",24881.1176252076
"1_4_2012-12-07",24869.0666062227
"1_4_2012-12-14",24504.9048841711
"1_4_2012-12-21",24671.9378063238
"1_4_2012-12-28",22628.5691223843
"1_4_2013-01-04",20274.2265371754
"1_4_2013-01-11",20899.8221641194
"1_4_2013-01-18",21427.9104676612
"1_4_2013-01-25",21735.3977762227
"1_4_2013-02-01",21731.2382972577
"1_4_2013-02-08",21987.6496101321
"1_4_2013-02-15",21354.3761930826
"1_4_2013-02-22",21399.4294967624
"1_4_2013-03-01",21446.8992647979
"1_4_2013-03-08",21507.9969309856
"1_4_2013-03-15",21555.3568854022
"1_4_2013-03-22",21734.5601553054
"1_4_2013-03-29",21523.7866394625
"1_4_2013-04-05",21466.1343251746
"1_4_2013-04-12",21742.8496264644
"1_4_2013-04-19",21886.7710279463
"1_4_2013-04-26",21715.8011448512
"1_4_2013-05-03",21060.7042997522
"1_4_2013-05-10",21054.9797065221
"1_4_2013-05-17",21106.4839359256
"1_4_2013-05-24",21274.1951257262
"1_4_2013-05-31",21198.7269361185
"1_4_2013-06-07",21140.861453516
"1_4_2013-06-14",21195.3508178691
"1_4_2013-06-21",21200.3864875621
"1_4_2013-06-28",21190.8340467578
"1_4_2013-07-05",21058.4775503556
"1_4_2013-07-12",21153.3978305139
"1_4_2013-07-19",21049.6115843692
"1_4_2013-07-26",21013.4284343785
