"Id","Weekly_Sales"
"1_1_2012-11-02",28279.8279114344
"1_1_2012-11-09",28279.8279114344
"1_1_2012-11-16",28279.8279114344
"1_1_2012-11-23",28736.2568108058
"1_1_2012-11-30",28279.8279114344
"1_1_2012-12-07",30280.3458647234
"1_1_2012-12-14",30280.3458647234
"1_1_2012-12-21",30280.3458647234
"1_1_2012-12-28",30736.7747640949
"1_1_2013-01-04",24949.5949035207
"1_1_2013-01-11",24949.5949035207
"1_1_2013-01-18",24949.5949035207
"1_1_2013-01-25",24949.5949035207
"1_1_2013-02-01",26832.6600257223
"1_1_2013-02-08",27289.0889250937
"1_1_2013-02-15",26832.6600257223
"1_1_2013-02-22",26832.6600257223
"1_1_2013-03-01",26373.0275505797
"1_1_2013-03-08",26373.0275505797
"1_1_2013-03-15",26373.0275505797
"1_1_2013-03-22",26373.0275505797
"1_1_2013-03-29",26373.0275505797
"1_1_2013-04-05",26581.5453652528
"1_1_2013-04-12",26581.5453652528
"1_1_2013-04-19",26581.5453652528
"1_1_2013-04-26",26581.5453652528
"1_1_2013-05-03",26635.4077966612
"1_1_2013-05-10",26635.4077966612
"1_1_2013-05-17",26635.4077966612
"1_1_2013-05-24",26635.4077966612
"1_1_2013-05-31",26635.4077966612
"1_1_2013-06-07",27179.5035676367
"1_1_2013-06-14",27179.5035676367
"1_1_2013-06-21",27179.5035676367
"1_1_2013-06-28",27179.5035676367
"1_1_2013-07-05",26710.8140567021
"1_1_2013-07-12",26710.8140567021
"1_1_2013-07-19",26710.8140567021
"1_1_2013-07-26",26710.8140567021
"1_2_2012-11-02",52673.3629370716
"1_2_2012-11-09",52673.3629370716
"1_2_2012-11-16",52673.3629370716
"1_2_2012-11-23",53129.791836443
"1_2_2012-11-30",52673.3629370716
"1_2_2012-12-07",54673.8808903607
"1_2_2012-12-14",54673.8808903607
"1_2_2012-12-21",54673.8808903607
"1_2_2012-12-28",55130.3097897321
"1_2_2013-01-04",49343.1299291579
"1_2_2013-01-11",49343.1299291579
"1_2_2013-01-18",49343.1299291579
"1_2_2013-01-25",49343.1299291579
"1_2_2013-02-01",51226.1950513595
"1_2_2013-02-08",51682.6239507309
"1_2_2013-02-15",51226.1950513595
"1_2_2013-02-22",51226.1950513595
"1_2_2013-03-01",50766.5625762169
"1_2_2013-03-08",50766.5625762169
"1_2_2013-03-15",50766.5625762169
"1_2_2013-03-22",50766.5625762169
"1_2_2013-03-29",50766.5625762169
"1_2_2013-04-05",50975.08039089
"1_2_2013-04-12",50975.08039089
"1_2_2013-04-19",50975.08039089
"1_2_2013-04-26",50975.08039089
"1_2_2013-05-03",51028.9428222984
"1_2_2013-05-10",51028.9428222984
"1_2_2013-05-17",51028.9428222984
"1_2_2013-05-24",51028.9428222984
"1_2_2013-05-31",51028.9428222984
"1_2_2013-06-07",51573.0385932739
"1_2_2013-06-14",51573.0385932739
"1_2_2013-06-21",51573.0385932739
"1_2_2013-06-28",51573.0385932739
"1_2_2013-07-05",51104.3490823393
"1_2_2013-07-12",51104.3490823393
"1_2_2013-07-19",51104.3490823393
"1_2_2013-07-26",51104.3490823393
"1_3_2012-11-02",20860.0413395723
"1_3_2012-11-09",20860.0413395723
"1_3_2012-11-16",20860.0413395723
"1_3_2012-11-23",21316.4702389438
"1_3_2012-11-30",20860.0413395723
"1_3_2012-12-07",22860.5592928614
"1_3_2012-12-14",22860.5592928614
"1_3_2012-12-21",22860.5592928614
"1_3_2012-12-28",23316.9881922328
"1_3_2013-01-04",17529.8083316586
"1_3_2013-01-11",17529.8083316586
"1_3_2013-01-18",17529.8083316586
"1_3_2013-01-25",17529.8083316586
"1_3_2013-02-01",19412.8734538602
"1_3_2013-02-08",19869.3023532317
"1_3_2013-02-15",19412.8734538602
"1_3_2013-02-22",19412.8734538602
"1_3_2013-03-01",18953.2409787177
"1_3_2013-03-08",18953.2409787177
"1_3_2013-03-15",18953.2409787177
"1_3_2013-03-22",18953.2409787177
"1_3_2013-03-29",18953.2409787177
"1_3_2013-04-05",19161.7587933908
"1_3_2013-04-12",19161.7587933908
"1_3_2013-04-19",19161.7587933908
"1_3_2013-04-26",19161.7587933908
"1_3_2013-05-03",19215.6212247992
"1_3_2013-05-10",19215.6212247992
"1_3_2013-05-17",19215.6212247992
"1_3_2013-05-24",19215.6212247992
"1_3_2013-05-31",19215.6212247992
"1_3_2013-06-07",19759.7169957746
"1_3_2013-06-14",19759.7169957746
"1_3_2013-06-21",19759.7169957746
"1_3_2013-06-28",19759.7169957746
"1_3_2013-07-05",19291.02748484
"1_3_2013-07-12",19291.02748484
"1_3_2013-07-19",19291.02748484
"1_3_2013-07-26",19291.02748484
"1_4_2012-11-02",35040.9730613917
"1_4_2012-11-09",35040.9730613917
"1_4_2012-11-16",35040.9730613917
"1_4_2012-11-23",35497.4019607631
"1_4_2012-11-30",35040.9730613917
"1_4_2012-12-07",37041.4910146807
"1_4_2012-12-14",37041.4910146807
"1_4_2012-12-21",37041.4910146807
"1_4_2012-12-28",37497.9199140521
"1_4_2013-01-04",31710.740053478
"1_4_2013-01-11",31710.740053478
"1_4_2013-01-18",31710.740053478
"1_4_2013-01-25",31710.740053478
"1_4_2013-02-01",33593.8051756795
"1_4_2013-02-08",34050.2340750509
"1_4_2013-02-15",33593.8051756795
"1_4_2013-02-22",33593.8051756795
"1_4_2013-03-01",33134.172700537
"1_4_2013-03-08",33134.172700537
"1_4_2013-03-15",33134.172700537
"1_4_2013-03-22",33134.172700537
"1_4_2013-03-29",33134.172700537
"1_4_2013-04-05",33342.6905152101
"1_4_2013-04-12",33342.6905152101
"1_4_2013-04-19",33342.6905152101
"1_4_2013-04-26",33342.6905152101
"1_4_2013-05-03",33396.5529466185
"1_4_2013-05-10",33396.5529466185
"1_4_2013-05-17",33396.5529466185
"1_4_2013-05-24",33396.5529466185
"1_4_2013-05-31",33396.5529466185
"1_4_2013-06-07",33940.6487175939
"1_4_2013-06-14",33940.6487175939
"1_4_2013-06-21",33940.6487175939
"1_4_2013-06-28",33940.6487175939
"1_4_2013-07-05",33471.9592066593
"1_4_2013-07-12",33471.9592066593
"1_4_2013-07-19",33471.9592066593
"1_4_2013-07-26",33471.9592066593
"1_5_2012-11-02",30314.2192387023
"1_5_2012-11-09",30314.2192387023
"1_5_2012-11-16",30314.2192387023
"1_5_2012-11-23",30770.6481380737
"1_5_2012-11-30",30314.2192387023
"1_5_2012-12-07",32314.7371919914
"1_5_2012-12-14",32314.7371919914
"1_5_2012-12-21",32314.7371919914
"1_5_2012-12-28",32771.1660913628
"1_5_2013-01-04",26983.9862307886
"1_5_2013-01-11",26983.9862307886
"1_5_2013-01-18",26983.9862307886
"1_5_2013-01-25",26983.9862307886
"1_5_2013-02-01",28867.0513529902
"1_5_2013-02-08",29323.4802523616
"1_5_2013-02-15",28867.0513529902
"1_5_2013-02-22",28867.0513529902
"1_5_2013-03-01",28407.4188778476
"1_5_2013-03-08",28407.4188778476
"1_5_2013-03-15",28407.4188778476
"1_5_2013-03-22",28407.4188778476
"1_5_2013-03-29",28407.4188778476
"1_5_2013-04-05",28615.9366925207
"1_5_2013-04-12",28615.9366925207
"1_5_2013-04-19",28615.9366925207
"1_5_2013-04-26",28615.9366925207
"1_5_2013-05-03",28669.7991239291
"1_5_2013-05-10",28669.7991239291
"1_5_2013-05-17",28669.7991239291
"1_5_2013-05-24",28669.7991239291
"1_5_2013-05-31",28669.7991239291
"1_5_2013-06-07",29213.8948949046
"1_5_2013-06-14",29213.8948949046
"1_5_2013-06-21",29213.8948949046
"1_5_2013-06-28",29213.8948949046
"1_5_2013-07-05",28745.20538397
"1_5_2013-07-12",28745.20538397
"1_5_2013-07-19",28745.20538397
"1_5_2013-07-26",28745.20538397
"1_6_2012-11-02",13014.2333164381
"1_6_2012-11-09",13014.2333164381
"1_6_2012-11-16",13014.2333164381
"1_6_2012-11-23",13470.6622158095
"1_6_2012-11-30",13014.2333164381
"1_6_2012-12-07",15014.7512697271
"1_6_2012-12-14",15014.7512697271
"1_6_2012-12-21",15014.7512697271
"1_6_2012-12-28",15471.1801690986
"1_6_2013-01-04",9684.00030852437
"1_6_2013-01-11",9684.00030852437
"1_6_2013-01-18",9684.00030852437
"1_6_2013-01-25",9684.00030852437
"1_6_2013-02-01",11567.065430726
"1_6_2013-02-08",12023.4943300974
"1_6_2013-02-15",11567.065430726
"1_6_2013-02-22",11567.065430726
"1_6_2013-03-01",11107.4329555834
"1_6_2013-03-08",11107.4329555834
"1_6_2013-03-15",11107.4329555834
"1_6_2013-03-22",11107.4329555834
"1_6_2013-03-29",11107.4329555834
"1_6_2013-04-05",11315.9507702565
"1_6_2013-04-12",11315.9507702565
"1_6_2013-04-19",11315.9507702565
"1_6_2013-04-26",11315.9507702565
"1_6_2013-05-03",11369.8132016649
"1_6_2013-05-10",11369.8132016649
"1_6_2013-05-17",11369.8132016649
"1_6_2013-05-24",11369.8132016649
"1_6_2013-05-31",11369.8132016649
"1_6_2013-06-07",11913.9089726403
"1_6_2013-06-14",11913.9089726403
"1_6_2013-06-21",11913.9089726403
"1_6_2013-06-28",11913.9089726403
"1_6_2013-07-05",11445.2194617057
"1_6_2013-07-12",11445.2194617057
"1_6_2013-07-19",11445.2194617057
"1_6_2013-07-26",11445.2194617057
"1_7_2012-11-02",33227.58023623
"1_7_2012-11-09",33227.58023623
"1_7_2012-11-16",33227.58023623
"1_7_2012-11-23",33684.0091356014
"1_7_2012-11-30",33227.58023623
"1_7_2012-12-07",35228.0981895191
"1_7_2012-12-14",35228.0981895191
"1_7_2012-12-21",35228.0981895191
"1_7_2012-12-28",35684.5270888905
"1_7_2013-01-04",29897.3472283163
"1_7_2013-01-11",29897.3472283163
"1_7_2013-01-18",29897.3472283163
"1_7_2013-01-25",29897.3472283163
"1_7_2013-02-01",31780.4123505179
"1_7_2013-02-08",32236.8412498893
"1_7_2013-02-15",31780.4123505179
"1_7_2013-02-22",31780.4123505179
"1_7_2013-03-01",31320.7798753753
"1_7_2013-03-08",31320.7798753753
"1_7_2013-03-15",31320.7798753753
"1_7_2013-03-22",31320.7798753753
"1_7_2013-03-29",31320.7798753753
"1_7_2013-04-05",31529.2976900484
"1_7_2013-04-12",31529.2976900484
"1_7_2013-04-19",31529.2976900484
"1_7_2013-04-26",31529.2976900484
"1_7_2013-05-03",31583.1601214568
"1_7_2013-05-10",31583.1601214568
"1_7_2013-05-17",31583.1601214568
"1_7_2013-05-24",31583.1601214568
"1_7_2013-05-31",31583.1601214568
"1_7_2013-06-07",32127.2558924323
"1_7_2013-06-14",32127.2558924323
"1_7_2013-06-21",32127.2558924323
"1_7_2013-06-28",32127.2558924323
"1_7_2013-07-05",31658.5663814977
"1_7_2013-07-12",31658.5663814977
"1_7_2013-07-19",31658.5663814977
"1_7_2013-07-26",31658.5663814977
"1_8_2012-11-02",39257.6063403376
"1_8_2012-11-09",39257.6063403376
"1_8_2012-11-16",39257.6063403376
"1_8_2012-11-23",39714.035239709
"1_8_2012-11-30",39257.6063403376
"1_8_2012-12-07",41258.1242936267
"1_8_2012-12-14",41258.1242936267
"1_8_2012-12-21",41258.1242936267
"1_8_2012-12-28",41714.5531929981
"1_8_2013-01-04",35927.3733324239
"1_8_2013-01-11",35927.3733324239
"1_8_2013-01-18",35927.3733324239
"1_8_2013-01-25",35927.3733324239
"1_8_2013-02-01",37810.4384546255
"1_8_2013-02-08",38266.8673539969
"1_8_2013-02-15",37810.4384546255
"1_8_2013-02-22",37810.4384546255
"1_8_2013-03-01",37350.8059794829
"1_8_2013-03-08",37350.8059794829
"1_8_2013-03-15",37350.8059794829
"1_8_2013-03-22",37350.8059794829
"1_8_2013-03-29",37350.8059794829
"1_8_2013-04-05",37559.323794156
"1_8_2013-04-12",37559.323794156
"1_8_2013-04-19",37559.323794156
"1_8_2013-04-26",37559.323794156
"1_8_2013-05-03",37613.1862255644
"1_8_2013-05-10",37613.1862255644
"1_8_2013-05-17",37613.1862255644
"1_8_2013-05-24",37613.1862255644
"1_8_2013-05-31",37613.1862255644
"1_8_2013-06-07",38157.2819965399
"1_8_2013-06-14",38157.2819965399
"1_8_2013-06-21",38157.2819965399
"1_8_2013-06-28",38157.2819965399
"1_8_2013-07-05",37688.5924856053
"1_8_2013-07-12",37688.5924856053
"1_8_2013-07-19",37688.5924856053
"1_8_2013-07-26",37688.5924856053
"1_9_2012-11-02",29118.5291996404
"1_9_2012-11-09",29118.5291996404
"1_9_2012-11-16",29118.5291996404
"1_9_2012-11-23",29574.9580990118
"1_9_2012-11-30",29118.5291996404
"1_9_2012-12-07",31119.0471529294
"1_9_2012-12-14",31119.0471529294
"1_9_2012-12-21",31119.0471529294
"1_9_2012-12-28",31575.4760523009
"1_9_2013-01-04",25788.2961917267
"1_9_2013-01-11",25788.2961917267
"1_9_2013-01-18",25788.2961917267
"1_9_2013-01-25",25788.2961917267
"1_9_2013-02-01",27671.3613139282
"1_9_2013-02-08",28127.7902132997
"1_9_2013-02-15",27671.3613139282
"1_9_2013-02-22",27671.3613139282
"1_9_2013-03-01",27211.7288387857
"1_9_2013-03-08",27211.7288387857
"1_9_2013-03-15",27211.7288387857
"1_9_2013-03-22",27211.7288387857
"1_9_2013-03-29",27211.7288387857
"1_9_2013-04-05",27420.2466534588
"1_9_2013-04-12",27420.2466534588
"1_9_2013-04-19",27420.2466534588
"1_9_2013-04-26",27420.2466534588
"1_9_2013-05-03",27474.1090848672
"1_9_2013-05-10",27474.1090848672
"1_9_2013-05-17",27474.1090848672
"1_9_2013-05-24",27474.1090848672
"1_9_2013-05-31",27474.1090848672
"1_9_2013-06-07",28018.2048558426
"1_9_2013-06-14",28018.2048558426
"1_9_2013-06-21",28018.2048558426
"1_9_2013-06-28",28018.2048558426
"1_9_2013-07-05",27549.515344908
"1_9_2013-07-12",27549.515344908
"1_9_2013-07-19",27549.515344908
"1_9_2013-07-26",27549.515344908
"1_10_2012-11-02",27387.6151748443
"1_10_2012-11-09",27387.6151748443
"1_10_2012-11-16",27387.6151748443
"1_10_2012-11-23",27844.0440742157
"1_10_2012-11-30",27387.6151748443
"1_10_2012-12-07",29388.1331281334
"1_10_2012-12-14",29388.1331281334
"1_10_2012-12-21",29388.1331281334
"1_10_2012-12-28",29844.5620275048
"1_10_2013-01-04",24057.3821669306
"1_10_2013-01-11",24057.3821669306
"1_10_2013-01-18",24057.3821669306
"1_10_2013-01-25",24057.3821669306
"1_10_2013-02-01",25940.4472891322
"1_10_2013-02-08",26396.8761885036
"1_10_2013-02-15",25940.4472891322
"1_10_2013-02-22",25940.4472891322
"1_10_2013-03-01",25480.8148139896
"1_10_2013-03-08",25480.8148139896
"1_10_2013-03-15",25480.8148139896
"1_10_2013-03-22",25480.8148139896
"1_10_2013-03-29",25480.8148139896
"1_10_2013-04-05",25689.3326286627
"1_10_2013-04-12",25689.3326286627
"1_10_2013-04-19",25689.3326286627
"1_10_2013-04-26",25689.3326286627
"1_10_2013-05-03",25743.1950600711
"1_10_2013-05-10",25743.1950600711
"1_10_2013-05-17",25743.1950600711
"1_10_2013-05-24",25743.1950600711
"1_10_2013-05-31",25743.1950600711
"1_10_2013-06-07",26287.2908310466
"1_10_2013-06-14",26287.2908310466
"1_10_2013-06-21",26287.2908310466
"1_10_2013-06-28",26287.2908310466
"1_10_2013-07-05",25818.601320112
"1_10_2013-07-12",25818.601320112
"1_10_2013-07-19",25818.601320112
"1_10_2013-07-26",25818.601320112
"1_11_2012-11-02",23570.1202386664
"1_11_2012-11-09",23570.1202386664
"1_11_2012-11-16",23570.1202386664
"1_11_2012-11-23",24026.5491380378
"1_11_2012-11-30",23570.1202386664
"1_11_2012-12-07",25570.6381919554
"1_11_2012-12-14",25570.6381919554
"1_11_2012-12-21",25570.6381919554
"1_11_2012-12-28",26027.0670913269
"1_11_2013-01-04",20239.8872307527
"1_11_2013-01-11",20239.8872307527
"1_11_2013-01-18",20239.8872307527
"1_11_2013-01-25",20239.8872307527
"1_11_2013-02-01",22122.9523529543
"1_11_2013-02-08",22579.3812523257
"1_11_2013-02-15",22122.9523529543
"1_11_2013-02-22",22122.9523529543
"1_11_2013-03-01",21663.3198778117
"1_11_2013-03-08",21663.3198778117
"1_11_2013-03-15",21663.3198778117
"1_11_2013-03-22",21663.3198778117
"1_11_2013-03-29",21663.3198778117
"1_11_2013-04-05",21871.8376924848
"1_11_2013-04-12",21871.8376924848
"1_11_2013-04-19",21871.8376924848
"1_11_2013-04-26",21871.8376924848
"1_11_2013-05-03",21925.7001238932
"1_11_2013-05-10",21925.7001238932
"1_11_2013-05-17",21925.7001238932
"1_11_2013-05-24",21925.7001238932
"1_11_2013-05-31",21925.7001238932
"1_11_2013-06-07",22469.7958948687
"1_11_2013-06-14",22469.7958948687
"1_11_2013-06-21",22469.7958948687
"1_11_2013-06-28",22469.7958948687
"1_11_2013-07-05",22001.1063839341
"1_11_2013-07-12",22001.1063839341
"1_11_2013-07-19",22001.1063839341
"1_11_2013-07-26",22001.1063839341
"1_12_2012-11-02",13188.5466579918
"1_12_2012-11-09",13188.5466579918
"1_12_2012-11-16",13188.5466579918
"1_12_2012-11-23",13644.9755573632
"1_12_2012-11-30",13188.5466579918
"1_12_2012-12-07",15189.0646112808
"1_12_2012-12-14",15189.0646112808
"1_12_2012-12-21",15189.0646112808
"1_12_2012-12-28",15645.4935106522
"1_12_2013-01-04",9858.31365007805
"1_12_2013-01-11",9858.31365007805
"1_12_2013-01-18",9858.31365007805
"1_12_2013-01-25",9858.31365007805
"1_12_2013-02-01",11741.3787722796
"1_12_2013-02-08",12197.8076716511
"1_12_2013-02-15",11741.3787722796
"1_12_2013-02-22",11741.3787722796
"1_12_2013-03-01",11281.7462971371
"1_12_2013-03-08",11281.7462971371
"1_12_2013-03-15",11281.7462971371
"1_12_2013-03-22",11281.7462971371
"1_12_2013-03-29",11281.7462971371
"1_12_2013-04-05",11490.2641118102
"1_12_2013-04-12",11490.2641118102
"1_12_2013-04-19",11490.2641118102
"1_12_2013-04-26",11490.2641118102
"1_12_2013-05-03",11544.1265432186
"1_12_2013-05-10",11544.1265432186
"1_12_2013-05-17",11544.1265432186
"1_12_2013-05-24",11544.1265432186
"1_12_2013-05-31",11544.1265432186
"1_12_2013-06-07",12088.222314194
"1_12_2013-06-14",12088.222314194
"1_12_2013-06-21",12088.222314194
"1_12_2013-06-28",12088.222314194
"1_12_2013-07-05",11619.5328032594
"1_12_2013-07-12",11619.5328032594
"1_12_2013-07-19",11619.5328032594
"1_12_2013-07-26",11619.5328032594
"1_13_2012-11-02",39730.1454576806
"1_13_2012-11-09",39730.1454576806
"1_13_2012-11-16",39730.1454576806
"1_13_2012-11-23",40186.574357052
"1_13_2012-11-30",39730.1454576806
"1_13_2012-12-07",41730.6634109697
"1_13_2012-12-14",41730.6634109697
"1_13_2012-12-21",41730.6634109697
"1_13_2012-12-28",42187.0923103411
"1_13_2013-01-04",36399.9124497669
"1_13_2013-01-11",36399.9124497669
"1_13_2013-01-18",36399.9124497669
