"Id","Weekly_Sales"
"1_1_2012-11-02",23362.08984375
"1_1_2012-11-09",21572.8046875
"1_1_2012-11-16",23675.130859375
"1_1_2012-11-23",24479.255859375
"1_1_2012-11-30",23752.556640625
"1_1_2012-12-07",22106.55859375
"1_1_2012-12-14",24565.373046875
"1_1_2012-12-21",23354.693359375
"1_1_2012-12-28",25302.072265625
"1_1_2013-01-04",24615.771484375
"1_1_2013-01-11",23410.873046875
"1_1_2013-01-18",23860.767578125
"1_1_2013-01-25",22587.447265625
"1_1_2013-02-01",22652.482421875
"1_1_2013-02-08",23025.671875
"1_1_2013-02-15",23497.26171875
"1_1_2013-02-22",23044.97265625
"1_1_2013-03-01",22898.74609375
"1_1_2013-03-08",23044.97265625
"1_1_2013-03-15",22274.40234375
"1_1_2013-03-22",21038.451171875
"1_1_2013-03-29",23044.97265625
"1_1_2013-04-05",22116.0625
"1_1_2013-04-12",20414.244140625
"1_1_2013-04-19",19597.76953125
"1_1_2013-04-26",22116.0625
"1_1_2013-05-03",35887.15625
"1_1_2013-05-10",37157.30859375
"1_1_2013-05-17",36423.2265625
"1_1_2013-05-24",34163.46875
"1_1_2013-05-31",34163.46875
"1_1_2013-06-07",34163.46875
"1_1_2013-06-14",34163.46875
"1_1_2013-06-21",34163.46875
"1_1_2013-06-28",34640.48828125
"1_1_2013-07-05",34163.46875
"1_1_2013-07-12",34640.48828125
"1_1_2013-07-19",34163.46875
"1_1_2013-07-26",34163.46875
"1_2_2012-11-02",45902.84375
"1_2_2012-11-09",45915.02734375
"1_2_2012-11-16",46215.89453125
"1_2_2012-11-23",47020.03515625
"1_2_2012-11-30",46293.31640625
"1_2_2012-12-07",46448.78515625
"1_2_2012-12-14",47106.140625
"1_2_2012-12-21",45895.453125
"1_2_2012-12-28",47245.015625
"1_2_2013-01-04",46558.71875
"1_2_2013-01-11",45951.63671875
"1_2_2013-01-18",45803.71875
"1_2_2013-01-25",45128.2109375
"1_2_2013-02-01",45193.24609375
"1_2_2013-02-08",45566.44921875
"1_2_2013-02-15",46038.03125
"1_2_2013-02-22",45585.734375
"1_2_2013-03-01",45439.5078125
"1_2_2013-03-08",45585.734375
"1_2_2013-03-15",44815.16015625
"1_2_2013-03-22",45380.67578125
"1_2_2013-03-29",45585.734375
"1_2_2013-04-05",44656.83203125
"1_2_2013-04-12",44756.48046875
"1_2_2013-04-19",46388.375
"1_2_2013-04-26",44656.83203125
"1_2_2013-05-03",63740.6328125
"1_2_2013-05-10",62562.4296875
"1_2_2013-05-17",64276.71875
"1_2_2013-05-24",64759.05078125
"1_2_2013-05-31",64759.05078125
"1_2_2013-06-07",64759.05078125
"1_2_2013-06-14",64759.05078125
"1_2_2013-06-21",64759.05078125
"1_2_2013-06-28",65236.06640625
"1_2_2013-07-05",64759.05078125
"1_2_2013-07-12",65236.06640625
"1_2_2013-07-19",64759.05078125
"1_2_2013-07-26",64759.05078125
"1_3_2012-11-02",12304.83984375
"1_3_2012-11-09",12317.0224609375
"1_3_2012-11-16",12617.8818359375
"1_3_2012-11-23",13422.01171875
"1_3_2012-11-30",12695.3076171875
"1_3_2012-12-07",12850.77734375
"1_3_2012-12-14",13508.126953125
"1_3_2012-12-21",12297.4453125
"1_3_2012-12-28",13647.001953125
"1_3_2013-01-04",12960.7041015625
"1_3_2013-01-11",12353.6279296875
"1_3_2013-01-18",12205.7021484375
"1_3_2013-01-25",11530.19921875
"1_3_2013-02-01",11595.2373046875
"1_3_2013-02-08",11968.431640625
"1_3_2013-02-15",12440.021484375
"1_3_2013-02-22",11987.73046875
"1_3_2013-03-01",11841.5029296875
"1_3_2013-03-08",11987.73046875
"1_3_2013-03-15",11217.1572265625
"1_3_2013-03-22",11782.671875
"1_3_2013-03-29",11987.73046875
"1_3_2013-04-05",11058.822265625
"1_3_2013-04-12",11158.46875
"1_3_2013-04-19",12790.3603515625
"1_3_2013-04-26",11058.822265625
"1_3_2013-05-03",29589.896484375
"1_3_2013-05-10",28411.69140625
"1_3_2013-05-17",30125.978515625
"1_3_2013-05-24",30608.306640625
"1_3_2013-05-31",30608.306640625
"1_3_2013-06-07",30608.306640625
"1_3_2013-06-14",30608.306640625
"1_3_2013-06-21",30608.306640625
"1_3_2013-06-28",31085.32421875
"1_3_2013-07-05",30608.306640625
"1_3_2013-07-12",31085.32421875
"1_3_2013-07-19",30608.306640625
"1_3_2013-07-26",30608.306640625
"1_4_2012-11-02",28160.04296875
"1_4_2012-11-09",28172.22265625
"1_4_2012-11-16",28473.083984375
"1_4_2012-11-23",29362.095703125
"1_4_2012-11-30",28550.509765625
"1_4_2012-12-07",28252.29296875
"1_4_2012-12-14",29363.326171875
"1_4_2012-12-21",28152.646484375
"1_4_2012-12-28",29587.087890625
"1_4_2013-01-04",28815.900390625
"1_4_2013-01-11",28208.826171875
"1_4_2013-01-18",28060.896484375
"1_4_2013-01-25",27385.400390625
"1_4_2013-02-01",27450.435546875
"1_4_2013-02-08",27908.51171875
"1_4_2013-02-15",28295.21484375
"1_4_2013-02-22",27842.92578125
"1_4_2013-03-01",27696.69921875
"1_4_2013-03-08",27842.92578125
"1_4_2013-03-15",27072.35546875
"1_4_2013-03-22",27184.181640625
"1_4_2013-03-29",27842.92578125
"1_4_2013-04-05",26914.015625
"1_4_2013-04-12",27013.662109375
"1_4_2013-04-19",27397.28125
"1_4_2013-04-26",26914.015625
"1_4_2013-05-03",38986.58203125
"1_4_2013-05-10",38602.9609375
"1_4_2013-05-17",38986.58203125
"1_4_2013-05-24",38840.44140625
"1_4_2013-05-31",38840.44140625
"1_4_2013-06-07",38840.44140625
"1_4_2013-06-14",38840.44140625
"1_4_2013-06-21",38840.44140625
"1_4_2013-06-28",38840.44140625
"1_4_2013-07-05",38840.44140625
"1_4_2013-07-12",38840.44140625
"1_4_2013-07-19",38840.44140625
"1_4_2013-07-26",38840.44140625
"1_5_2012-11-02",20790.486328125
"1_5_2012-11-09",20802.666015625
"1_5_2012-11-16",21103.53125
"1_5_2012-11-23",21992.54296875
"1_5_2012-11-30",21180.953125
"1_5_2012-12-07",20882.736328125
"1_5_2012-12-14",21993.76953125
"1_5_2012-12-21",20783.08984375
"1_5_2012-12-28",22217.5390625
"1_5_2013-01-04",21446.3515625
"1_5_2013-01-11",20839.26953125
"1_5_2013-01-18",20691.34765625
"1_5_2013-01-25",20015.84375
"1_5_2013-02-01",20080.87890625
"1_5_2013-02-08",20538.958984375
"1_5_2013-02-15",20925.662109375
"1_5_2013-02-22",20473.373046875
"1_5_2013-03-01",20327.142578125
"1_5_2013-03-08",20473.373046875
"1_5_2013-03-15",19702.802734375
"1_5_2013-03-22",19814.62890625
"1_5_2013-03-29",20473.373046875
"1_5_2013-04-05",19544.462890625
"1_5_2013-04-12",19644.109375
"1_5_2013-04-19",19490.732421875
"1_5_2013-04-26",19544.462890625
"1_5_2013-05-03",31995.185546875
"1_5_2013-05-10",32148.56640625
"1_5_2013-05-17",31995.185546875
"1_5_2013-05-24",31849.048828125
"1_5_2013-05-31",31849.048828125
"1_5_2013-06-07",31849.048828125
"1_5_2013-06-14",31849.048828125
"1_5_2013-06-21",31849.048828125
"1_5_2013-06-28",31849.048828125
"1_5_2013-07-05",31849.048828125
"1_5_2013-07-12",31849.048828125
"1_5_2013-07-19",31849.048828125
"1_5_2013-07-26",31849.048828125
"1_6_2012-11-02",4877.9912109375
"1_6_2012-11-09",4890.171875
"1_6_2012-11-16",5191.03515625
"1_6_2012-11-23",6080.0478515625
"1_6_2012-11-30",5268.4609375
"1_6_2012-12-07",4970.244140625
"1_6_2012-12-14",6081.2783203125
"1_6_2012-12-21",4870.59765625
"1_6_2012-12-28",6305.041015625
"1_6_2013-01-04",5533.8603515625
"1_6_2013-01-11",4926.7802734375
"1_6_2013-01-18",4778.8583984375
"1_6_2013-01-25",4103.3544921875
"1_6_2013-02-01",4168.3896484375
"1_6_2013-02-08",4626.466796875
"1_6_2013-02-15",5013.1708984375
"1_6_2013-02-22",4560.880859375
"1_6_2013-03-01",4414.65234375
"1_6_2013-03-08",4560.880859375
"1_6_2013-03-15",3790.30932617188
"1_6_2013-03-22",3902.13647460938
"1_6_2013-03-29",4560.880859375
"1_6_2013-04-05",3631.97143554688
"1_6_2013-04-12",3731.61791992188
"1_6_2013-04-19",3578.2412109375
"1_6_2013-04-26",3631.97143554688
"1_6_2013-05-03",14619.5869140625
"1_6_2013-05-10",14772.962890625
"1_6_2013-05-17",14619.5869140625
"1_6_2013-05-24",14473.4462890625
"1_6_2013-05-31",14473.4462890625
"1_6_2013-06-07",14473.4462890625
"1_6_2013-06-14",14473.4462890625
"1_6_2013-06-21",14473.4462890625
"1_6_2013-06-28",14473.4462890625
"1_6_2013-07-05",14473.4462890625
"1_6_2013-07-12",14473.4462890625
"1_6_2013-07-19",14473.4462890625
"1_6_2013-07-26",14473.4462890625
"1_7_2012-11-02",26619.0078125
"1_7_2012-11-09",26631.1875
"1_7_2012-11-16",26932.052734375
"1_7_2012-11-23",27821.064453125
"1_7_2012-11-30",27009.478515625
"1_7_2012-12-07",26711.2578125
"1_7_2012-12-14",27822.294921875
"1_7_2012-12-21",26611.611328125
"1_7_2012-12-28",28046.052734375
"1_7_2013-01-04",27274.869140625
"1_7_2013-01-11",26667.794921875
"1_7_2013-01-18",26519.865234375
"1_7_2013-01-25",25844.369140625
"1_7_2013-02-01",25909.400390625
"1_7_2013-02-08",26367.48046875
"1_7_2013-02-15",26754.18359375
"1_7_2013-02-22",26301.89453125
"1_7_2013-03-01",26155.66796875
"1_7_2013-03-08",26301.89453125
"1_7_2013-03-15",25531.3203125
"1_7_2013-03-22",25643.146484375
"1_7_2013-03-29",26301.89453125
"1_7_2013-04-05",25372.98046875
"1_7_2013-04-12",25472.626953125
"1_7_2013-04-19",25319.25
"1_7_2013-04-26",25372.98046875
"1_7_2013-05-03",36534.9921875
"1_7_2013-05-10",36688.3671875
"1_7_2013-05-17",36534.9921875
"1_7_2013-05-24",36388.8515625
"1_7_2013-05-31",36388.8515625
"1_7_2013-06-07",36388.8515625
"1_7_2013-06-14",36388.8515625
"1_7_2013-06-21",36388.8515625
"1_7_2013-06-28",36388.8515625
"1_7_2013-07-05",36388.8515625
"1_7_2013-07-12",36388.8515625
"1_7_2013-07-19",36388.8515625
"1_7_2013-07-26",36388.8515625
"1_8_2012-11-02",34886.1640625
"1_8_2012-11-09",34898.34765625
"1_8_2012-11-16",34686.17578125
"1_8_2012-11-23",35532.84765625
"1_8_2012-11-30",34300.69921875
"1_8_2012-12-07",34523.4453125
"1_8_2012-12-14",34506.2734375
"1_8_2012-12-21",34423.796875
"1_8_2012-12-28",34629.625
"1_8_2013-01-04",33958.84375
"1_8_2013-01-11",33804.06640625
"1_8_2013-01-18",33203.84765625
"1_8_2013-01-25",33598.4921875
"1_8_2013-02-01",33721.58984375
"1_8_2013-02-08",34534.23828125
"1_8_2013-02-15",33893.140625
"1_8_2013-02-22",33893.140625
"1_8_2013-03-01",33939.5390625
"1_8_2013-03-08",33893.140625
"1_8_2013-03-15",33798.48046875
"1_8_2013-03-22",33910.3125
"1_8_2013-03-29",33893.140625
"1_8_2013-04-05",33640.15234375
"1_8_2013-04-12",33739.80078125
"1_8_2013-04-19",33586.42578125
"1_8_2013-04-26",33640.15234375
"1_8_2013-05-03",45364.81640625
"1_8_2013-05-10",45518.19140625
"1_8_2013-05-17",45364.81640625
"1_8_2013-05-24",45218.67578125
"1_8_2013-05-31",45218.67578125
"1_8_2013-06-07",45218.67578125
"1_8_2013-06-14",45218.67578125
"1_8_2013-06-21",45218.67578125
"1_8_2013-06-28",45218.67578125
"1_8_2013-07-05",45218.67578125
"1_8_2013-07-12",45218.67578125
"1_8_2013-07-19",45218.67578125
"1_8_2013-07-26",45218.67578125
"1_9_2012-11-02",26792.626953125
"1_9_2012-11-09",27211.806640625
"1_9_2012-11-16",26592.640625
"1_9_2012-11-23",27846.30078125
"1_9_2012-11-30",26207.1640625
"1_9_2012-12-07",26836.904296875
"1_9_2012-12-14",26140.6015625
"1_9_2012-12-21",26737.2578125
"1_9_2012-12-28",26263.953125
"1_9_2013-01-04",25593.17578125
"1_9_2013-01-11",25438.390625
"1_9_2013-01-18",24838.171875
"1_9_2013-01-25",25504.953125
"1_9_2013-02-01",26035.046875
"1_9_2013-02-08",26847.689453125
"1_9_2013-02-15",25527.462890625
"1_9_2013-02-22",25527.462890625
"1_9_2013-03-01",25573.857421875
"1_9_2013-03-08",25527.462890625
"1_9_2013-03-15",25704.943359375
"1_9_2013-03-22",26223.765625
"1_9_2013-03-29",25527.462890625
"1_9_2013-04-05",25953.599609375
"1_9_2013-04-12",26053.24609375
"1_9_2013-04-19",25899.869140625
"1_9_2013-04-26",25953.599609375
"1_9_2013-05-03",37217.6640625
"1_9_2013-05-10",37371.0390625
"1_9_2013-05-17",37217.6640625
"1_9_2013-05-24",37071.5234375
"1_9_2013-05-31",37071.5234375
"1_9_2013-06-07",37071.5234375
"1_9_2013-06-14",37071.5234375
"1_9_2013-06-21",37071.5234375
"1_9_2013-06-28",37071.5234375
"1_9_2013-07-05",37071.5234375
"1_9_2013-07-12",37071.5234375
"1_9_2013-07-19",37071.5234375
"1_9_2013-07-26",37071.5234375
"1_10_2012-11-02",24656.546875
"1_10_2012-11-09",25075.7265625
"1_10_2012-11-16",24456.560546875
"1_10_2012-11-23",25710.224609375
"1_10_2012-11-30",24071.083984375
"1_10_2012-12-07",24700.82421875
"1_10_2012-12-14",24004.521484375
"1_10_2012-12-21",24601.177734375
"1_10_2012-12-28",24127.873046875
"1_10_2013-01-04",23457.099609375
"1_10_2013-01-11",23967.859375
"1_10_2013-01-18",23367.64453125
"1_10_2013-01-25",24034.421875
"1_10_2013-02-01",24564.515625
"1_10_2013-02-08",25377.162109375
"1_10_2013-02-15",24056.931640625
"1_10_2013-02-22",24056.931640625
"1_10_2013-03-01",24103.326171875
"1_10_2013-03-08",24056.931640625
"1_10_2013-03-15",24234.412109375
"1_10_2013-03-22",24753.234375
"1_10_2013-03-29",24056.931640625
"1_10_2013-04-05",24483.068359375
"1_10_2013-04-12",24582.71484375
"1_10_2013-04-19",24429.337890625
"1_10_2013-04-26",24483.068359375
"1_10_2013-05-03",33182.4453125
"1_10_2013-05-10",33335.81640625
"1_10_2013-05-17",33182.4453125
"1_10_2013-05-24",33036.30859375
"1_10_2013-05-31",33036.30859375
"1_10_2013-06-07",33036.30859375
"1_10_2013-06-14",33036.30859375
"1_10_2013-06-21",33036.30859375
"1_10_2013-06-28",33036.30859375
"1_10_2013-07-05",33036.30859375
"1_10_2013-07-12",33036.30859375
"1_10_2013-07-19",33036.30859375
"1_10_2013-07-26",33036.30859375
"1_11_2012-11-02",19297.025390625
"1_11_2012-11-09",19716.205078125
"1_11_2012-11-16",19097.0390625
"1_11_2012-11-23",20350.69921875
"1_11_2012-11-30",18711.5625
"1_11_2012-12-07",19341.302734375
"1_11_2012-12-14",18645
"1_11_2012-12-21",19241.65625
"1_11_2012-12-28",18768.35546875
"1_11_2013-01-04",18097.578125
"1_11_2013-01-11",18608.337890625
"1_11_2013-01-18",18008.123046875
"1_11_2013-01-25",18674.900390625
"1_11_2013-02-01",19204.994140625
"1_11_2013-02-08",20017.63671875
"1_11_2013-02-15",18697.41015625
"1_11_2013-02-22",18697.41015625
"1_11_2013-03-01",18743.8046875
"1_11_2013-03-08",18697.41015625
"1_11_2013-03-15",18874.890625
"1_11_2013-03-22",19393.712890625
"1_11_2013-03-29",18697.41015625
"1_11_2013-04-05",19123.546875
"1_11_2013-04-12",19223.193359375
"1_11_2013-04-19",19069.81640625
"1_11_2013-04-26",19123.546875
"1_11_2013-05-03",27822.923828125
"1_11_2013-05-10",27976.30078125
"1_11_2013-05-17",27822.923828125
"1_11_2013-05-24",27676.783203125
"1_11_2013-05-31",27676.783203125
"1_11_2013-06-07",27676.783203125
"1_11_2013-06-14",27676.783203125
"1_11_2013-06-21",27676.783203125
"1_11_2013-06-28",27676.783203125
"1_11_2013-07-05",27676.783203125
"1_11_2013-07-12",27676.783203125
"1_11_2013-07-19",27676.783203125
"1_11_2013-07-26",27676.783203125
"1_12_2012-11-02",8041.54150390625
"1_12_2012-11-09",8460.7197265625
"1_12_2012-11-16",7841.5498046875
"1_12_2012-11-23",9095.212890625
"1_12_2012-11-30",7456.076171875
"1_12_2012-12-07",8085.82080078125
