"Id","Weekly_Sales"
"1_1_2012-11-02",20770.9609375
"1_1_2012-11-09",20466.5078125
"1_1_2012-11-16",20410.859375
"1_1_2012-11-23",20418.001953125
"1_1_2012-11-30",20436.197265625
"1_1_2012-12-07",20442.650390625
"1_1_2012-12-14",21148.3046875
"1_1_2012-12-21",21500.876953125
"1_1_2012-12-28",21775.72265625
"1_1_2013-01-04",20967.888671875
"1_1_2013-01-11",20181.416015625
"1_1_2013-01-18",20231.9765625
"1_1_2013-01-25",20348.39453125
"1_1_2013-02-01",20167.42578125
"1_1_2013-02-08",20216.845703125
"1_1_2013-02-15",20305.12890625
"1_1_2013-02-22",20143.779296875
"1_1_2013-03-01",20284.41015625
"1_1_2013-03-08",20059.8046875
"1_1_2013-03-15",20163.9765625
"1_1_2013-03-22",20205.83984375
"1_1_2013-03-29",20107.361328125
"1_1_2013-04-05",19383.966796875
"1_1_2013-04-12",19409.05078125
"1_1_2013-04-19",19431.716796875
"1_1_2013-04-26",19464.93359375
"1_1_2013-05-03",20559.408203125
"1_1_2013-05-10",20435.982421875
"1_1_2013-05-17",20262.482421875
"1_1_2013-05-24",19912.259765625
"1_1_2013-05-31",20177.7109375
"1_1_2013-06-07",20179.083984375
"1_1_2013-06-14",20229.51171875
"1_1_2013-06-21",20107.943359375
"1_1_2013-06-28",19943.60546875
"1_1_2013-07-05",20397.45703125
"1_1_2013-07-12",20282.849609375
"1_1_2013-07-19",19840.31640625
"1_1_2013-07-26",19471.79296875
"1_2_2012-11-02",20770.9609375
"1_2_2012-11-09",20466.5078125
"1_2_2012-11-16",20410.859375
"1_2_2012-11-23",20418.001953125
"1_2_2012-11-30",20436.197265625
"1_2_2012-12-07",20442.650390625
"1_2_2012-12-14",21148.3046875
"1_2_2012-12-21",21500.876953125
"1_2_2012-12-28",21775.72265625
"1_2_2013-01-04",20967.888671875
"1_2_2013-01-11",20181.416015625
"1_2_2013-01-18",20231.9765625
"1_2_2013-01-25",20348.39453125
"1_2_2013-02-01",20167.42578125
"1_2_2013-02-08",20216.845703125
"1_2_2013-02-15",20305.12890625
"1_2_2013-02-22",20143.779296875
"1_2_2013-03-01",20284.41015625
"1_2_2013-03-08",20059.8046875
"1_2_2013-03-15",20163.9765625
"1_2_2013-03-22",20205.83984375
"1_2_2013-03-29",20107.361328125
"1_2_2013-04-05",19383.966796875
"1_2_2013-04-12",19409.05078125
"1_2_2013-04-19",19431.716796875
"1_2_2013-04-26",19464.93359375
"1_2_2013-05-03",20559.408203125
"1_2_2013-05-10",20435.982421875
"1_2_2013-05-17",20262.482421875
"1_2_2013-05-24",19912.259765625
"1_2_2013-05-31",20177.7109375
"1_2_2013-06-07",20179.083984375
"1_2_2013-06-14",20229.51171875
"1_2_2013-06-21",20107.943359375
"1_2_2013-06-28",19943.60546875
"1_2_2013-07-05",20397.45703125
"1_2_2013-07-12",20282.849609375
"1_2_2013-07-19",19840.31640625
"1_2_2013-07-26",19471.79296875
"1_3_2012-11-02",20770.9609375
"1_3_2012-11-09",20466.5078125
"1_3_2012-11-16",20410.859375
"1_3_2012-11-23",20418.001953125
"1_3_2012-11-30",20436.197265625
"1_3_2012-12-07",20442.650390625
"1_3_2012-12-14",21148.3046875
"1_3_2012-12-21",21500.876953125
"1_3_2012-12-28",21775.72265625
"1_3_2013-01-04",20967.888671875
"1_3_2013-01-11",20181.416015625
"1_3_2013-01-18",20231.9765625
"1_3_2013-01-25",20348.39453125
"1_3_2013-02-01",20167.42578125
"1_3_2013-02-08",20216.845703125
"1_3_2013-02-15",20305.12890625
"1_3_2013-02-22",20143.779296875
"1_3_2013-03-01",20284.41015625
"1_3_2013-03-08",20059.8046875
"1_3_2013-03-15",20163.9765625
"1_3_2013-03-22",20205.83984375
"1_3_2013-03-29",20107.361328125
"1_3_2013-04-05",19383.966796875
"1_3_2013-04-12",19409.05078125
"1_3_2013-04-19",19431.716796875
"1_3_2013-04-26",19464.93359375
"1_3_2013-05-03",20559.408203125
"1_3_2013-05-10",20435.982421875
"1_3_2013-05-17",20262.482421875
"1_3_2013-05-24",19912.259765625
"1_3_2013-05-31",20177.7109375
"1_3_2013-06-07",20179.083984375
"1_3_2013-06-14",20229.51171875
"1_3_2013-06-21",20107.943359375
"1_3_2013-06-28",19943.60546875
"1_3_2013-07-05",20397.45703125
"1_3_2013-07-12",20282.849609375
"1_3_2013-07-19",19840.31640625
"1_3_2013-07-26",19471.79296875
"1_4_2012-11-02",20770.9609375
"1_4_2012-11-09",20466.5078125
"1_4_2012-11-16",20410.859375
"1_4_2012-11-23",20418.001953125
"1_4_2012-11-30",20436.197265625
"1_4_2012-12-07",20442.650390625
"1_4_2012-12-14",21148.3046875
"1_4_2012-12-21",21500.876953125
"1_4_2012-12-28",21775.72265625
"1_4_2013-01-04",20967.888671875
"1_4_2013-01-11",20181.416015625
"1_4_2013-01-18",20231.9765625
"1_4_2013-01-25",20348.39453125
"1_4_2013-02-01",20167.42578125
"1_4_2013-02-08",20216.845703125
"1_4_2013-02-15",20305.12890625
"1_4_2013-02-22",20143.779296875
"1_4_2013-03-01",20284.41015625
"1_4_2013-03-08",20059.8046875
"1_4_2013-03-15",20163.9765625
"1_4_2013-03-22",20205.83984375
"1_4_2013-03-29",20107.361328125
"1_4_2013-04-05",19383.966796875
"1_4_2013-04-12",19409.05078125
"1_4_2013-04-19",19431.716796875
"1_4_2013-04-26",19464.93359375
"1_4_2013-05-03",20559.408203125
"1_4_2013-05-10",20435.982421875
"1_4_2013-05-17",20262.482421875
"1_4_2013-05-24",19912.259765625
"1_4_2013-05-31",20177.7109375
"1_4_2013-06-07",20179.083984375
"1_4_2013-06-14",20229.51171875
"1_4_2013-06-21",20107.943359375
"1_4_2013-06-28",19943.60546875
"1_4_2013-07-05",20397.45703125
"1_4_2013-07-12",20282.849609375
"1_4_2013-07-19",19840.31640625
