time,Bo0,light,temperature,rainfall,wind_speed,wind_direction,humidity,pressure,ground_tem,floating,dangjin,warehouse
2015-01-01 1:00,0,0,-4.4,0,5.4,340,47,2.1,0.3,NA,0,0
2015-01-01 2:00,0,0,-4.6,0,4.9,340,50,2.2,0.3,NA,0,0
2015-01-01 3:00,0,0,-4.7,0.05,6.2,320,50,2.2,0.2,NA,0,0
2015-01-01 4:00,0,0,-5,0,5,320,56,2.4,0.2,NA,0,0
2015-01-01 5:00,0,0,-5,0,5.5,320,52,2.2,0.2,NA,0,0
2015-01-01 6:00,0,0,-5.3,0,4,340,58,2.4,0.1,NA,0,0
2015-01-01 7:00,0,0,-5.7,0,5,340,58,2.3,0.1,NA,0,0
2015-01-01 8:00,0,689,-5.7,0,4.6,340,56,2.3,0.1,NA,0,0
2015-01-01 9:00,173.3585411,3600,-5.4,0,6.7,320,57,2.3,0.1,NA,8,12
2015-01-01 10:00,390.972437,3600,-5,0,6.5,320,59,2.5,0.3,NA,227,150
2015-01-01 11:00,559.272133,3600,-4.7,0,6.4,320,60,2.6,0.3,NA,263,195
2015-01-01 12:00,666.7957445,3600,-5,0.05,6,320,62,2.6,0.4,NA,356,270
2015-01-01 13:00,706.2204666,3600,-4.4,0,5.7,320,58,2.6,0.8,NA,333,254
2015-01-01 14:00,674.8612906,3600,-4.2,0,5.9,320,62,2.8,0.7,NA,225,184
2015-01-01 15:00,574.8538679,3600,-3.6,0.05,6.2,320,61,2.9,1,NA,199,131
2015-01-01 16:00,413.0090692,3600,-3.9,0,5.2,320,61,2.8,0.4,NA,218,183
2015-01-01 17:00,200.3491421,3600,-4.3,0,5,320,62,2.8,0.3,NA,44,53
2015-01-01 18:00,0,1911,-4.2,0,2.8,320,64,2.9,0.3,NA,0,0
2015-01-01 19:00,0,0,-3.9,0,3.4,290,65,3,0.2,NA,0,0
2015-01-01 20:00,0,0,-3.7,0,3.2,320,65,3,0.2,NA,0,0
2015-01-01 21:00,0,0,-3.7,0.05,3.6,320,66,3.1,0.2,NA,0,0
2015-01-01 22:00,0,0,-3.8,0,2.2,320,67,3.1,0.2,NA,0,0
2015-01-01 23:00,0,0,-4,0,2.3,340,73,3.3,0.2,NA,0,0
2015-01-02 0:00,0,0,-4.1,0.05,1.3,NA,74,3.3,0.1,NA,0,0
2015-01-02 1:00,0,0,-4.4,0,0.4,0,76,3.3,0.1,NA,0,0
2015-01-02 2:00,0,0,-4.4,0,0.7,90,79,3.5,0.1,NA,0,0
2015-01-02 3:00,0,0,-4.6,0.05,0.4,0,82,3.6,0.1,NA,0,0
2015-01-02 4:00,0,0,-5,0,0.5,90,87,3.7,0.1,NA,0,0
2015-01-02 5:00,0,0,-5.2,0,0.5,70,89,3.7,0.1,NA,0,0
2015-01-02 6:00,0,0,-5.7,0.1,0.5,50,91,3.6,0.1,NA,0,0
2015-01-02 7:00,0,0,-7.2,0,0.2,0,92,3.3,0,NA,0,0
2015-01-02 8:00,0,680,-6.1,0,0,0,92,3.6,0.1,NA,0,0
2015-01-02 9:00,172.9951306,3600,-5.3,0.05,0.1,0,90,3.7,0.2,NA,2,9
2015-01-02 10:00,391.0842188,3600,-4.2,0,1.9,NA,79,3.5,0.3,NA,59,60
2015-01-02 11:00,559.9308554,3600,-3.5,0,2.7,NA,59,2.8,0.3,NA,208,173
2015-01-02 12:00,668.0358177,3600,-2.7,0.05,4.7,NA,47,2.4,0.4,NA,378,326
2015-01-02 13:00,708.0366501,3600,-1.3,0,4.1,340,44,2.4,0.7,NA,513,419
2015-01-02 14:00,677.2090845,3600,-0.8,0,5.2,320,42,2.4,1,NA,560,478
2015-01-02 15:00,577.6525806,3600,-1.1,0,6.2,320,45,2.5,0.9,NA,513,420
2015-01-02 16:00,416.1473489,3600,-1.3,0,5.1,320,43,2.4,0.4,NA,309,257
2015-01-02 17:00,203.6925931,3600,-1.7,0,2.5,340,49,2.6,0.2,NA,58,103
2015-01-02 18:00,0,1866,-3.2,0,0.7,270,55,2.7,0.1,NA,0,3
