time,temperatrue,rainfall,wind_direction,wind_speed,humidity,pressure,ground_tem,ulsan
2015-02-01 1:00:00,-3,0,1,110,53,2.6,0,0
2015-02-01 2:00:00,-4.3,0,0.7,90,56,2.5,0,0
2015-02-01 3:00:00,-4.6,0,1.2,90,58,2.5,0,0
2015-02-01 4:00:00,-4.7,0,0.7,70,58,2.5,0,0
2015-02-01 5:00:00,-5.9,0,0.8,250,66,2.6,0,0
2015-02-01 6:00:00,-6,0,0.5,200,68,2.7,0,0
2015-02-01 7:00:00,-6.8,0,0.2,0,69,2.5,0,0
2015-02-01 8:00:00,-5.7,0,0.6,110,64,2.6,0,4
2015-02-01 9:00:00,-3.2,0,1.6,230,61,3,0,71
2015-02-01 10:00:00,0.3,0,1.6,230,37,2.3,1.4,191
2015-02-01 11:00:00,3.2,0,0.9,230,29,2.2,6,282
2015-02-01 12:00:00,5,0,1.2,250,25,2.2,12.1,328
2015-02-01 13:00:00,7,0,1.1,230,19,1.9,15.3,348
2015-02-01 14:00:00,7.7,0,2,250,22,2.3,16.5,337
2015-02-01 15:00:00,8.3,0,2.9,250,22,2.4,13.6,294
2015-02-01 16:00:00,8.3,0,2.8,230,22,2.4,6.3,222
2015-02-01 17:00:00,7.7,0,3.2,230,23,2.4,4.1,90
2015-02-01 18:00:00,5.5,0,1.6,200,29,2.6,0.5,5
2015-02-01 19:00:00,2.8,0,0.5,70,40,3,0,0
2015-02-01 20:00:00,1.1,0,0.2,0,49,3.2,0,0
2015-02-01 21:00:00,1.3,0,1.6,70,48,3.2,0,0
2015-02-01 22:00:00,0,0,0.3,0,53,3.2,0,0
2015-02-01 23:00:00,-0.9,0,0.4,0,57,3.3,0,0
2015-02-02 0:00:00,-1.7,0,0.4,0,61,3.3,0,0
2015-02-02 1:00:00,-2,0,0.4,0,62,3.3,0,0
2015-02-02 2:00:00,-2.7,0,0.3,0,66,3.3,0,0
2015-02-02 3:00:00,-2.5,0,0.8,90,65,3.3,0,0
2015-02-02 4:00:00,-2.8,0,0.9,90,68,3.4,0,0
2015-02-02 5:00:00,-3.1,0,0.7,90,68,3.3,0,0
2015-02-02 6:00:00,-2.5,0,0.5,20,67,3.4,0,0
2015-02-02 7:00:00,-2.7,0,1.6,200,67,3.4,0,0
2015-02-02 8:00:00,-2.7,0,0.7,200,69,3.5,0,3
2015-02-02 9:00:00,0,0,0.8,160,58,3.6,0,61
2015-02-02 10:00:00,1.4,0,1.1,250,56,3.8,1.8,160
2015-02-02 11:00:00,4,0,1,230,47,3.8,5.2,216
2015-02-02 12:00:00,6.7,0,2.4,230,39,3.8,10,260
2015-02-02 13:00:00,8.5,0,1.4,200,36,4,16.4,193
2015-02-02 14:00:00,10,0,1.5,290,24,3,18.3,265
2015-02-02 15:00:00,9.9,0,1.5,340,27,3.3,14.5,188
2015-02-02 16:00:00,9.9,0,2.2,230,31,3.8,8.1,187
2015-02-02 17:00:00,8.3,0,3.3,140,42,4.6,5.8,77
2015-02-02 18:00:00,6.5,0,3.1,140,50,4.9,2.8,4
2015-02-02 19:00:00,5.4,0,1.7,200,52,4.7,0.6,0
2015-02-02 20:00:00,3.8,0,0.9,70,58,4.6,0,0
2015-02-02 21:00:00,3.5,0,1.9,50,59,4.6,0,0
2015-02-02 22:00:00,2,0,0.8,70,64,4.5,0,0
2015-02-02 23:00:00,1.1,0,0.5,140,69,4.6,0,0
2015-02-03 0:00:00,0.1,0,0.2,0,73,4.5,0,0
2015-02-03 1:00:00,-0.4,0,0.6,180,77,4.6,0,0
2015-02-03 2:00:00,-1,0,0.3,0,79,4.5,0,0
2015-02-03 3:00:00,-1.1,0,0.6,90,80,4.5,0,0
2015-02-03 4:00:00,-1.9,0,0.7,140,83,4.4,0,0
2015-02-03 5:00:00,-2,0,0.5,110,84,4.4,0,0
2015-02-03 6:00:00,-2.1,0,0.9,110,85,4.5,0,0
2015-02-03 7:00:00,-1.5,0,1,70,83,4.5,0,0
2015-02-03 8:00:00,-1.1,0,0.6,160,80,4.5,0,2
2015-02-03 9:00:00,1,0,0.3,0,73,4.8,0,57
2015-02-03 10:00:00,3,0,0.7,270,66,5,3,174
2015-02-03 11:00:00,6.8,0,0.5,230,55,5.4,7.2,209
2015-02-03 12:00:00,8.6,0,1.4,250,42,4.7,13.7,274
2015-02-03 13:00:00,10.1,0,2.1,270,39,4.8,17.7,296
2015-02-03 14:00:00,10.7,0,1.4,320,36,4.6,17,305
2015-02-03 15:00:00,10,0,1.2,290,39,4.8,12.1,166
2015-02-03 16:00:00,9.6,0,2.4,230,40,4.8,8.7,64
2015-02-03 17:00:00,9.2,0,2.3,230,44,5.1,7.2,17
2015-02-03 18:00:00,7.6,0,1.8,160,51,5.3,3.8,3
2015-02-03 19:00:00,7.4,0,1.3,140,52,5.4,3.7,0
2015-02-03 20:00:00,7,0,1.2,70,56,5.6,3.6,0
