"PassengerId","Survived"
100000,0
100001,1
100002,1
100003,0
100004,1
100005,0
100006,1
100007,0
100008,1
100009,0
100010,1
100011,0
100012,0
100013,0
100014,0
100015,0
100016,1
100017,0
100018,0
100019,0
100020,0
100021,0
100022,0
100023,1
100024,0
100025,0
100026,1
100027,1
100028,0
100029,1
100030,0
100031,1
100032,0
100033,0
100034,0
100035,0
100036,0
100037,0
100038,0
100039,0
100040,0
100041,0
100042,0
100043,0
100044,1
100045,0
100046,1
100047,0
100048,1
100049,1
100050,0
100051,1
100052,0
100053,0
100054,0
100055,1
100056,0
100057,0
100058,1
100059,0
100060,0
100061,0
100062,0
100063,0
100064,0
100065,0
100066,0
100067,0
100068,1
100069,0
100070,1
100071,0
100072,1
100073,0
100074,0
100075,0
100076,0
100077,1
100078,0
100079,0
100080,0
100081,1
100082,0
100083,0
100084,0
100085,1
100086,0
100087,0
100088,0
100089,0
100090,0
100091,0
100092,0
100093,1
100094,1
100095,0
100096,0
100097,1
100098,0
100099,0
100100,0
100101,0
100102,0
100103,0
100104,0
100105,0
100106,1
100107,0
100108,0
100109,1
100110,0
100111,1
100112,1
100113,0
100114,0
100115,0
100116,0
100117,0
100118,0
100119,1
100120,1
100121,0
100122,0
100123,0
100124,1
100125,1
100126,0
100127,0
100128,1
100129,1
100130,0
100131,0
100132,0
100133,0
100134,1
100135,1
100136,0
100137,0
100138,0
100139,0
100140,0
100141,0
100142,0
100143,1
100144,0
100145,1
100146,0
100147,0
100148,1
100149,0
100150,0
100151,0
100152,1
100153,1
100154,1
100155,0
100156,0
100157,1
100158,1
100159,0
100160,0
100161,1
100162,0
100163,1
100164,0
100165,0
100166,1
100167,0
100168,0
100169,1
100170,1
100171,0
100172,0
100173,1
100174,0
100175,0
100176,0
100177,0
100178,1
100179,1
100180,0
100181,1
100182,0
100183,0
100184,1
100185,0
100186,0
100187,0
100188,1
100189,0
100190,1
100191,0
100192,0
100193,0
100194,0
100195,1
100196,0
100197,1
100198,1
100199,1
100200,1
100201,0
100202,1
100203,1
100204,0
100205,1
100206,0
100207,1
100208,0
100209,1
100210,0
100211,1
100212,1
100213,1
100214,0
100215,1
100216,0
100217,0
100218,0
100219,1
100220,0
100221,1
100222,0
100223,0
100224,0
100225,1
100226,1
100227,0
100228,0
100229,0
100230,0
100231,1
100232,0
100233,1
100234,0
100235,0
100236,0
100237,1
100238,1
100239,0
100240,0
100241,0
100242,0
100243,0
100244,0
100245,1
100246,1
100247,0
100248,0
100249,0
100250,0
100251,1
100252,0
100253,0
100254,0
100255,0
100256,1
100257,0
100258,0
100259,0
100260,0
100261,1
100262,0
100263,1
100264,0
100265,0
100266,0
100267,1
100268,0
100269,0
100270,1
100271,0
100272,1
100273,1
100274,0
100275,1
100276,0
100277,0
100278,0
100279,1
100280,0
100281,0
100282,1
100283,0
100284,0
100285,0
100286,0
100287,1
100288,0
100289,1
100290,1
100291,0
100292,0
100293,0
100294,0
100295,0
100296,0
100297,0
100298,0
100299,0
100300,1
100301,1
100302,0
100303,1
100304,0
100305,1
100306,0
100307,0
100308,0
100309,0
100310,0
100311,0
100312,1
100313,0
100314,0
100315,0
100316,0
100317,0
