"일자","중식계","석식계"
2021-01-27,1008,275
2021-01-28,940,372
2021-01-29,593,228
2021-02-01,1181,535
2021-02-02,964,440
2021-02-03,979,417
2021-02-04,932,476
2021-02-05,664,385
2021-02-08,1222,614
2021-02-09,1032,499
2021-02-10,770,183
2021-02-15,1290,694
2021-02-16,1103,634
2021-02-17,994,381
2021-02-18,895,503
2021-02-19,627,394
2021-02-22,1258,676
2021-02-23,1030,627
2021-02-24,847,379
2021-02-25,840,517
2021-02-26,569,336
2021-03-02,1108,636
2021-03-03,1007,428
2021-03-04,960,566
2021-03-05,651,373
2021-03-08,1248,621
2021-03-09,1104,616
2021-03-10,1010,420
2021-03-11,935,493
2021-03-12,658,333
2021-03-15,1321,724
2021-03-16,1064,539
2021-03-17,986,394
2021-03-18,1000,472
2021-03-19,628,299
2021-03-22,1201,628
2021-03-23,1066,601
2021-03-24,875,327
2021-03-25,796,399
2021-03-26,527,255
2021-03-29,1182,619
2021-03-30,1064,541
2021-03-31,947,280
2021-04-01,792,411
2021-04-02,592,303
2021-04-05,1193,618
2021-04-06,1062,541
2021-04-07,999,402
2021-04-08,910,444
2021-04-09,592,291
