지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),운형(운형약어),시정(10m),지면온도(°C)
257,양산시,2020-01-01 01:00,-2,,1.8,180,24,1.3,-19.9,1030.1,1032,,,,0,,1964,-3.3
257,양산시,2020-01-01 02:00,-1.4,,2.3,250,20,1.1,-21.5,1030.2,1032.1,,,,0,,1945,-3.4
257,양산시,2020-01-01 03:00,-2.3,,3.2,160,25,1.3,-19.7,1029.8,1031.7,,,,0,,1735,-3.3
257,양산시,2020-01-01 04:00,-2.1,,1.5,180,39,2,-14.2,1029.6,1031.5,,,,0,,1728,-3.3
257,양산시,2020-01-01 05:00,-.7,,2.3,230,48,2.8,-10.3,1029.6,1031.5,,,,0,,1732,-3
257,양산시,2020-01-01 06:00,.2,,2.1,200,48,3,-9.5,1029.5,1031.4,,,,9,,1789,-2.4
257,양산시,2020-01-01 07:00,-.2,,2.5,200,53,3.2,-8.6,1029.6,1031.5,,,,9,,1798,-2.1
257,양산시,2020-01-01 08:00,0,,2.2,230,55,3.4,-7.9,1029.6,1031.5,0,.01,,10,,1568,-1.9
257,양산시,2020-01-01 09:00,.6,,2.2,230,56,3.6,-7.1,1030.8,1032.7,.3,.2,,1,,1524,-1.4
257,양산시,2020-01-01 10:00,2.8,,1,230,47,3.5,-7.4,1030.8,1032.7,1,.66,,5,,1271,-.4
257,양산시,2020-01-01 11:00,4.6,,1.4,200,43,3.6,-6.9,1030.6,1032.5,1,.95,,0,,1234,.7
257,양산시,2020-01-01 12:00,5.9,,2.3,230,39,3.6,-7,1029.5,1031.4,1,1.19,,0,,1437,4.9
257,양산시,2020-01-01 13:00,6.5,,4.3,270,38,3.7,-6.8,1028.6,1030.5,1,1.26,,,,1390,7.9
257,양산시,2020-01-01 14:00,7.3,,2.7,290,36,3.7,-6.8,1028.3,1030.2,1,1.18,,0,,1329,9.8
257,양산시,2020-01-01 15:00,7.3,,2.6,340,38,3.9,-6.1,1028.1,1030,1,.96,,0,,1262,6.7
257,양산시,2020-01-01 16:00,7.1,,3.1,290,38,3.8,-6.2,1028.6,1030.5,1,.62,,0,,1539,3.9
