지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),운형(운형약어),시정(10m),지면온도(°C)
257,양산시,2016-01-01 01:00,-.7,,.6,360,72,4.2,-5.1,1031.8,1033.7,,,,,,900,-1.7
257,양산시,2016-01-01 02:00,-.5,,1.1,230,68,4,-5.6,1031.9,1033.8,,,,,,1200,-1.7
257,양산시,2016-01-01 03:00,1.4,,2.5,270,60,4.1,-5.5,1031.7,1033.6,,,,,,1500,-1.5
257,양산시,2016-01-01 04:00,-1.4,,.6,50,68,3.8,-6.5,1031.5,1033.4,,,,,,1600,-2
257,양산시,2016-01-01 05:00,-1.9,,.9,250,75,4,-5.7,1031.3,1033.2,,,,,,1000,-2.1
257,양산시,2016-01-01 06:00,-1.7,,1.4,230,73,3.9,-5.9,1031,1032.9,,,,,,1100,-2.1
257,양산시,2016-01-01 07:00,-2.4,,1.1,200,77,4,-5.8,1031.8,1033.7,,,,,,1200,-2.5
257,양산시,2016-01-01 08:00,.5,,3.6,230,61,3.9,-6.1,1031.8,1033.7,0,0,,,,2000,-1.9
257,양산시,2016-01-01 09:00,0,,2.7,200,64,3.9,-6,1032.2,1034.1,.4,.2,,,,1500,-.9
257,양산시,2016-01-01 10:00,2.2,,2.9,230,60,4.3,-4.7,1032.5,1034.4,1,.75,,,,1400,.3
257,양산시,2016-01-01 11:00,4.4,,2.3,200,47,3.9,-5.9,1031.6,1033.5,1,1.12,,,,1500,4.1
257,양산시,2016-01-01 12:00,6.4,,3.4,230,43,4.2,-5.2,1030.8,1032.7,1,1.34,,,,1500,10.4
257,양산시,2016-01-01 13:00,8,,2.6,230,36,3.9,-6.1,1029.8,1031.6,1,1.35,,,,1500,11.7
257,양산시,2016-01-01 14:00,9.1,,2,250,35,4.1,-5.5,1028.6,1030.4,1,1.25,,,,1500,12.9
257,양산시,2016-01-01 15:00,9.3,,2.2,270,33,3.9,-6.1,1027.7,1029.5,1,.99,,,,1400,10.4
257,양산시,2016-01-01 16:00,9.2,,2.3,270,33,3.8,-6.2,1027.9,1029.7,1,.69,,,,1600,6
257,양산시,2016-01-01 17:00,8,,1.2,290,38,4.1,-5.4,1028.1,1029.9,.8,.25,,,,2000,3.8
257,양산시,2016-01-01 18:00,5,,1.5,180,44,3.8,-6.2,1028.2,1030.1,0,.01,,,,2000,1.7
257,양산시,2016-01-01 19:00,3.1,,2.2,250,52,4,-5.8,1028.5,1030.4,,,,,,2000,.6
257,양산시,2016-01-01 20:00,2.7,,1.4,230,57,4.2,-4.9,1028.3,1030.2,,,,,,1700,0
257,양산시,2016-01-01 21:00,3,,2,200,56,4.2,-4.9,1028.2,1030.1,,,,,,1500,0
257,양산시,2016-01-01 22:00,1.7,,2.7,200,62,4.3,-4.8,1028.1,1030,,,,,,1300,-.2
257,양산시,2016-01-01 23:00,1.5,,2.7,200,64,4.4,-4.5,1027.7,1029.6,,,,,,1400,-.4
257,양산시,2016-01-02 00:00,.8,,1.8,200,67,4.3,-4.6,1027.5,1029.4,,,,,,1300,-.5
257,양산시,2016-01-02 01:00,1.1,,2.5,200,70,4.6,-3.7,1027.3,1029.2,,,,,,1400,-.7
257,양산시,2016-01-02 02:00,.5,,1.2,230,71,4.5,-4.1,1027,1028.9,,,,,,1600,-1
257,양산시,2016-01-02 03:00,1.5,,2.4,200,68,4.6,-3.7,1026.7,1028.6,,,,,,1800,-.9
257,양산시,2016-01-02 04:00,2,,2.5,200,67,4.8,-3.4,1026.6,1028.5,,,,,,1600,-.5
257,양산시,2016-01-02 05:00,1,,1.4,230,72,4.8,-3.4,1025.8,1027.7,,,,,,1600,-.8
257,양산시,2016-01-02 06:00,1.6,,.8,160,71,4.9,-3.1,1025.4,1027.3,,,,,,1900,-1.1
257,양산시,2016-01-02 07:00,.1,,1.4,230,77,4.8,-3.4,1025.8,1027.7,,,,,,1400,-1.1
257,양산시,2016-01-02 08:00,.1,,2,230,78,4.8,-3.2,1025.7,1027.6,0,.01,,,,1200,-.9
257,양산시,2016-01-02 09:00,1,,2.7,230,77,5.1,-2.5,1026.1,1028,.2,.17,,,,1100,-.3
257,양산시,2016-01-02 10:00,3.2,,2.6,230,72,5.6,-1.3,1026.1,1028,.9,.46,,,,1200,1.9
257,양산시,2016-01-02 11:00,6.2,,2.4,230,59,5.6,-1.2,1025.4,1027.3,.9,.72,,,,1300,6.6
257,양산시,2016-01-02 12:00,9.1,,1.4,250,51,5.9,-.5,1023.9,1025.7,1,1.1,,,,1200,11.1
257,양산시,2016-01-02 13:00,10,,3.1,230,50,6.1,0,1022.7,1024.5,.8,1.02,,,,900,11.1
