지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
192,진주,2016-01-01,-.1,-6.7,648,8.7,1423,,,,,,,4.1,110,1634,2.5,110,1635,.6,533,230,-5.7,32,1424,69.4,4,1027.4,1034.2,837,1029,1557,1031.2,9.8,8.6,1200,1.8,10.63,,,,,,,,1.3,-10.8,,,,,,,,,,,,,,
192,진주,2016-01-02,1.8,-3.6,732,10.8,1518,,,,,,,3.1,320,1118,1.7,320,1124,.5,410,90,-2.2,49,1519,76.3,5.2,1020.7,1029.4,5,1021.7,1559,1024.5,9.9,5.4,1100,1.41,7.02,,,,,,,,2.4,-7.2,,,,,,,,,,,,,,
192,진주,2016-01-03,4,-2.2,342,14.5,1519,,,,,,,4,140,1555,2.7,110,1559,.5,428,200,-.1,44,1507,77.4,6.2,1016.1,1021.9,3,1017.4,1444,1019.9,9.9,6.5,1100,1.75,8.64,,,,,,,,3.8,-6,,,,,,,,,,,,,,
192,진주,2016-01-04,4.8,-.3,43,15,1424,,,,,,,5.9,360,1515,3.4,360,1516,.7,622,340,-2.9,18,1508,64.8,5.2,1017.8,1024.1,2313,1019.5,16,1021.6,9.9,6.6,1200,1.78,9.25,,,,,,,,5.2,-4.5,,,,,,,,,,,,,,
192,진주,2016-01-05,.5,-2.6,2343,4.9,1612,,,,,,0,2.9,140,1434,1.9,140,1440,.5,424,90,-4.3,43,940,70.6,4.4,1021.3,1026.8,1136,1023.5,141,1025.2,9.9,1.1,1400,.62,2.83,,,,,,,,1.9,-6.8,,,,,,,,,,,,0,,
192,진주,2016-01-06,1.8,-5.1,752,8.8,1505,,,,,,,5.7,360,1603,3,20,1507,.6,556,20,-7.7,28,1332,52.8,3.4,1019.7,1026.4,843,1020.6,1439,1023.6,9.9,8.6,1200,1.8,9.55,,,,,,,,2.5,-9.4,,,,,,,,,,,,,,
192,진주,2016-01-07,1,-3.6,729,7.5,1451,,,,,,,5,340,1618,2.7,360,1625,.8,722,90,-7.4,28,1536,57.5,3.6,1019.1,1024.7,1022,1021.2,1513,1022.9,9.9,7.5,1100,1.7,8.38,,,,,,,,2.3,-8.2,,,,,,,,,,,,,,
192,진주,2016-01-08,0,-4.9,238,7,1424,,,,,,,7.2,320,1526,3.5,340,1617,.9,809,340,-8.3,26,1409,57.8,3.3,1018.7,1024.9,2356,1020.3,1423,1022.6,9.9,8.4,1200,1.35,7.8,,,,,,,,1.2,-9.2,,,,,,,,,,,,,,
192,진주,2016-01-09,-.3,-6.9,706,8,1544,,,,,,,5.4,270,1729,3.3,250,1745,.7,578,70,-7.7,28,1405,62.4,3.4,1021,1026.7,952,1023.1,1527,1024.9,9.9,8.6,1200,1.34,7.76,,,,,,,,1.3,-11.3,,,,,,,,,,,,,,
192,진주,2016-01-10,0,-6.6,748,9.1,1551,,,,,,,4.6,270,1609,2.8,250,1442,.6,492,70,-7.7,24,1424,61.3,3.4,1021.8,1027.6,948,1023.6,1537,1025.7,10,8.6,1200,1.29,7.65,,,,,,,,1.6,-10.5,,,,,,,,,,,,,,
