瘤痢,瘤痢疙,老矫,扁柯(∑C),扁柯 QC敲贰弊,碍荐樊(mm),碍荐樊 QC敲贰弊,浅加(m/s),浅加 QC敲贰弊,浅氢(16规困),浅氢 QC敲贰弊,嚼档(%),嚼档 QC敲贰弊,刘扁拘(hPa),捞浇痢柯档(∑C),泅瘤扁拘(hPa),泅瘤扁拘 QC敲贰弊,秦搁扁拘(hPa),秦搁扁拘 QC敲贰弊,老炼(hr),老炼 QC敲贰弊,老荤(MJ/m2),利汲(cm),3矫埃脚利汲(cm),傈款樊(10盒困),吝窍摸款樊(10盒困),款屈(款屈距绢),弥历款绊(100m ),矫沥(10m),瘤搁惑怕(瘤搁惑怕内靛),泅惑锅龋(惫郴侥),瘤搁柯档(∑C),瘤搁柯档 QC敲贰弊,5cm 瘤吝柯档(∑C),10cm 瘤吝柯档(∑C),20cm 瘤吝柯档(∑C),30cm 瘤吝柯档(∑C)
192,柳林,2021-01-01 01:00,-4.6,,,,.4,,0,,80,,3.5,-7.5,1022,,1025.8,,,9,,,,0,0,,,2000,,,-2.8,,,,,
192,柳林,2021-01-01 02:00,-3,,,,.8,,340,,57,,2.8,-10.3,1022.1,,1025.9,,,9,,,,0,0,,,2000,,,-3.5,,,,,
192,柳林,2021-01-01 03:00,-3.8,,,,.3,,0,,59,,2.7,-10.6,1022.5,,1026.3,,,9,,,,0,0,,,2000,,,-3.8,,,,,
192,柳林,2021-01-01 04:00,-5.7,,,,.1,,0,,70,,2.8,-10.3,1022.8,,1026.6,,,9,,,,0,0,,,2000,,,-4.4,,,,,
192,柳林,2021-01-01 05:00,-6.9,,,,.2,,0,,78,,2.9,-10,1023,,1026.8,,,9,,,,0,0,,,2000,,,-4.8,,,,,
192,柳林,2021-01-01 06:00,-7.6,,,,.5,,50,,83,,2.9,-9.9,1023.3,,1027.2,,,9,,,,0,0,,,2000,,,-5.1,,,,,
192,柳林,2021-01-01 07:00,-8.2,,,,.3,,0,,86,,2.8,-10.1,1023.5,,1027.4,,,9,,,,0,0,,,2000,,,-5.5,,,,,
192,柳林,2021-01-01 08:00,-8,,,,.2,,0,,87,,2.9,-9.7,1024.1,,1028,,0,,.01,,,5,0,,,1997,,,-5.5,,,,,
192,柳林,2021-01-01 09:00,-5,,,,.1,,0,,78,,3.3,-8.2,1024.5,,1028.3,,.8,,.54,,,6,0,,,1954,,,-3.4,,,,,
192,柳林,2021-01-01 10:00,-2.3,,,,.6,,250,,64,,3.3,-8.1,1024.7,,1028.5,,1,,1.25,,,7,0,,,1970,,,-.7,,,,,
